,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
372,DETLMUPAN,CCC(=O)C=C(C)C1C(CC)(C(=O)OON(=O)=O)O1,,C11H15NO7,273.24,DIET35TOL,2,11,15,1,7,0,0,0,34,0.64,-0.55,0,0,0,1,0,0,1,0,0,1,0,0,3,1.87,8.29,1.89,1.15,0,0.83,9.1,8.55,10.02,7.48,8.84,3.61,2.04E-05,0.77,1.59E+06
373,CL2OHCH2OH,C(C(Cl)(Cl)O)O,,C2H4Cl2O2,130.96,CCL2CH2,1,2,4,0,2,2,0,0,10,1,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0.86,3.35,0.75,0.58,0.79,0.6,5.9,7.03,5.09,6.58,7.38,7.58,1.48E-03,0.33,2.39E+00
374,NOPINAOH,CC1(C)C2CC1C(=O)CC2O,,C9H14O2,154.21,BPINENE,2,9,14,0,2,0,0,0,25,0.22,-1.11,0,1,0,1,0,0,0,0,0,0,0,0,2,1.03,5.66,1.23,0.7,0.31,0.84,6.5,6.11,7.58,7.77,7.89,7.98,5.09E-05,2.78,2.78E+01
375,IPBENZOLOH,CC(C)C12C=CC(C(C1O)OO2)(O)O,,C9H14O5,202.2,IPBENZ,2,9,14,0,5,0,0,0,28,0.56,-0.44,0,3,0,0,0,0,0,0,0,0,0,1,4,1.29,7.26,1.41,1.69,0.75,1.34,9.7,13.79,9.45,11.4,10.36,10.55,1.83E-07,2.63,2.06E+01
376,EPXMDLPAN,CC1(C=O)C(C(=O)OON(=O)=O)O1,,C5H5NO7,191.1,UNKNOWN,N/A,5,5,1,7,0,0,0,18,1.4,0.8,0,0,1,0,0,0,1,0,0,1,0,0,3,1.86,5.6,1.09,1.04,0,0.73,6.7,8.63,7.87,7.75,5.89,1.92,4.77E-02,0.29,3.36E+04
377,LIMALAOH,C=C(C)C(CC=O)CC(C(=O)C)O,,C10H16O3,184.23,LIMONENE,1,10,16,0,3,0,0,0,29,0.3,-1,0,1,1,1,0,0,0,0,0,0,0,0,3,1.27,6.04,1.56,1.04,0.17,0.69,7.1,7.14,7.9,7.93,7.93,6.4,1.27E-04,1.01,4.16E+02
378,C87PAN,CC(C)(C=O)C(C=O)C(=O)CC(=O)OON(=O)=O,,C9H11NO8,261.19,BPINENE,3,9,11,1,8,0,0,0,29,0.89,0,0,0,2,1,0,0,0,0,0,1,0,0,4,2.68,8.46,1.73,1.45,0,0.92,10.3,12.16,10.32,10.82,8.54,4.27,5.62E-05,0.56,1.26E+05
379,C62CPAN,CC(C)C(=O)C(=O)C(C(=O)OON(=O)=O)O,,C7H9NO8,235.15,IPBENZ,3,7,9,1,8,0,0,0,25,1.14,0.29,0,1,0,2,0,0,0,0,0,1,0,0,4,2.05,6.61,1.49,1.44,0.1,0.78,8.4,10.93,9.81,10.5,7.02,2.25,4.93E-03,0.21,1.53E+05
380,CO1C6NO3,C(CCCON(=O)=O)CC=O,,C6H11NO4,161.16,CHEX,1,6,11,1,4,0,0,0,22,0.67,-1.33,0,0,1,0,0,0,0,0,1,0,0,0,2,1.31,5.27,1.2,0.46,0,0.42,5.6,4.1,6.84,4.84,6.32,3.64,5.49E-03,0.94,5.61E+03
381,C5CONO3OOH,CC(C)(C(=O)CON(=O)=O)OO,,C5H9NO6,179.13,ME3BUT1ENE,2,5,9,1,6,0,0,0,21,1.2,-0.4,0,0,0,1,0,0,0,0,1,0,0,1,3,1.61,5.52,1.18,1,0.31,0.63,7.3,8.84,8.07,6.95,7.51,4.9,1.83E-03,0.19,9.16E+02
382,HOIPRCO2H,CC(CO)C(=O)O,,C4H8O3,104.1,UNKNOWN,N/A,4,8,0,3,0,0,0,15,0.75,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,2,0.88,3.57,0.81,0.67,0.88,0.38,6.4,7.86,5.96,8.03,6.69,8.22,2.65E-04,8.47,3.03E+00
383,ETBEBNO3,CC(OC(C)(C)C)ON(=O)=O,,C6H13NO4,163.17,ETBE,1,6,13,1,4,0,0,0,24,0.67,-1.67,0,0,0,0,0,0,1,0,1,0,0,0,2,0.83,4.35,1.25,0.45,0,0.22,4.4,2.53,4.62,1.23,5.06,1.43,8.39E-02,1.14,5.91E+04
384,M2CO5C6,CC(C)CCC(=O)C,,C7H14O,114.19,M2HEX,1,7,14,0,1,0,0,0,22,0.14,-1.71,0,0,0,1,0,0,0,0,0,0,0,0,1,0.67,3.82,1.11,0.38,0,0.22,3.8,1.93,4.03,2.41,4.62,2.96,3.17E-01,0.83,4.64E+02
385,IBUTOLBNO3,CC(C)(CO)ON(=O)=O,,C4H9NO4,135.12,UNKNOWN,N/A,4,9,1,4,0,0,0,18,1,-1.5,0,1,0,0,0,0,0,0,1,0,0,0,2,0.9,4.04,0.96,0.57,0.23,0.41,4.8,4.73,5.98,5.39,4.87,3.21,1.18E-01,1.24,6.99E+02
386,MEBFUOH,CCC1C(C(C)(C(=O)O1)O)O,,C7H12O4,160.17,UNKNOWN,N/A,7,12,0,4,0,0,0,23,0.57,-0.57,0,2,0,0,0,1,0,0,0,0,0,0,3,1.6,5.3,1.18,1.16,0.36,0.7,7.4,9.73,8.73,10.73,9.59,9.58,1.27E-06,2.23,2.80E+01
387,METLBIPNO3,CCC12C(C=CC(C)(C1O)OO2)ON(=O)=O,,C9H13NO6,231.2,METHTOL,1,9,13,1,6,0,0,0,29,0.67,-0.67,0,1,0,0,0,0,0,0,1,0,0,1,3,1.37,7.31,1.53,1.16,0.19,1.09,8.1,8.79,9.13,7.15,8,4.83,1.41E-04,0.79,1.41E+04
388,ACBUONBOH,CCC(=O)C(O)OC(=O)C,,C6H10O4,146.14,NBUTACET,2,6,10,0,4,0,0,0,20,0.67,-0.33,0,1,0,1,0,1,0,0,0,0,0,0,3,1.12,4.14,1.1,0.98,0.17,0.41,5.3,6.74,6.66,7.21,6.64,5.25,2.26E-03,1.11,3.37E+02
389,C57NO3PAN,CC(C(CO)O)(C(=O)OON(=O)=O)ON(=O)=O,,C5H8N2O10,256.12,C5H8,3,5,8,2,10,0,0,0,25,2,0.4,0,2,0,0,0,0,0,0,1,1,0,0,4,2.15,7.46,1.47,1.29,0.5,0.85,10.1,12.37,11.54,11.81,6.89,2.78,6.99E-03,0.2,3.20E+04
390,NMXYOLOOH,CC12C=CC(C(C)(C1ON(=O)=O)OO2)(O)OO,,C8H11NO8,249.17,MXYL,2,8,11,1,8,0,0,0,28,1,0,0,1,0,0,0,0,0,0,1,0,0,2,4,1.77,7.77,1.5,1.61,0.54,1.28,10.1,13.53,10.21,9.29,10.48,8.2,2.06E-06,0.17,4.11E+02
391,C23O3EHO,CCC(=O)OC(=O)C(=O)C,,C6H8O4,144.13,UNKNOWN,N/A,6,8,0,4,0,0,0,18,0.67,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1.4,4.44,1.06,0.85,0,0.36,5.3,6.22,6.64,7.04,5.35,2.95,5.34E-02,0.92,2.82E+03
392,CO25C73OOH,CCC(=O)CC(C(=O)C)OO,,C7H12O4,160.17,UNKNOWN,N/A,7,12,0,4,0,0,0,23,0.57,-0.57,0,0,0,2,0,0,0,0,0,0,0,1,3,1.59,5.74,1.24,1.17,0.31,0.67,7.5,9.63,7.35,7.82,7.25,6.34,4.29E-04,1.44,1.42E+02
393,NEBFUONE,CCC1C(=O)C(C(=O)O1)ON(=O)=O,,C6H7NO6,189.12,UNKNOWN,N/A,6,7,1,6,0,0,0,20,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,2.43,6.51,1.17,0.95,0,0.77,8,9.52,9.33,9.75,7.57,4.29,6.64E-04,0.44,1.03E+04
394,HM22C3OH,CC(C)(CO)CO,,C5H12O2,104.15,M22C4,2,5,12,0,2,0,0,0,19,0.4,-1.6,0,2,0,0,0,0,0,0,0,0,0,0,2,0.67,3.58,0.93,0.63,0.63,0.39,5.4,5.98,6.05,6.87,5.58,6.21,3.12E-03,9.19,2.66E+01
395,INB1NBPAN,CC(C(CO)ON(=O)=O)(C(=O)OON(=O)=O)ON(=O)=O,,C5H7N3O12,301.12,UNKNOWN,N/A,5,7,3,12,0,0,0,27,2.4,0.4,0,1,0,0,0,0,0,0,2,1,0,0,4,2.42,8.43,1.64,1.19,0.23,0.86,10.4,11.4,12.22,11.14,7.48,2.03,1.10E-02,0.03,1.13E+05
396,C619OH,C1CC(=O)C(CC1=O)O,,C6H8O3,128.13,BPINENE,2,6,8,0,3,0,0,0,17,0.5,-0.33,0,1,0,2,0,0,0,0,0,0,0,0,3,1.3,4.52,0.94,0.93,0.17,0.77,5.6,7.46,8.25,9.77,7.37,8.07,1.54E-04,3.01,7.46E+00
397,CO24C63OOH,CCC(=O)C(C(=O)C)OO,,C6H10O4,146.14,DIET35TOL,3,6,10,0,4,0,0,0,20,0.67,-0.33,0,0,0,2,0,0,0,0,0,0,0,1,3,1.59,5.24,1.1,1.17,0.31,0.67,7.1,9.74,6.54,7.34,6.09,4.75,9.28E-03,0.95,2.56E+02
398,HC3CO3H,C(=CC(=O)OO)CO,,C4H6O4,118.09,UNKNOWN,N/A,4,6,0,4,0,0,0,14,1,0.5,0,1,0,0,0,0,0,0,0,0,1,0,2,1.22,4.03,0.82,0.98,0.63,0.63,6.5,9.36,7.43,8.66,6.86,6.58,9.28E-04,1.62,3.80E+01
399,TBUTCHO,CC(C)(C)C=O,,C5H10O,86.13,UNKNOWN,N/A,5,10,0,1,0,0,0,16,0.2,-1.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0.67,2.74,0.83,0.36,0,0.22,2.8,1.99,2.93,2.13,3.13,1.83,1.03E+01,0.78,1.91E+02
400,MTBEBPAN,CC(C)(C(=O)OON(=O)=O)OC,,C5H9NO6,179.13,MTBE,2,5,9,1,6,0,0,0,21,1.2,-0.4,0,0,0,0,0,0,1,0,0,1,0,0,2,1.24,4.59,1.18,0.74,0,0.28,5.2,5.11,5.72,4.52,4.66,1.12,3.66E-01,0.65,2.73E+04
401,MVKOOH,C=CC(=O)COO,,C4H6O3,102.09,C5H8,1,4,6,0,3,0,0,0,13,0.75,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.16,3.6,0.76,0.88,0.31,0.58,5.1,7.43,5.89,5.8,5.63,5.35,1.71E-02,1.49,3.52E+01
402,COHCCLOOH,C(C(Cl)OO)O,,C2H5ClO3,112.51,VINCL,1,2,5,0,3,1,0,0,11,1.5,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0.94,3.44,0.69,0.92,0.61,0.62,5.5,8.47,5.94,7.08,6.68,7.02,3.69E-03,0.65,3.46E+00
403,DMEOBPROH,CCC12C=C(C)C(=O)C(C)(C1O)OO2,,C10H14O4,198.22,DIME35EB,1,10,14,0,4,0,0,0,28,0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,3,1.26,6.8,1.45,1.33,0.19,1.08,7.6,9.38,7.02,5.49,8.84,7.37,1.35E-05,1.16,4.25E+02
404,M3PEAOH,CCC(C)CCO,,C6H14O,102.17,M3PE,1,6,14,0,1,0,0,0,21,0.17,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.45,3.46,1.01,0.35,0.31,0.21,4.1,2.6,4.71,3.21,4.43,3.36,8.99E-02,4.47,6.50E+02
405,NOPINBCO,CC1(C)C2CCC(=O)C1C2=O,,C9H12O2,152.19,BPINENE,2,9,12,0,2,0,0,0,23,0.22,-0.89,0,0,0,2,0,0,0,0,0,0,0,0,2,1.26,5.64,1.19,0.7,0,0.84,5.8,5.46,6.72,6.72,6.87,6.05,1.77E-03,0.82,6.68E+01
406,PECOH,CCC(CC)O,,C5H12O,88.15,NC5H12,1,5,12,0,1,0,0,0,18,0.2,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.44,2.96,0.87,0.34,0.31,0.21,3.6,2.63,3.8,3.2,3.69,2.74,7.09E-01,3.13,3.41E+02
407,CH3OCH2NO3,COCON(=O)=O,,C2H5NO4,107.07,UNKNOWN,N/A,2,5,1,4,0,0,0,12,2,-1,0,0,0,0,0,0,1,0,1,0,0,0,2,0.9,2.82,0.68,0.37,0,0.23,3.1,2.91,4.27,2.91,3.29,1.03,8.15E+00,0.71,1.53E+03
408,C7DDCOH,CCC(=O)C(C(C)(C=O)O)O,,C7H12O4,160.17,UNKNOWN,N/A,7,12,0,4,0,0,0,23,0.57,-0.57,0,2,1,1,0,0,0,0,0,0,0,0,4,1.25,4.67,1.24,1.25,0.26,0.68,6.3,8.64,7.96,9.79,6.4,5.2,3.24E-03,1.34,2.59E+02
409,C2CL3OHOOH,C(C(Cl)(Cl)OO)(Cl)O,,C2H3Cl3O3,181.4,TRICLETH,1,2,3,0,3,3,0,0,11,1.5,3,0,1,0,0,0,0,0,0,0,0,0,1,5,1.11,4.75,0.93,1,0.75,0.97,7.2,9.79,6.99,7.43,8.47,7.42,4.53E-03,0.01,1.14E+00
410,PROPOLNO3,CC(CO)ON(=O)=O,,C3H7NO4,121.09,UNKNOWN,N/A,3,7,1,4,0,0,0,15,1.33,-1.33,0,1,0,0,0,0,0,0,1,0,0,0,2,0.94,3.77,0.82,0.56,0.23,0.44,4.6,4.97,5.98,5.81,4.89,3.57,1.10E-01,1.28,3.28E+02
411,NPRACAOOH,CC(COC(=O)C)OO,,C5H10O4,134.13,NPROACET,1,5,10,0,4,0,0,0,19,0.8,-0.4,0,0,0,0,0,1,0,0,0,0,0,1,2,0.99,3.95,1,0.88,0.31,0.32,5.3,6.66,6.2,6.25,5.8,4.74,1.89E-02,0.91,1.27E+02
412,BUTDBOH,C=CC(CO)O,,C4H8O2,88.11,UNKNOWN,N/A,4,8,0,2,0,0,0,14,0.5,-1,0,2,0,0,0,0,0,0,0,0,0,0,2,0.76,3.18,0.75,0.67,0.54,0.54,4.9,6.27,5.04,6.31,5.39,5.86,9.05E-03,4.94,2.03E+01
413,BCAOH,C=C1CCC(C(C)(CCC2C1CC2(C)C)O)O,,C15H26O2,238.37,BCARY,1,15,26,0,2,0,0,0,43,0.13,-1.47,0,2,0,0,0,0,0,0,0,0,0,0,2,0.76,8.16,2.08,0.8,0.54,0.91,9.2,6.11,8.86,7.46,9.96,7.41,2.88E-07,4.13,1.82E+04
414,C1013CO,CC1(C)CC(=O)C1CCC(=O)OC,,C10H16O3,184.23,BCARY,2,10,16,0,3,0,0,0,29,0.3,-1,0,0,0,1,0,1,0,0,0,0,0,0,2,1.1,5.87,1.5,0.72,0,0.47,6.1,4.58,6.92,5.3,8.04,6.19,1.36E-04,0.74,6.45E+02
415,HO5C5CHO,CCCCC(C=O)O,,C6H12O2,116.16,UNKNOWN,N/A,6,12,0,2,0,0,0,20,0.33,-1.33,0,1,1,0,0,0,0,0,0,0,0,0,2,0.78,3.66,1.03,0.63,0.17,0.37,4.3,4.22,5.27,4.98,4.77,3.39,1.50E-01,1.23,3.64E+02
416,OXYQONE,CC1=C(C)C(=O)C=CC1=O,,C8H8O2,136.15,OXYL,2,8,8,0,2,0,0,0,18,0.25,-0.5,0,0,0,2,0,0,0,0,0,0,0,0,2,0.33,4.22,1.07,0.79,0,0.85,3.7,3.7,8.11,7.1,6.01,4.38,1.30E-02,0.82,4.28E+02
417,MMALNAPAN,CC(C=O)(C(C(=O)OON(=O)=O)O)ON(=O)=O,,C5H6N2O10,254.11,C5H8,3,5,6,2,10,0,0,0,23,2,0.8,0,1,1,0,0,0,0,0,1,1,0,0,4,2.18,6.94,1.43,1.35,0.09,0.83,8.6,11.01,10.91,11.16,6.28,1.74,7.01E-02,0.08,3.49E+04
418,C6OTKETCO,CC(=O)C(=O)OC(=O)C(=O)C,,C6H6O5,158.11,OXYL,2,6,6,0,5,0,0,0,17,0.83,0.67,0,0,0,2,0,2,0,0,0,0,0,0,4,1.9,5.15,1.08,1.16,0,0.57,6.5,9.12,7.72,9.4,5.81,2.88,2.00E-02,0.84,8.73E+03
419,C522PAN,C=C(CCC=O)C(=O)OON(=O)=O,,C6H7NO6,189.12,BCARY,3,6,7,1,6,0,0,0,20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1.7,5.69,1.23,0.85,0,0.59,6.6,7,8.11,7.04,5.9,2.37,2.43E-02,0.57,2.31E+04
420,MALANHY,C1=CC(=O)OC1=O,,C4H2O3,98.06,UNKNOWN,N/A,4,2,0,3,0,0,0,9,0.75,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1.09,3.03,0.61,0.58,0,0.52,3.5,4.65,7.54,8.45,5.67,4.36,2.02E-02,1.22,2.92E+02
421,C6DICARB,CCC(=O)C=CC=O,,C6H8O2,112.13,UNKNOWN,N/A,6,8,0,2,0,0,0,16,0.33,-0.67,0,0,1,1,0,0,0,0,0,0,0,0,2,1.33,4.27,0.94,0.7,0,0.6,4.9,5.52,6.22,6.19,5.04,4.15,1.10E-01,0.91,8.58E+01
422,MO2EOL,COCCO,,C3H8O2,76.09,MO2EOL,0,3,8,0,2,0,0,0,13,0.67,-1.33,0,1,0,0,0,0,1,0,0,0,0,0,2,0.54,2.56,0.65,0.62,0.23,0.28,3.2,4.33,3.63,5.11,3.79,4.5,9.78E-01,1.8,4.32E+00
423,IPBFUOH,CC(C)C1C(C(C(=O)O1)O)O,,C7H12O4,160.17,IPBENZ,2,7,12,0,4,0,0,0,23,0.57,-0.57,0,2,0,0,0,1,0,0,0,0,0,0,3,1.64,5.4,1.18,1.18,0.36,0.73,7.5,9.97,8.98,10.86,9.66,10.1,8.35E-07,2.88,1.29E+01
424,SC4H9NO3,CCC(C)ON(=O)=O,,C4H9NO3,119.12,UNKNOWN,N/A,4,9,1,3,0,0,0,17,0.75,-2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.73,3.32,0.91,0.19,0,0.2,3.3,1.33,3.86,1.55,3.39,0.12,4.10E+00,1.09,2.47E+04
425,ACECOCOCH3,CC(=O)C(=O)OC(=O)C,,C5H6O4,130.1,UNKNOWN,N/A,5,6,0,4,0,0,0,15,0.8,0.4,0,0,0,1,0,2,0,0,0,0,0,0,3,1.4,3.95,0.92,0.85,0,0.36,4.8,6.33,6.41,7.34,5.06,3.32,8.86E-02,1.07,7.21E+02
426,C9DC,CC1(C)C2CC1C(=O)CC2=O,,C9H12O2,152.19,BPINENE,2,9,12,0,2,0,0,0,23,0.22,-0.89,0,0,0,2,0,0,0,0,0,0,0,0,2,1.26,5.64,1.19,0.7,0,0.84,5.8,5.46,6.69,6.74,7.36,6.98,5.35E-04,0.89,2.61E+01
427,CL2OHCO3H,C(=O)(C(Cl)(Cl)O)OO,,C2H2Cl2O4,160.94,CCL2CH2,2,2,2,0,4,2,0,0,10,2,4,0,1,0,0,0,0,0,0,0,0,1,0,4,1.04,3.4,0.83,0.91,0.64,0.59,5.9,8.35,4.92,4.05,6.17,4.15,4.73E-01,0.02,2.00E+01
428,C627OOH,CC(=O)CCC(=O)COO,,C6H10O4,146.14,LIMONENE,3,6,10,0,4,0,0,0,20,0.67,-0.33,0,0,0,2,0,0,0,0,0,0,0,1,3,1.6,5.36,1.1,1.14,0.31,0.66,7.2,9.66,8.24,8.75,7.6,7.11,1.57E-04,1.75,6.68E+01
429,C72NO3,CCC(=O)CC(C(C)O)ON(=O)=O,,C7H13NO5,191.18,UNKNOWN,N/A,7,13,1,5,0,0,0,26,0.71,-1.14,0,1,0,1,0,0,0,0,1,0,0,0,3,1.44,6.33,1.4,0.91,0.23,0.66,7.5,7.59,8.45,8.19,7.05,4.79,6.93E-04,1.4,3.15E+03
430,C123CO,CCCCCCC(C(=O)CC(=O)CC)O,,C12H22O3,214.3,NC12H26,2,12,22,0,3,0,0,0,37,0.25,-1.33,0,1,0,2,0,0,0,0,0,0,0,0,3,1.24,7.2,1.89,0.97,0.17,0.55,8,6.49,8.48,6.99,8.3,4.71,4.59E-05,1.19,5.65E+04
431,CH3BR,CBr,,CH3Br,94.94,UNKNOWN,N/A,1,3,0,0,0,0,1,5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39,1.47,0.42,0.03,0,0.31,1.2,0.12,1.85,0.96,2.18,0.75,8.76E+01,0.83,2.70E+02
432,VGLYOX,C=CC(=O)C=O,,C4H4O2,84.07,C5H8,1,4,4,0,2,0,0,0,10,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1.28,3.23,0.66,0.68,0,0.57,3.9,5.51,4.17,4.8,3.34,1.92,5.74E+00,0.89,2.79E+02
433,HEX2ONBNO3,CC(=O)CCC(C)ON(=O)=O,,C6H11NO4,161.16,UNKNOWN,N/A,6,11,1,4,0,0,0,22,0.67,-1.33,0,0,0,1,0,0,0,0,1,0,0,0,2,1.24,5.02,1.2,0.5,0,0.41,5.4,4.04,6.43,4.86,5.81,3.4,1.93E-02,0.88,2.76E+03
434,HO2C43CO3H,CC(C(C)O)C(=O)OO,,C5H10O4,134.13,UNKNOWN,N/A,5,10,0,4,0,0,0,19,0.8,-0.4,0,1,0,0,0,0,0,0,0,0,1,0,2,1.1,4.3,1,0.97,0.63,0.49,6.7,8.75,7.39,8.24,5.64,4.96,1.48E-02,1.69,9.82E+01
435,IBUTOLBO2H,CC(C)(CO)OO,,C4H10O3,106.12,UNKNOWN,N/A,4,10,0,3,0,0,0,17,0.75,-1,0,1,0,0,0,0,0,0,0,0,0,1,2,0.75,3.56,0.85,0.93,0.54,0.47,5.3,7.53,5.71,6.49,5.88,6.48,2.74E-03,5.26,1.63E+01
436,C1H4C5PAN,C(CC(CC(=O)OON(=O)=O)O)C=O,,C6H9NO7,207.14,UNKNOWN,N/A,6,9,1,7,0,0,0,23,1.17,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.96,6.61,1.34,1.09,0.31,0.69,8.6,10.15,10.12,10.77,7.15,4.38,1.23E-03,0.62,4.51E+03
437,HO2C4OH,CC(CCO)O,,C4H10O2,90.12,UNKNOWN,N/A,4,10,0,2,0,0,0,16,0.5,-1.5,0,2,0,0,0,0,0,0,0,0,0,0,2,0.71,3.31,0.79,0.62,0.63,0.42,5.2,6.22,5.72,6.98,5.57,6.78,2.60E-03,11.29,8.57E+00
438,C42NO33OOH,CC(C(C)OO)ON(=O)=O,,C4H9NO5,151.12,UNKNOWN,N/A,4,9,1,5,0,0,0,19,1.25,-1,0,0,0,0,0,0,0,0,1,0,0,1,2,1.15,4.42,1.02,0.71,0.31,0.45,5.7,6.29,6.76,6.09,5.58,3.36,5.51E-02,0.52,1.05E+03
439,IEB1OOH,CC(C=O)(C(CO)O)OO,,C5H10O5,150.13,UNKNOWN,N/A,5,10,0,5,0,0,0,20,1,0,0,2,1,0,0,0,0,0,0,0,0,1,4,1.59,5.5,1.06,1.48,0.81,0.89,8.8,13.49,8.69,11.31,7.22,8.02,1.64E-04,4.05,7.85E+00
440,M2BU2OLNO3,CC(C(C)(C)O)ON(=O)=O,,C5H11NO4,149.15,UNKNOWN,N/A,5,11,1,4,0,0,0,21,0.8,-1.6,0,1,0,0,0,0,0,0,1,0,0,0,2,0.88,4.42,1.1,0.6,0.23,0.42,5.2,4.68,6.11,5.34,5.3,3.1,4.34E-02,1.25,2.42E+03
441,NEBNZOLOH,CCC12C=CC(C(C1ON(=O)=O)OO2)(O)O,,C8H11NO7,233.18,EBENZ,2,8,11,1,7,0,0,0,27,0.88,-0.25,0,2,0,0,0,0,0,0,1,0,0,1,4,1.65,7.64,1.44,1.41,0.52,1.28,9.7,12.27,9.59,9.7,10.49,8.75,5.26E-07,0.67,4.56E+02
442,ETOLOH,Cc1ccccc1C(C)O,,C9H12O,136.19,UNKNOWN,N/A,9,12,0,1,0,0,0,22,0.11,-1.11,1,1,0,0,0,0,0,0,0,0,0,0,1,0.77,5.13,1.2,0.56,0.31,0.84,5.8,4.7,6.49,4.84,6.49,4.58,2.03E-03,1.74,1.71E+03
443,INAOOH,CC(CO)(C(CON(=O)=O)O)OO,,C5H11NO7,197.14,C5H8,2,5,11,1,7,0,0,0,24,1.4,-0.4,0,2,0,0,0,0,0,0,1,0,0,1,4,1.52,6.57,1.28,1.46,0.77,0.9,9.5,13.1,10.55,12.05,8.11,6.78,6.58E-05,1.28,3.34E+02
444,TM124OL,Cc1ccc(C)c(c1C)O,,C9H12O,136.19,TM124B,1,9,12,0,1,0,0,0,22,0.11,-1.11,1,1,0,0,0,0,0,0,0,0,0,0,1,0.73,5.19,1.2,0.39,0.31,0.86,5.7,3.77,7.48,4.44,6.35,3.5,8.42E-03,0.58,4.99E+03
445,H2M2C3CHO,CC(C)(CC=O)O,,C5H10O2,102.13,UNKNOWN,N/A,5,10,0,2,0,0,0,17,0.4,-1.2,0,1,1,0,0,0,0,0,0,0,0,0,2,0.94,3.58,0.89,0.64,0.31,0.42,4.8,5.43,5.07,6.17,4.74,4.73,1.41E-01,1.4,1.78E+01
446,LMKANO3,CC(=O)C1CCC(C)(C(C1)O)ON(=O)=O,,C9H15NO5,217.22,LIMONENE,2,9,15,1,5,0,0,0,30,0.56,-1.11,0,1,0,1,0,0,0,0,1,0,0,0,3,1.47,7.28,1.58,0.92,0.23,0.85,8.3,7.75,9.55,8.72,9.98,7.48,1.73E-05,1.46,1.38E+03
447,C103OH,CCCCC(C(CC(=O)CC)O)O,,C10H20O3,188.26,NC10H22,2,10,20,0,3,0,0,0,33,0.3,-1.4,0,2,0,1,0,0,0,0,0,0,0,0,3,1.21,6.8,1.65,0.97,0.54,0.62,8.6,8.25,8.35,8.48,7.95,5.78,8.14E-05,1.51,2.71E+03
448,HOCH2COCHO,C(=O)C(=O)CO,,C3H4O3,88.06,UNKNOWN,N/A,3,4,0,3,0,0,0,10,1,0.67,0,1,1,1,0,0,0,0,0,0,0,0,3,1.27,3,0.62,0.9,0.17,0.58,4.3,7.26,4.91,7.02,3.83,3.48,1.07E+00,1.56,4.18E+01
449,CH3COCH3,CC(=O)C,,C3H6O,58.08,UNKNOWN,N/A,3,6,0,1,0,0,0,10,0.33,-1.33,0,0,0,1,0,0,0,0,0,0,0,0,1,0.67,1.95,0.55,0.34,0,0.22,2.1,2.2,2.77,3.01,3.04,3.23,1.85E+01,0.55,4.27E+00
450,HC3CHO,C(=CCO)C=O,,C4H6O2,86.09,UNKNOWN,N/A,4,6,0,2,0,0,0,12,0.5,-0.5,0,1,1,0,0,0,0,0,0,0,0,0,2,1.1,3.42,0.7,0.66,0.31,0.59,4.8,6.23,5.89,6.95,6.32,7.77,8.11E-04,6.85,2.84E+00
451,COO2C4PAN,COC(=O)CCC(=O)OON(=O)=O,,C5H7NO7,193.11,BCARY,3,5,7,1,7,0,0,0,20,1.4,0.4,0,0,0,0,0,1,0,0,0,1,0,0,2,1.55,5.16,1.19,0.82,0,0.32,6,6.38,7.89,6.6,6.2,2.57,1.42E-02,0.48,2.55E+04
