,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
16,PTLQONE,CC1=CC(=O)C=CC1=O,,C7H6O2,122.12,TOLUENE,2,7,6,0,2,0,0,0,15,0.29,-0.29,0,0,0,2,0,0,0,0,0,0,0,0,2,0.38,3.86,0.93,0.77,0,0.88,3.4,3.87,7.88,7.22,5.86,4.7,1.69E-02,0.9,1.60E+02
17,C137CO,C=C(CC=O)C1CC(C)(C)C1CCC(=O)O,,C13H20O3,224.3,BCARY,1,13,20,0,3,0,0,0,36,0.23,-1.08,0,0,1,0,1,0,0,0,0,0,0,0,2,1.2,7.67,1.88,0.81,0.57,0.71,9.4,7.38,10.28,8.73,10.2,8.27,4.52E-07,1.55,1.61E+03
18,MBOAOOH,CC(C)(C(CO)OO)O,,C5H12O4,136.15,MBO,1,5,12,0,4,0,0,0,21,0.8,-0.8,0,2,0,0,0,0,0,0,0,0,0,1,3,0.99,4.83,1.05,1.28,0.81,0.7,7.5,10.99,7.72,10.03,6.25,7.21,7.21E-04,8.48,1.15E+01
19,EPXDLCO2H,C(=O)C1C(C(=O)O)O1,,C4H4O4,116.07,UNKNOWN,N/A,4,4,0,4,0,0,0,12,1,1,0,0,1,0,1,0,1,0,0,0,0,0,3,1.38,4.12,0.71,0.9,0.57,0.67,6.4,9.35,6.43,8.55,7.77,8.11,1.88E-04,1.06,5.53E+00
20,CLOHCO3H,C(C(=O)OO)(Cl)O,,C2H3ClO4,126.5,VINCL,2,2,3,0,4,1,0,0,10,2,3,0,1,0,0,0,0,0,0,0,0,1,0,3,1.02,2.95,0.7,0.94,0.6,0.53,5.4,8.39,5.74,5.77,6.51,6.49,1.84E-01,0.02,2.37E-01
21,BOXCOCOME,CCCCOC(=O)C(=O)C,,C7H12O3,144.17,BOX2PROL,2,7,12,0,3,0,0,0,22,0.43,-0.86,0,0,0,1,0,1,0,0,0,0,0,0,2,1.08,4.54,1.19,0.68,0,0.27,4.9,4.46,5.26,4.18,5.76,3.48,2.35E-02,0.81,1.89E+03
22,MALDIAL,C(=CC=O)C=O,,C4H4O2,84.07,UNKNOWN,N/A,4,4,0,2,0,0,0,10,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1.38,3.42,0.66,0.67,0,0.63,4.2,5.75,5.53,6.04,4.45,4.19,2.50E-01,1.62,3.46E+01
23,C6PAN21,CCC(C)(CC(=O)OON(=O)=O)O,,C6H11NO6,193.15,M3HEX,2,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.36,5.55,1.32,0.81,0.31,0.44,7,7.03,7.92,7.59,5.51,1.86,4.39E-02,0.77,4.14E+04
24,DEMPHOLOOH,CCC12C=C(C)C(C(CC)(C1O)OO2)(O)OO,,C11H18O6,246.26,DIET35TOL,2,11,18,0,6,0,0,0,35,0.55,-0.55,0,2,0,0,0,0,0,0,0,0,0,2,4,1.37,8.35,1.75,1.88,0.77,1.31,10.9,14.7,10.66,10.41,10.5,8.52,4.90E-07,0.71,8.26E+02
25,C6PAN23,CCCCC(C(=O)OON(=O)=O)O,,C6H11NO6,193.15,UNKNOWN,N/A,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.19,5.14,1.32,0.8,0.17,0.39,6.1,5.9,7.98,6.79,5.5,2,7.27E-02,0.47,1.84E+04
26,C6PAN22,CCCC(CC(=O)OON(=O)=O)O,,C6H11NO6,193.15,UNKNOWN,N/A,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.41,5.77,1.32,0.8,0.31,0.46,7.2,7.19,8.3,7.5,6.07,2.43,1.21E-02,0.77,4.11E+04
27,EBZMUCOOH,CCC(=O)C(C(C1C(C=O)O1)O)OO,,C8H12O6,204.18,EBENZ,2,8,12,0,6,0,0,0,26,0.75,0,0,1,1,1,0,0,1,0,0,0,0,1,5,2.03,7.67,1.39,1.85,0.5,1.23,10.3,15.34,10.39,12.9,8.98,7.29,8.45E-06,1.37,8.05E+02
28,DMKOHOOH,CC(=O)C(C(C(=O)C)OO)O,,C6H10O5,162.14,UNKNOWN,N/A,6,10,0,5,0,0,0,21,0.83,0,0,1,0,2,0,0,0,0,0,0,0,1,4,1.56,5.43,1.16,1.56,0.4,0.85,7.7,11.99,8.38,10.24,7.51,7.4,1.31E-04,2.6,4.03E+01
29,IPBZBPR2OH,CC(C)C12C=CC(C(C1O)OO2)O,,C9H14O4,186.21,IPBENZ,1,9,14,0,4,0,0,0,27,0.44,-0.67,0,2,0,0,0,0,0,0,0,0,0,1,3,1.08,6.61,1.35,1.38,0.46,1.15,8,10.49,9.12,9.21,9.64,9.33,9.07E-07,2.74,6.99E+01
30,MPRK,CCCC(=O)C,,C5H10O,86.13,UNKNOWN,N/A,5,10,0,1,0,0,0,16,0.2,-1.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0.68,2.94,0.83,0.34,0,0.21,3,2.01,3.33,2.57,3.47,2.64,5.55E+00,0.66,5.46E+01
31,NOA,CC(=O)CON(=O)=O,,C3H5NO4,119.08,UNKNOWN,N/A,3,5,1,4,0,0,0,13,1.33,-0.67,0,0,0,1,0,0,0,0,1,0,0,0,2,1.24,3.65,0.78,0.47,0,0.4,4.1,4.26,5.93,5.52,4.92,3.08,1.55E-01,0.85,7.22E+02
32,BIACETOOH,CC(=O)C(=O)COO,,C4H6O4,118.09,UNKNOWN,N/A,4,6,0,4,0,0,0,14,1,0.5,0,0,0,2,0,0,0,0,0,0,0,1,3,1.59,4.37,0.82,1.13,0.31,0.67,6.3,9.8,6.28,7.47,5.69,5.13,1.85E-02,1.21,5.41E+01
33,HEPTOH,CCCCC(CC)O,,C7H16O,116.2,UNKNOWN,N/A,7,16,0,1,0,0,0,24,0.14,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.45,3.95,1.15,0.35,0.31,0.21,4.5,2.5,4.6,2.99,4.71,2.73,5.86E-02,3.63,4.20E+03
34,C6CO4MEDB,CCC(=C(C)C(=O)C=O)C(=O)C=O,,C9H10O4,182.17,OETHTOL,3,9,10,0,4,0,0,0,23,0.44,-0.22,0,0,2,2,0,0,0,0,0,0,0,0,4,2.27,7.03,1.4,1.33,0,1,8.5,10.86,8.88,9.43,6.35,3.22,5.27E-03,0.93,1.53E+04
35,PEBQONE,CCC1=CC(=O)C=CC1=O,,C8H8O2,136.15,EBENZ,2,8,8,0,2,0,0,0,18,0.25,-0.5,0,0,0,2,0,0,0,0,0,0,0,0,2,0.38,4.35,1.07,0.78,0,0.87,3.8,3.81,8.11,7.05,6.2,4.6,8.45E-03,0.82,3.98E+02
36,C42OH,C(=O)C(C(CON(=O)=O)O)O,,C4H7NO6,165.1,UNKNOWN,N/A,4,7,1,6,0,0,0,18,1.5,0,0,2,1,0,0,0,0,0,1,0,0,0,4,1.56,5.08,1.04,1.11,0.36,0.78,7,9.64,9.19,10.58,7.09,5.6,1.05E-03,0.84,3.17E+02
37,C63NO3,CCC(=O)CC(CO)ON(=O)=O,,C6H11NO5,177.16,UNKNOWN,N/A,6,11,1,5,0,0,0,23,0.83,-1,0,1,0,1,0,0,0,0,1,0,0,0,3,1.45,5.96,1.26,0.87,0.23,0.65,7.1,7.57,8.24,8.37,7.61,5.87,1.67E-04,1.62,1.07E+03
38,C514OH,C(C=O)C(CC=O)O,,C5H8O3,116.12,UNKNOWN,N/A,5,8,0,3,0,0,0,16,0.6,-0.4,0,1,2,0,0,0,0,0,0,0,0,0,3,1.54,4.64,0.9,0.92,0.31,0.68,6.4,8.55,7.23,9.32,6.08,6.63,3.97E-03,2.27,7.86E+00
39,ACETC2CO2H,CC(=O)OCCC(=O)O,,C5H8O4,132.11,NPROACET,2,5,8,0,4,0,0,0,17,0.8,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1.02,3.95,0.96,0.69,0.57,0.23,6,6.84,7.24,8.06,7.75,8.19,7.37E-05,2.65,1.17E+01
40,C917NO3,CC(C)(C1CC(=O)CCC1=O)ON(=O)=O,,C9H13NO5,215.2,BPINENE,2,9,13,1,5,0,0,0,28,0.56,-0.89,0,0,0,2,0,0,0,0,1,0,0,0,3,1.76,7.16,1.53,0.83,0,0.81,7.8,7.01,9.62,8.77,8.63,6.75,2.21E-05,1.18,1.09E+03
41,C620OH,C(C=O)C(C(=O)CC=O)O,,C6H8O4,144.13,BPINENE,2,6,8,0,4,0,0,0,18,0.67,0,0,1,2,1,0,0,0,0,0,0,0,0,4,1.82,5.21,1.06,1.22,0.17,0.81,6.9,10,8.18,10.36,6.99,6.99,2.85E-04,3.92,4.81E+01
42,CNO3OCL,C(C(=O)Cl)ON(=O)=O,,C2H2ClNO4,139.49,VINCL,1,2,2,1,4,1,0,0,10,2,1,0,0,0,1,0,0,0,0,1,0,0,0,3,1.38,3.81,0.76,0.46,0,0.53,4.4,4.6,5.95,4.43,4.11,1.02,3.69E+00,0.24,3.43E+03
43,NEBNZOLOOH,CCC12C=CC(C(C1ON(=O)=O)OO2)(O)OO,,C8H11NO8,249.17,EBENZ,2,8,11,1,8,0,0,0,28,1,0,0,1,0,0,0,0,0,0,1,0,0,2,4,1.82,7.99,1.5,1.6,0.54,1.31,10.3,13.69,10.42,9.5,10.47,7.97,2.10E-06,0.18,6.81E+02
44,NPETOLOH,CCC12C(C(C(=CC1(O)O)C)OO2)ON(=O)=O,,C9H13NO7,247.2,PETHTOL,2,9,13,1,7,0,0,0,30,0.78,-0.44,0,2,0,0,0,0,0,0,1,0,0,1,4,1.6,8,1.58,1.43,0.52,1.26,9.9,12.1,9.86,9.63,8.64,6.75,1.25E-06,0.92,3.55E+03
45,C731OOH,CC(=O)C(CC=O)CCOO,,C7H12O4,160.17,LIMONENE,2,7,12,0,4,0,0,0,23,0.57,-0.57,0,0,1,1,0,0,0,0,0,0,0,1,3,1.65,5.87,1.24,1.15,0.31,0.69,7.7,9.71,8.85,10.01,7.48,7.06,2.42E-04,1.49,4.84E+01
46,NC524OOH,C(C(C(CO)(CO)OO)ON(=O)=O)O,,C5H11NO8,213.14,C5H8,2,5,11,1,8,0,0,0,25,1.6,0,0,3,0,0,0,0,0,0,1,0,0,1,5,1.77,7.46,1.34,1.79,1.04,1.12,11.3,16.63,12.24,14.61,9.92,9.35,8.08E-07,1.65,7.42E+01
47,C51NO324CO,CC(=O)CC(=O)CON(=O)=O,,C5H7NO5,161.11,UNKNOWN,N/A,5,7,1,5,0,0,0,18,1,-0.4,0,0,0,2,0,0,0,0,1,0,0,0,3,1.74,5.34,1.08,0.78,0,0.61,6.2,6.94,7.72,7.69,6.66,4.28,2.42E-03,0.99,2.90E+03
48,C62NO335CO,CC(=O)CC(=O)C(C)ON(=O)=O,,C6H9NO5,175.14,UNKNOWN,N/A,6,9,1,5,0,0,0,21,0.83,-0.67,0,0,0,2,0,0,0,0,1,0,0,0,3,1.73,5.72,1.22,0.81,0,0.62,6.6,6.91,7.46,7.16,6.53,3.97,3.37E-03,0.95,4.25E+03
49,C925OOH,CC(=O)C(=O)CC(CO)C(C)(CO)OO,,C9H16O6,220.22,LIMONENE,2,9,16,0,6,0,0,0,31,0.67,-0.44,0,2,0,2,0,0,0,0,0,0,0,1,5,2.02,8.17,1.64,1.86,0.85,1.09,11.8,16.34,10.62,14.08,10.5,10.59,5.81E-08,5.96,5.91E+01
