substrate,well,dioxazolone,OH,product,yield (%),predicted
A1-C26,W1302,CC1=CC=C(C(O2)=NOC2=O)C=C1,COC1=CC=C(CCO)C=C1,COC1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,50,43.52290344
A1-C27,W1303,CC1=CC=C(C(O2)=NOC2=O)C=C1,FC1=CC=C(CCO)C=C1,FC1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,79,74.95580292
A1-C28,W1304,CC1=CC=C(C(O2)=NOC2=O)C=C1,BrC1=CC=C(CCO)C=C1,BrC1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,83,70.50095367
A1-C29,W1305,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=CC=CC(Br)=C1,BrC1=CC(CCOC(NC2=CC=C(C)C=C2)=O)=CC=C1,84,72.81725311
A1-C30,W1306,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=CC=C([N+]([O-])=O)C=C1,CC(C=C1)=CC=C1NC(OCCC2=CC=C([N+]([O-])=O)C=C2)=O,40,31.02974129
A1-C31,W1307,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=C(C=CC=C2)C2=CC=C1,CC(C=C1)=CC=C1NC(OCCC2=C(C=CC=C3)C3=CC=C2)=O,45,41.68614578
A1-C32,W1308,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=CC=CS1,CC(C=C1)=CC=C1NC(OCCC2=CC=CS2)=O,75,69.7052002
A1-C33,W1309,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=CC=CC=N1,CC(C=C1)=CC=C1NC(OCCC2=CC=CC=N2)=O,69,78.51515198
A1-C34,W1310,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCCC1=C(Br)C=CC=C1,BrC1=C(CCCOC(NC2=CC=C(C)C=C2)=O)C=CC=C1,52,42.95261383
A1-C35,W1311,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC(C)C1=CC=CC=C1,CC(COC(NC1=CC=C(C)C=C1)=O)C2=CC=CC=C2,44,44.735466
A1-C36,W1312,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC#CC1=CC=CC=C1,CC(C=C1)=CC=C1NC(OCC#CC2=CC=CC=C2)=O,76,73.46257019
A1-C37,W1313,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCOC1=CC=CC=C1,CC(C=C1)=CC=C1NC(OCCOC2=CC=CC=C2)=O,81,73.82668304
A1-C38,W1314,CC1=CC=C(C(O2)=NOC2=O)C=C1,OC1CCCC1,CC(C=C1)=CC=C1NC(OC2CCCC2)=O,67,75.95739746
A1-C39,W1315,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1CCCCC1,CC(C=C1)=CC=C1NC(OCC2CCCCC2)=O,39,49.66862106
A1-C40,W1316,CC1=CC=C(C(O2)=NOC2=O)C=C1,CN(CCO)CC1=CC=CC=C1,CN(CCOC(NC1=CC=C(C)C=C1)=O)CC2=CC=CC=C2,36,36.1659584
A1-C41,W1317,CC1=CC=C(C(O2)=NOC2=O)C=C1,C=CCCO,C=CCCOC(NC1=CC=C(C)C=C1)=O,63,65.40024567
A1-C42,W1318,CC1=CC=C(C(O2)=NOC2=O)C=C1,OC(C=C)(CC/C=C(C)/C)C,CC(C=C)(CC/C=C(C)/C)OC(NC1=CC=C(C)C=C1)=O,39,41.79891968
