substrate,well,dioxazolone,OH,product,yield (%),predicted
A9-B2,W29,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=CC=CC(C)=C1,O=C(NCC1=CC=CC=C1)OC2=CC(C)=CC=C2,60,60.04758453
A10-B2,W30,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=CC=CC(C)=C1,O=C(NCC1=CC=C(F)C=C1)OC2=CC(C)=CC=C2,61,61.42341232
A11-B2,W31,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=CC=CC(C)=C1,O=C(NCC1=C(Cl)C=CC=C1)OC2=CC(C)=CC=C2,77,76.40036011
A12-B2,W32,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=CC=CC(C)=C1,O=C(NCC1=CC(Br)=CC=C1)OC2=CC(C)=CC=C2,82,82.55445862
A13-B2,W33,O=C(O1)ON=C1CC2=CC=CC=C2I,OC1=CC=CC(C)=C1,O=C(NCC1=C(I)C=CC=C1)OC2=CC(C)=CC=C2,51,51.77589035
A14-B2,W34,O=C(O1)ON=C1CC2=CC=C(C=CC=C3)C3=C2,OC1=CC=CC(C)=C1,O=C(NCC1=CC(C=CC=C2)=C2C=C1)OC3=CC(C)=CC=C3,46,46.37419128
A15-B2,W35,O=C(O1)ON=C1CC2=CC=CO2,OC1=CC=CC(C)=C1,O=C(NCC1=CC=CO1)OC2=CC(C)=CC=C2,51,51.19395828
A16-B2,W36,O=C(O1)ON=C1CCC2=CC=CC=C2,OC1=CC=CC(C)=C1,O=C(NCCC1=CC=CC=C1)OC2=CC(C)=CC=C2,79,78.90054321
A17-B2,W37,O=C(O1)ON=C1CCCC2=CNC3=C2C=CC=C3,OC1=CC=CC(C)=C1,O=C(NCCCC1=CNC2=C1C=CC=C2)OC3=CC(C)=CC=C3,35,34.76726151
A18-B2,W38,O=C(O1)ON=C1CCCC,OC1=CC=CC(C)=C1,O=C(NCCCC)OC1=CC(C)=CC=C1,43,42.4175148
A19-B2,W39,O=C(O1)ON=C1C2C3C(C(OC)=O)C2C3,OC1=CC=CC(C)=C1,O=C(NC1C2C(C(OC)=O)C1C2)OC3=CC(C)=CC=C3,56,61.11287689
A20-B2,W40,O=C(O1)ON=C1CC2(CC3C4)CC(C3)CC4C2,OC1=CC=CC(C)=C1,O=C(NCC1(CC2C3)CC3CC(C2)C1)OC4=CC(C)=CC=C4,0,0
A1-B3,W41,O=C(O1)ON=C1C2=CC=C(C)C=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC=C(C)C=C1)OC2=CC=C(C)C=C2,50,54.52153397
A2-B3,W42,O=C(O1)ON=C1C2=CC=CC=C2C,OC1=CC=C(C)C=C1,O=C(NC1=CC=CC=C1C)OC2=CC=C(C)C=C2,65,64.79801178
A3-B3,W43,O=C(O1)ON=C1C2=CC=CC(C)=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC=CC(C)=C1)OC2=CC=C(C)C=C2,70,70.10723877
A4-B3,W44,O=C(O1)ON=C1C2=CC=C(OC)C=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC=C(OC)C=C1)OC2=CC=C(C)C=C2,77,77.24593353
A5-B3,W45,O=C(O1)ON=C1C2=CC=C(C(C)(C)C)C=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC=C(C(C)(C)C)C=C1)OC2=CC=C(C)C=C2,88,75.19698334
A6-B3,W46,O=C(O1)ON=C1C2=CC=C(C(OC)=O)C=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC=C(C(OC)=O)C=C1)OC2=CC=C(C)C=C2,40,58.75224304
A7-B3,W47,O=C(O1)ON=C1C2=CC(C)=CC(C)=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC(C)=CC(C)=C1)OC2=CC=C(C)C=C2,54,53.39666748
A8-B3,W48,O=C(O1)ON=C1C2=CC=C3C(OCCO3)=C2,OC1=CC=C(C)C=C1,O=C(NC1=CC=C2C(OCCO2)=C1)OC3=CC=C(C)C=C3,69,69.48886871
A9-B3,W49,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=CC=C(C)C=C1,O=C(NCC1=CC=CC=C1)OC2=CC=C(C)C=C2,51,51.14858627
A10-B3,W50,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=CC=C(C)C=C1,O=C(NCC1=CC=C(F)C=C1)OC2=CC=C(C)C=C2,62,61.00139236
A11-B3,W51,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=CC=C(C)C=C1,O=C(NCC1=C(Cl)C=CC=C1)OC2=CC=C(C)C=C2,66,66.42559814
A12-B3,W52,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=CC=C(C)C=C1,O=C(NCC1=CC(Br)=CC=C1)OC2=CC=C(C)C=C2,83,82.41043854
A13-B3,W53,O=C(O1)ON=C1CC2=CC=CC=C2I,OC1=CC=C(C)C=C1,O=C(NCC1=C(I)C=CC=C1)OC2=CC=C(C)C=C2,54,53.34488678
A14-B3,W54,O=C(O1)ON=C1CC2=CC=C(C=CC=C3)C3=C2,OC1=CC=C(C)C=C1,O=C(NCC1=CC(C=CC=C2)=C2C=C1)OC3=CC=C(C)C=C3,51,50.18738556
A15-B3,W55,O=C(O1)ON=C1CC2=CC=CO2,OC1=CC=C(C)C=C1,O=C(NCC1=CC=CO1)OC2=CC=C(C)C=C2,46,45.82584
A16-B3,W56,O=C(O1)ON=C1CCC2=CC=CC=C2,OC1=CC=C(C)C=C1,O=C(NCCC1=CC=CC=C1)OC2=CC=C(C)C=C2,74,73.99023438
A17-B3,W57,O=C(O1)ON=C1CCCC2=CNC3=C2C=CC=C3,OC1=CC=C(C)C=C1,O=C(NCCCC1=CNC2=C1C=CC=C2)OC3=CC=C(C)C=C3,32,32.39593506
A18-B3,W58,O=C(O1)ON=C1CCCC,OC1=CC=C(C)C=C1,O=C(NCCCC)OC1=CC=C(C)C=C1,37,36.84074402
A19-B3,W59,O=C(O1)ON=C1C2C3C(C(OC)=O)C2C3,OC1=CC=C(C)C=C1,O=C(NC1C2C(C(OC)=O)C1C2)OC3=CC=C(C)C=C3,50,58.39113998
A20-B3,W60,O=C(O1)ON=C1CC2(CC3C4)CC(C3)CC4C2,OC1=CC=C(C)C=C1,O=C(NCC1(CC2C3)CC3CC(C2)C1)OC4=CC=C(C)C=C4,0,0
A1-B4,W61,O=C(O1)ON=C1C2=CC=C(C)C=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=C(C)C=C1)OC2=C(C(C)C)C=CC=C2,56,54.69852448
A2-B4,W62,O=C(O1)ON=C1C2=CC=CC=C2C,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=CC=C1C)OC2=C(C(C)C)C=CC=C2,38,41.16463852
A3-B4,W63,O=C(O1)ON=C1C2=CC=CC(C)=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=CC(C)=C1)OC2=C(C(C)C)C=CC=C2,49,49.87233353
A4-B4,W64,O=C(O1)ON=C1C2=CC=C(OC)C=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=C(OC)C=C1)OC2=C(C(C)C)C=CC=C2,51,49.76836777
A5-B4,W65,O=C(O1)ON=C1C2=CC=C(C(C)(C)C)C=C2,OC1=C(C(C)C)C=CC=C1,O=C(NC1=CC=C(C(C)(C)C)C=C1)OC2=C(C(C)C)C=CC=C2,47,55.01538849
