Index,Aldehyde_1
1,CC(C)(C)c1ccc(C=O)cc1
2,O=Cc1ccc(Cl)cc1
3,O=Cc1cccc(Br)c1
4,O=Cc1ccc(C(F)(F)F)cc1
5,COC(=O)c1ccc(C=O)cc1
6,N#Cc1ccc(C=O)cc1
7,O=Cc1cccnc1
8,O=Cc1ccc(-c2ccccn2)cc1
9,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1
10,O=Cc1cc(Cl)cc(Cl)c1
11,CC(=O)c1ccc(C=O)cc1
12,O=Cc1cocn1
13,O=Cc1ccc2ccccc2c1
14,O=Cc1ccc2occc2c1
15,O=C1CCOCC1
16,O=C1CCC(c2ccccc2)CC1
17,O=C1CCOC1
18,O=C1CCOc2ccccc21
19,CC(=O)c1ccccc1
20,O=C(c1ccccc1)C(F)(F)F
21,CC(=O)C1CCCCC1
22,CC(=O)C1CCOCC1
23,O=Cc1ccc(-c2ccccc2)cc1
24,CC(C)C=O
25,O=CC1CC1
26,CC(C)(C)C=O
27,CC(C)CC=O
28,O=CC1CCC1
29,O=CC1CCCCC1
30,O=CC1CCOCC1
31,O=CC1CCN(C(=O)OCc2ccccc2)CC1
32,Cc1ccc(C=O)cc1
33,O=Cc1ccc(F)cc1Cl
34,O=Cc1cccc(Cl)c1
35,Cc1cccc(C=O)c1
36,CC(=O)Nc1ccc(C=O)cc1
37,Cc1ccc(C=O)cn1
38,O=Cc1cccc(F)c1
39,O=Cc1ccc(Cl)c(Cl)c1
40,O=Cc1ccccc1
41,O=Cc1ccc2c(c1)OCC2
42,O=Cc1ccc(N2CCCC2)cc1
43,COc1cc2ccccc2cc1C=O
44,CC(C)Cc1ccc(C=O)cc1
45,Cc1ccc2[nH]cc(C=O)c2c1
46,COc1ccnc(C=O)c1
47,O=Cc1cccc([N+](=O)[O-])c1O
48,O=Cc1ccc(F)c2ccccc12
49,C=CCOc1ccc(C=O)cc1
50,O=Cc1cccc(C(F)(F)F)c1
