Base,equiv(Base),Reactant1,equiv(Reactant1),Reactant2,equiv(Reactant2),Product,yield,solvent,DielectricConstant,time,T,Additive1,equiv(Additive1),Additive2,equiv(Additive2),MS,MWI,doi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(N)C1=CC=CC=C1,0.833333333,O=S(=O)(F)C1=CC=CC=C1,1,CC(C)(NS(=O)(=O)C1=CC=CC=C1)C1=CC=CC=C1,95,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NC12CC3CC(C1)CC(O)(C3)C2,0.833333333,O=S(=O)(F)C1=CC=C(F)C=C1,1,O=S(=O)(NC12CC3CC(CC(O)(C3)C1)C2)C1=CC=C(F)C=C1,95,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(N)C1=CC=CC=C1,0.833333333,COC1=CC=C(S(=O)(=O)F)C=C1,1,COC1=CC=C(S(=O)(=O)NC(C)C2=CC=CC=C2)C=C1,95,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,2,CC1=CC=C(N)C=C1,2,CC1=CC=C(S(=O)(=O)F)C=C1,1,CC1=CC=C(NS(=O)(=O)C2=CC=C(C)C=C2)C=C1,94,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.01,C[Si](O[Si]([H])(C)C)([H])C,2,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1,C[C@H]1COCCN1,2,O=S(=O)(F)OC1=CC=C(Br)C=C1,1,C[C@H]1COCCN1S(=O)(=O)OC1=CC=C(Br)C=C1,94,CS(=O)C,46.8,48,25,C1=CC=C2C(=C1)N=NN2O,0.05,C[Si](O[Si]([H])(C)C)([H])C,2,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C[C@H](N)C1=CC=CC=C1,0.5,CC(C)C1=CC=C(OS(=O)(=O)F)C=C1,1,CC(C)C1=CC=C(OS(=O)(=O)N[C@@H](C)C2=CC=CC=C2)C=C1,94,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(C)N,0.833333333,COC1=CC=C(S(=O)(=O)F)C=C1,1,COC1=CC=C(S(=O)(=O)NC(C)(C)C)C=C1,94,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NCC1=CC=CC=N1,0.833333333,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,CC1=CC(C)=C(S(=O)(=O)NCC2=CC=CC=N2)C(C)=C1,94,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NC(C1=CC=CC=C1)C1=CC=CC=C1,0.833333333,O=S(=O)(F)C1=CC=CS1,1,O=S(=O)(NC(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CS1,94,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NC1=CC=C(N)C=C1,0.833333333,CC1=CC=C(S(=O)(=O)F)C=C1,1,CC1=CC=C(S(=O)(=O)NC2=CC=C(N)C=C2)C=C1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C=CCNCC=C,0.5,O=S(=O)(F)OC1=CC=C(I)C=C1,1,C=CCN(CC=C)S(=O)(=O)OC1=CC=C(I)C=C1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CCCNCCC,0.5,COC1=CC=C(OS(=O)(=O)F)C=C1,1,CCCN(CCC)S(=O)(=O)OC1=CC=C(OC)C=C1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C1CC2(CCN1)OCCO2,0.5,CC(C)(C)C1=CC(OS(=O)(=O)F)=CC(C(C)(C)C)=C1,1,CC(C)(C)C1=CC(OS(=O)(=O)N2CCC3(CC2)OCCO3)=CC(C(C)(C)C)=C1,93,CN1CCCC1=O,32.2,24,50,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](C)(C)O[Si](C)(C)C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,N[C@H](C1=CC=CC=C1)[C@H](N)C1=CC=CC=C1,0.833333333,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)N[C@H](C2=CC=CC=C2)[C@H](N)C2=CC=CC=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,2,NC1=CC=C(N2CCOCC2)C=C1,2,O=S(=O)(F)C1=CC=CC2=C1C=CC=C2,1,O=S(=O)(NC1=CC=C(N2CCOCC2)C=C1)C1=CC=CC2=C1C=CC=C2,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.01,C[Si](O[Si]([H])(C)C)([H])C,2,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C[C@@H](N)C1=CC=CC2=C1C=CC=C2,0.5,CC[C@H]1CC[C@H](C2=CC=C(OS(=O)(=O)F)C=C2)CC1,1,CC[C@H]1CC[C@H](C2=CC=C(OS(=O)(=O)N[C@H](C)C3=CC=CC4=C3C=CC=C4)C=C2)CC1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(C)N,0.833333333,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC(S(=O)(=O)F)=CC=C1,1,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC=CC(S(=O)(=O)NC(C)(C)C)=C1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,NC12CC3CC(CC(C3)C1)C2,0.5,COC1=CC=C(OS(=O)(=O)F)C=C1,1,COC1=CC=C(OS(=O)(=O)NC23CC4CC(CC(C4)C2)C3)C=C1,93,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,[H][C@@]12CC[N@]([C@]([C@@H](C3=CC=NC4=C3C=C(C=C4)OC)N)(C2)[H])C[C@@H]1C=C,0.833333333,CC1=CC=C(S(=O)(=O)F)C=C1,1,[H][C@@]12CC[N@@](C[C@@H]1C=C)[C@]([H])([C@@H](NS(=O)(=O)C1=CC=C(C)C=C1)C1=CC=NC3=C1C=C(OC)C=C3)C2,92,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CC(C)(C)N,0.5,CC(C)C1=CC=C(OS(=O)(=O)F)C=C1,1,CC(C)C1=CC=C(OS(=O)(=O)NC(C)(C)C)C=C1,92,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C[C@H](N)C1=CC=CC=C1,0.5,COC1=CC=C(OS(=O)(=O)F)C=C1,1,COC1=CC=C(OS(=O)(=O)N[C@@H](C)C2=CC=CC=C2)C=C1,92,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.333333333,[H][C@@]12OC(C)(C)O[C@]1([H])[C@@H](OCCO)C[C@H]2N,0.666666667,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,[H][C@@]12OC(C)(C)O[C@]1([H])[C@@H](OCCO)C[C@H]2NS(=O)(=O)C1=C(C)C=C(C)C=C1C,92,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.006666667,C[Si](O[Si]([H])(C)C)([H])C,1.333333333,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,2,NC1=CC=CC=C1,2,O=S(=O)(F)C1=CC=C(C(F)(F)F)C=C1,1,O=S(=O)(NC1=CC=CC=C1)C1=CC=C(C(F)(F)F)C=C1,92,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.01,C[Si](O[Si]([H])(C)C)([H])C,2,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,CC(C)(C)N,0.5,[H][C@@]12CCC3=CC(OS(=O)(=O)F)=CC=C3[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H],1,[H][C@@]12CCC3=CC(OS(=O)(=O)NC(C)(C)C)=CC=C3[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H],91,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
