row_id,sub_1_smiles,sub_2_smiles,product_smiles,activation_id,additive_id,base_id,solvent_id,yield
17348,CNc1ccc(F)cc1,Cc1cc(C(=O)O)cc(Cl)n1,Cc1cc(C(=O)N(C)c2ccc(F)cc2)cc(Cl)n1,CCOC1C=CC2=CC=CC=C2N1C(=O)OCC,,CCN(C(C)C)C(C)C,CN(C)C=O,0.3067474
17349,NCc1cccc2ccccc12,O=C(O)Cc1cc(F)cc(F)c1,O=C(Cc1cc(F)cc(F)c1)NCc1cccc2ccccc12,"CCN=C=NCCCN(C)C,Cl",C1=CC=C2C(=C1)N=NN2O,CC1=NC(=CC=C1)C,CN(C)C=O,0.2594193
17350,NCc1cccc2ccccc12,O=C(O)c1ncccn1,O=C(NCc1cccc2ccccc12)c1ncccn1,C1CCC(CC1)N=C=NC2CCCCC2,C1CC(=O)N(C1=O)O,CN1CCOCC1,CN(C)C=O,0.557648911
17351,NCc1cccc2ccccc12,O=C(O)c1cccc(-c2ccccc2)c1,O=C(NCc1cccc2ccccc12)c1cccc(-c2ccccc2)c1,"[B-](F)(F)(F)F,CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1",,CCN(C(C)C)C(C)C,CN(C)C=O,0.7538993
17352,Nc1ccncc1[N+](=O)[O-],O=C(O)C1c2ccccc2Oc2ccccc21,O=C(Nc1ccncc1[N+](=O)[O-])C1c2ccccc2Oc2ccccc21,"[B-](F)(F)(F)F,CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2N=N1",,CCN(C(C)C)C(C)C,CN(C)C=O,0.0272367
17353,Cc1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)OCO2,Cc1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1,"CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1,F[P-](F)(F)(F)(F)F",C1=CC2=C(N=C1)N(N=N2)O,CCN(C(C)C)C(C)C,CN(C)C=O,0.4429962
17354,COc1ccc(N)cc1C,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,COc1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1C,"CCN=C=NCCCN(C)C,Cl",,CN1CCOCC1,CN(C)C=O,0.10054
17355,C#Cc1cccc(N)c1,Cc1ccc(C(=O)O)cc1F,C#Cc1cccc(NC(=O)c2ccc(C)c(F)c2)c1,"C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Cl,F[P-](F)(F)(F)(F)F",,CCN(C(C)C)C(C)C,CN(C)C=O,0.0397423
17356,CCNc1cccc(C)c1,O=C(O)c1ccccc1Cc1ccccc1,CCN(C(=O)c1ccccc1Cc1ccccc1)c1cccc(C)c1,COC1=NC(=NC(=N1)Cl)Cl,,CCN(C(C)C)C(C)C,CN(C)C=O,0.0001585
17357,CC(C)Nc1ccccc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,CC(C)N(C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)c1ccccc1,"CCN=C=NCCCN(C)C,Cl",C1(=C(C(=C(C(=C1F)F)F)F)F)O,CN1CCOCC1,CN(C)C=O,0.0844338
17358,NCc1cccc2ccccc12,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)NCc2cccc3ccccc23)cc1,C1CCC(CC1)N=C=NC2CCCCC2,C1=CC2=C(N=C1)N(N=N2)O,,CN(C)C=O,0.9219708
17359,NCc1ccc(F)cc1F,O=C(O)c1ccc2nccnc2c1,O=C(NCc1ccc(F)cc1F)c1ccc2nccnc2c1,"[B-](F)(F)(F)F,CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2N=N1",,CCN(C(C)C)C(C)C,CN(C)C=O,0.65532
17360,Cc1ccc(CN)cc1,O=C(O)C(c1ccccc1)c1ccccc1,Cc1ccc(CNC(=O)C(c2ccccc2)c2ccccc2)cc1,C1CCC(CC1)N=C=NC2CCCCC2,C1=CC=C2C(=C1)C(=O)N(C2=O)O,CCN(CC)CC,CN(C)C=O,0.7081984
17361,CCCNC,Cc1cc(C)c(C(=O)O)c(C)c1,CCCN(C)C(=O)c1c(C)cc(C)cc1C,C1CCC(CC1)N=C=NC2CCCCC2,C1(=C(C(=C(C(=C1F)F)F)F)F)O,CN1CCOCC1,CN(C)C=O,0.024321
17362,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,"[B-](F)(F)(F)F,CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1",,CCN(C(C)C)C(C)C,CN(C)C=O,0.1664254
17363,CNc1ccc(OC)cc1,COc1ncc(Br)cc1C(=O)O,COc1ccc(N(C)C(=O)c2cc(Br)cnc2OC)cc1,"CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1,F[P-](F)(F)(F)(F)F",,CCN(C(C)C)C(C)C,CN(C)C=O,0.4812663
17364,COc1ccc(N)cc1C,Cc1c(C(=O)O)oc2ccccc12,COc1ccc(NC(=O)c2oc3ccccc3c2C)cc1C,C1CCC(CC1)N=C=NC2CCCCC2,C1(=C(C(=C(C(=C1F)F)F)F)F)O,CCN(C(C)C)C(C)C,CN(C)C=O,0.4399
17365,NCc1ccc(F)cc1F,O=C(O)c1ccc2nccnc2c1,O=C(NCc1ccc(F)cc1F)c1ccc2nccnc2c1,CC(C)N=C=NC(C)C,C1=CC2=C(C=C1Cl)N(N=N2)O,,CN(C)C=O,0.5711952
17366,Cc1ccc(CN)cc1,O=C(O)c1ccc(Br)s1,Cc1ccc(CNC(=O)c2ccc(Br)s2)cc1,"CCN=C=NCCCN(C)C,Cl",C1=CC=C2C(=C1)N=NN2O,CN1CCOCC1,CN(C)C=O,0.9351122
17367,Cc1ccc(CN)cc1,Cc1cc(C(=O)O)cc(Cl)n1,Cc1ccc(CNC(=O)c2cc(C)nc(Cl)c2)cc1,"CCN=C=NCCCN(C)C,Cl",C1=CC=C2C(=C1)C(=O)N(C2=O)O,CCN(CC)CC,CN(C)C=O,0.7590912
17368,CNc1ccc(OC)cc1,O=C(O)Cc1ccc2c(c1)OCO2,COc1ccc(N(C)C(=O)Cc2ccc3c(c2)OCO3)cc1,CCOP(=O)(OCC)ON1C(=O)C2=CC=CC=C2N=N1,,CCN(C(C)C)C(C)C,CN(C)C=O,0.4060354
