,Average SHAP when zero,Average SHAP when one,ma_shap
"heteroatoms, each bonded to hydrogen, connected by a two-atom chain",-0.00623162554909971,0.05952680246611387,0.022312875993670964
heteroatoms bonded to a hydrogen atom and separated by two atoms from a methylene group,-0.008354129387763538,0.014532280384373365,0.022133695351285284
methyl groups separated by three bonds from a methine group,0.009161613601344437,-0.022466652428015196,0.01846863488549852
isobutylene groups,-0.002945432876251392,0.4222287144467559,0.017727606347177925
nitrogen atoms involved in double bonds,0.031237493632063018,0.000513171741124565,0.016025466733911253
heteroatoms bonded to three atoms,0.03103243281437191,0.0005899030145577674,0.01592162597075834
nitroxyl groups,0.030951454216725863,0.0006831920929306107,0.01586879562761623
nitrogens bonded to three atoms,0.03076491730214383,0.000741580935771658,0.015843020241325376
nitrogen atoms,0.031023846566626125,0.0005813672568228658,0.0158234724980348
heteroatoms bonded to a hydrogen atom and separated by three atoms from a methylene group,0.0027701116153811276,-0.007636479087223012,0.015385202570694728
methyl groups separated by two bonds from a methine group,-0.0062380116075915325,0.06674719200873128,0.014700177082596763
four-membered rings,-0.006228031301602893,0.20347516413796857,0.013978161502069908
oxygens bonded to an aliphatic carbon,0.003570973992498126,-0.008180898028765024,0.013059646169358213
methylene bridges bonded to a heteroatom,0.0034615450567535393,-0.00794422643974292,0.013030142754457102
heteroatoms bonded to a methylene bridge,0.0034989602644590343,-0.008288337417232679,0.012970018824248824
two methylene groups separated by three atoms,0.004569132455859865,-0.029861202342052435,0.012161112274742536
"heteroatoms, each bonded to hydrogen, separated by one atom",0.002629871058839446,-0.11132167063891565,0.01080871364561992
two methylene groups separated by two atoms,0.0009818958590007147,0.0,0.010671808913581283
alkene CH bonds,-0.0015327889260683643,0.015398933334666097,0.00978810786090315
six-membered rings,0.0018756123661974092,-0.03251239625855001,0.00723673012867354
methyl groups separated by four bonds from a methine group,-0.0004055811126376512,0.003116725918309646,0.005869931784704028
non-aromatic rings with C=C-C=O,0.00093247210766439,-0.22654792643602037,0.0056443450380955175
aminomethanediol groups,-6.29723475044084e-05,0.006926743489808498,0.00356026634435237
pairs nitrogens that 2 atoms apart,-0.0006463023920138842,0.14330820178926704,0.0035356295082485446
nitroesters,-0.0002770890421589187,0.17436882190869685,0.0034768860084732215
aminoethylidene groups,-0.00014496085939744356,0.19761070706996475,0.002544944218440564
double-bonded methylidene groups,-2.4748532816402247e-05,0.7449166806008535,0.0023507592387972697
heteroatoms located five atoms away from a ring,9.086502241204561e-05,-0.02493836334015416,0.002349867035541667
aromatic CH bonds,-0.0003163635546040202,0.44400861983748907,0.0020380320162270236
oxygens bonded non-aromatically to atoms that part an aromatic system,2.73602911858046e-05,0.0,0.0016703502697825482
pairs nitrogens that 3 atoms apart,6.187234354848287e-05,-0.07737089674510585,0.0015965527919114674
"pairs atoms connected via an aromatic bond, each connected to at least one other atom with a non-aromatic bond",-0.000253396992281311,0.3633471142599245,0.001548255916308892
aromatic hydroxyl groups,5.812211257445924e-05,-0.058901541023540574,0.0014804025666826947
aromatic rings,-5.434319461540616e-05,0.06679012554807175,0.001430939566680194
methanetriols,4.9449865981296404e-05,-0.20508031329214188,0.0010103890865754465
aliphatic carbons bonded to two heteroatoms,0.0,0.2598882689148344,0.00040637778460249607
rings with 8 to 14 members,4.165792974017479e-05,0.0,0.00039997316935106006
nitrogen atoms connected by non-aromatic bonds to two atoms,3.844834252918009e-05,0.0,0.00025066777065924274
nitrophenol groups,1.2097123855337442e-05,-0.1081798966417132,0.00018911084065513118
aromatic ether groups,0.0,-0.009935961128366921,2.3349872337575188e-06
