repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,0.442249,7.787967709650462,11.567454380670204,0.8338779666744125,0.7510980858380862
1,2,0.443005,7.056342114001811,10.408073922078724,0.8694127185162784,0.7768399657365661
1,3,0.443909,7.4961755393254,11.029585651079643,0.8573479511179483,0.7593439881911751
1,4,0.448801,7.630747299227044,11.091292222972914,0.8487956094731393,0.7593065975543832
1,5,0.433769,6.925808905061509,10.290688597548083,0.8711478049843029,0.779700184725509
2,1,0.443251,7.191287879463888,10.491988841581882,0.8638670425972975,0.7746478001450087
2,2,0.427453,7.457541418111705,10.65534907982152,0.8655208174359607,0.7693490418600708
2,3,0.464041,7.3521407564853085,11.169986173748233,0.8439726820283662,0.7551259314179367
2,4,0.432589,7.452293906184814,10.886416560746063,0.8625051527821799,0.7718873890447505
2,5,0.442606,7.360918815879288,10.944425065344042,0.8516088731400802,0.7630451539806281
3,1,0.44396,7.263894357751047,10.656663784533954,0.8573791921769919,0.7666053651645781
3,2,0.445574,7.525352801650131,11.086159848878182,0.8530958131065676,0.7586165538012658
3,3,0.436967,7.531549274667112,11.053217120074798,0.8523945322658124,0.7540648157166333
3,4,0.431423,7.204011868086198,10.621733165556137,0.8601297595199082,0.7770721278546326
3,5,0.437354,7.163581787439477,10.519326222057934,0.870915553647684,0.7747420043226867
4,1,0.441952,7.294886929071439,10.696469877901079,0.8621255236660564,0.7642741115409891
4,2,0.486042,7.211087305028408,10.548633445507942,0.8598763019515147,0.7683673225193475
4,3,0.424033,7.274938711792099,10.988770467946496,0.8554550940650572,0.773062974208624
4,4,0.428573,7.515657182841005,11.428936377656854,0.8501668105664996,0.7592278333152394
4,5,0.420775,7.68287591371097,11.056247075472804,0.845569721080945,0.7539817520606222
5,1,0.471942,7.702646776074861,10.976869206572152,0.8564278677847621,0.7603679870487661
5,2,0.434114,7.555829368598369,11.22298862660796,0.8507233213555858,0.7603022648756825
5,3,0.442484,7.166118707340474,10.718528825798865,0.8568948804513701,0.7676336211119577
5,4,0.436995,7.4299936460697715,10.867745715694463,0.8590233027072028,0.765845006181889
5,5,0.44305,7.11085383621946,10.544844657283221,0.8598610126657821,0.7697403738927677
