,CAS,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
689,000123-19-3,7,14,0,1,0,"114,19","37544630,26","41041434,06","240,15",,"168,105"
690,000123-25-1,8,14,0,4,0,"174,2","411060,1031","1376442,714","252,15",,"176,505"
691,000123-30-8,6,7,1,1,0,"109,13","234,6270323","191,8075989","460,65",,"322,455"
692,000123-31-9,6,6,0,2,0,"110,11","142,0677444","97,07962531","445,45",,"311,815"
693,000123-35-3,10,16,0,0,0,"136,24","14736816,27","17564739,3",,,
694,000123-38-6,3,6,0,1,0,"58,081","988791500,7","989415737,8","193,15",,"135,205"
695,000123-39-7,2,5,1,1,0,"59,068","803274,7046","1174749,568","269,35",,"188,545"
696,000123-42-2,6,12,0,2,0,"116,16","10674453,7","3052519,216","229,15",,"160,405"
697,000123-51-3,5,12,0,1,0,"88,151","11223351,8","18184671,28","155,95",,"109,165"
698,000123-54-6,5,8,0,2,0,"100,12","15928807,7","46763965,85","250,15",,"175,105"
699,000123-56-8,4,5,1,2,0,"99,09","399,565531","1907,259468","399,65",,"279,755"
700,000123-62-6,6,10,0,3,0,"130,14","9514233,789","10913385,82","228,15",,"159,705"
701,000123-63-7,6,12,0,3,0,"132,16","78350361,01","111523179,3","285,75",,"200,025"
702,000123-72-8,4,8,0,1,0,"72,108","431627637,9","418454083,4","174,15",,"121,905"
703,000123-73-9,4,6,0,1,0,"70,092",113008433,"118658854,7","196,65",,"137,655"
704,000123-75-1,4,9,1,0,0,"71,123","239523526,3","254080626,9","215,35",,"150,745"
705,000123-76-2,5,8,0,3,0,"116,12","6991,455056","177283,3246","306,15",,"214,305"
706,000123-77-3,2,4,4,2,0,"116,08","0,001173566","63,67217997","485,15",,"339,605"
707,000123-79-5,22,42,0,4,0,"370,58","16,92435818","242,9143174","203,15",,"142,205"
708,000123-86-4,6,12,0,2,0,"116,16","71849685,44","74284209,97","195,15",,"136,605"
709,000123-91-1,4,8,0,2,0,"88,107","180378679,4",192265014,"284,95",,"199,465"
710,000123-92-2,7,14,0,2,0,"130,19","39176256,78","39665959,99","194,65",,"136,255"
711,000123-96-6,8,18,0,1,0,"130,23","1692973,954","1692973,954","311,75",,"218,225"
712,000123-99-9,9,16,0,4,0,"188,23","0,108352486","231,6780504","379,65",,"265,755"
713,000124-02-7,6,11,1,0,0,"97,161","105442249,4","121623980,7","184,75",,"129,325"
714,000124-04-9,6,10,0,4,0,"146,14","2,498455013","100,5667427","426,35",,"298,445"
715,000124-07-2,8,16,0,2,0,"144,22","28749,34536","378158,505","289,45",,"202,615"
716,000124-09-4,6,16,2,0,0,"116,21","736599,7291","1142353,817","314,65",,"220,255"
717,000124-10-7,15,30,0,2,0,"242,41","6377,302654","33078,10648","292,15",,"204,505"
718,000124-11-8,9,18,0,0,0,"126,24","36614732,3","39937180,23","191,85",,"134,295"
719,000124-12-9,8,15,1,0,0,"125,22","2623410,052","1870020,499","227,55",,"159,285"
720,000124-13-0,8,16,0,1,0,"128,22","8127997,011","10263318,26","250,15",,"175,105"
721,000124-17-4,10,20,0,4,0,"204,27","439118,4826","389717,6533","241,15",,"168,805"
722,000124-18-5,10,22,0,0,0,"142,29","10927377,34","13219834,12","243,45",,"170,415"
723,000124-19-6,9,18,0,1,0,"142,24","2827363,367","4309818,754",,,
724,000124-22-1,12,27,1,0,0,"185,36","80141,81374","63516,12071","301,45",,"211,015"
725,000124-38-9,1,0,0,2,0,"44,01","1,14317E+11",42146764160,"216,65",,
726,000124-40-3,2,7,1,0,0,"45,085",3680846104,3559765640,"180,95",,"126,665"
727,000124-68-5,4,11,1,1,0,"89,138","4789405,018","2370755,484","298,65",,"209,055"
728,000126-98-7,4,5,1,0,0,"67,091",256712109,"204071704,6","237,35",,"166,145"
729,000127-17-3,3,4,0,3,0,"88,064","6113648,599","3281764,895","286,95",,"200,865"
730,000127-19-5,4,9,1,1,0,"87,122","9363555,878","9269920,319","253,15",,"177,205"
731,000127-41-3,13,20,0,1,0,"192,3","178747,0529","281035,8288",,,
732,000127-91-3,10,16,0,0,0,"136,24","21443619,23","18369789,85","211,65",,"148,155"
733,000128-37-0,15,24,0,1,0,"220,36","61089,13007","20954,99229","344,15",,"240,905"
734,000128-95-0,14,10,2,2,0,"238,25","0,002561524","0,014472613","541,15",,"378,805"
735,000129-00-0,16,10,0,0,0,"202,26","48,91650743","3,739395235","424,35",,"297,045"
736,000129-43-1,14,8,0,3,0,"224,22","2,522950936","0,391762568","466,95",,"326,865"
737,000131-11-3,10,10,0,4,0,"194,19","32154,66614","48231,99921","278,65",,"195,055"
738,000131-16-8,14,18,0,4,0,"250,3","1775,846804","10318,7462",,,
739,000132-64-9,12,8,0,1,0,"168,2","22420,87311","9013,552617","359,65",,"251,755"
740,000134-20-3,8,9,1,2,0,"151,17","220210,3851","160079,136","297,65",,"208,355"
741,000134-32-7,10,9,1,0,0,"143,19","32158,80978","8618,776491","322,35",,"225,645"
742,000134-62-3,12,17,1,1,0,"191,28","20556,7721","34021,45783","228,15",,"159,705"
743,000134-81-6,14,10,0,2,0,"210,23","2339,274563","370,6676603","367,95",,"257,565"
744,000135-01-3,10,14,0,0,0,"134,22","7571565,012","5732756,366","241,95",,"169,365"
745,000135-19-3,10,8,0,1,0,"144,17","2479,727902","1270,86055","396,15",,"277,305"
746,000135-98-8,10,14,0,0,0,"134,22","12633697,05","9518538,872","190,45",,"133,315"
747,000136-35-6,12,11,3,0,0,"197,24","202,1661672","257,6107951","371,15",,"259,805"
748,000136-60-7,11,14,0,2,0,"178,23","95788,10036","256712,109","250,75",,"175,525"
749,000137-17-7,9,13,1,0,0,"135,21","65383,45053","168544,0058","341,15",,"238,805"
750,000137-32-6,5,12,0,1,0,"88,151","14775045,41","21499585,31",,,
751,000138-22-7,7,14,0,3,0,"146,19","3142710,709","1335652,051","245,15",,"171,605"
752,000138-86-3,10,16,0,0,0,"136,24","11329256,85",10612030,"178,15",,"124,705"
753,000140-10-3,9,8,0,2,0,"148,16","164,2260074","1282,26902","406,15",,"284,305"
754,000140-11-4,9,10,0,2,0,"150,18","1428749,475","1509469,784","221,85",,"155,295"
755,000140-29-4,8,7,1,0,0,"117,15","562878,8608","409881,5865","249,35",,"174,545"
756,000140-66-9,14,22,0,1,0,"206,33","5298,91161","5742,335176","357,65",,"250,355"
757,000140-76-1,8,9,1,0,0,"119,17","7556497,221","5891506,308",,,
758,000140-88-5,5,8,0,2,0,"100,12","207720262,6","206643991,8","201,95",,"141,365"
759,000141-05-9,8,12,0,4,0,"172,18","971872,5239","1647555,326","264,35",,"185,045"
760,000141-28-6,10,18,0,4,0,"202,25","627218,3286","385896,892","253,35",,"177,345"
761,000141-32-2,7,12,0,2,0,"128,17","37560989,58","34785071,95","208,55",,"145,985"
762,000141-43-5,2,7,1,1,0,"61,084","1326180,868","1342593,998","283,65",,"198,555"
763,000141-78-6,4,8,0,2,0,"88,107","441357125,8","465508642,3","189,55",,"132,685"
764,000141-79-7,6,10,0,1,0,"98,146","43297297,63","64866840,55","214,15",,"149,905"
765,000141-82-2,3,4,0,4,0,"104,06","8394,912167","5652,574192","408,15",,"285,705"
766,000141-93-5,10,14,0,0,0,"134,22","8148446,156","6598078,082","189,25",,"132,475"
767,000141-97-9,6,10,0,3,0,"130,14","5456692,908","6499061,169","228,15",,"159,705"
768,000142-29-0,5,8,0,0,0,"68,12",1392334929,1390541861,"138,05",,"96,635"
769,000142-62-1,6,12,0,2,0,"116,16","271543,1205","1735379,023","270,15",,"189,105"
770,000142-68-7,5,10,0,1,0,"86,135","331024409,6","324883100,8","228,15",,"159,705"
771,000142-82-5,7,16,0,0,0,"100,21","247542281,8","247004146,4","182,55",,"127,785"
772,000142-84-7,6,15,1,0,0,"101,19","109110987,4","135879187,3","210,15",,"147,105"
773,000142-91-6,19,38,0,2,0,"298,51","896,2763398","3287,46913","286,65",,"200,655"
774,000142-92-7,8,16,0,2,0,"144,22","10252125,04","11236267,05","192,25",,"134,575"
775,000142-96-1,8,18,0,1,0,"130,23","42044518,43","53797395,47","177,95",,"124,565"
776,000143-07-7,12,24,0,2,0,"200,32","172,4185807","15175,41815","316,35",,"221,445"
777,000143-08-8,9,20,0,1,0,"144,26","175905,698","254172,1099","268,15",,"187,705"
778,000143-22-6,10,22,0,4,0,"206,28","27713,97286","5742,335176","243,15",,"170,205"
779,000143-27-1,16,35,1,0,0,"241,46","1724,885383","4811,522383","319,95",,"223,965"
780,000144-19-4,8,18,0,2,0,"146,23","35355,49547","27655,85424","324,65",,"227,255"
781,000144-62-7,2,2,0,4,0,"90,036","1133,313142","27122,02392","462,65",,"323,855"
782,000145-73-3,8,10,0,5,0,"186,17","0,001571463","82,97724914","417,15",,"292,005"
783,000148-24-3,9,7,1,1,0,"145,16","12952,91896","234,088897","348,65",,"244,055"
784,000149-57-5,8,16,0,2,0,"144,22","232474,4908","485096,7707",,,
785,000150-19-6,7,8,0,2,0,"124,14","130788,4265","107433,3503",,,
786,000151-18-8,3,6,2,0,0,"70,095","3239575,08","68558,44936",,,
787,000151-56-4,2,5,1,0,0,"43,069","492878208,6","534529888,1","195,25",,"136,675"
788,000156-43-4,8,11,1,1,0,"137,18","77115,87842","162194,0081","275,55",,"192,885"
789,000156-87-6,3,9,1,1,0,"75,111","311176,7923","629618,4125","284,15",,"198,905"
790,000157-40-4,5,8,0,0,0,"68,12",1674871079,1683287516,"138,55",,"96,985"
791,000185-94-4,5,8,0,0,0,"68,12",1317355448,1324674089,,,
792,000187-26-8,7,10,0,0,0,"94,158","189186879,6","178058239,6",,,
793,000191-07-1,24,12,0,0,0,"300,36","3,50326E-05","1,37709E-06","710,45",,"497,315"
794,000191-24-2,22,12,0,0,0,"276,34","0,001485254","0,001455549","551,15",,"385,805"
795,000192-97-2,20,12,0,0,0,"252,32","0,077297768","0,263083632","450,65",,"315,455"
796,000198-55-0,20,12,0,0,0,"252,32","0,071195313","0,018171756","547,15",,"383,005"
797,000205-99-2,20,12,0,0,0,"252,32","6,780505981","0,337669198","441,15",,"308,805"
798,000206-44-0,16,10,0,0,0,"202,26","100,2244886","34,0241485","380,95",,"266,665"
799,000207-08-9,20,12,0,0,0,"252,32","0,013086377","0,010645394","490,15",,"343,105"
800,000208-96-8,12,8,0,0,0,"152,2","54640,1155","10224,57251","365,65",,"255,955"
801,000215-58-7,22,14,0,0,0,"278,36","0,001496016","0,001222245","479,15",,"335,405"
802,000217-59-4,18,12,0,0,0,"228,3","0,257659227","0,365630713","472,15",,"330,505"
803,000218-01-9,18,12,0,0,0,"228,3","0,076438904","0,0191404","341,15",,"238,805"
804,000229-87-8,13,9,1,0,0,"179,22","200,2622441","209,0279316","380,55",,"266,385"
805,000230-27-3,13,9,1,0,0,"179,22","2103,764989","1310,036806","367,15",,"257,005"
806,000238-84-6,17,12,0,0,0,"216,29","2,824565063","1,38322322","462,65",,"323,855"
807,000243-17-4,17,12,0,0,0,"216,29","0,63930485","5,137686246","485,15",,"339,605"
808,000260-94-6,13,9,1,0,0,"179,22","1300,404183","249,4849506","381,15",,"266,805"
809,000262-12-4,12,8,0,2,0,"184,2","4084,44765","2237,782228","395,15",,"276,605"
810,000271-89-6,8,6,0,1,0,"118,14","2793998,972","8191496,987",,,
811,000280-33-1,8,14,0,0,0,"110,2","19753335,96","66890229,64",,,
812,000280-57-9,6,12,2,0,0,"112,18","4472120,389","298944,9748","432,15",,"302,505"
813,000286-08-8,7,12,0,0,0,"96,174","117787075,3","112620975,5",,,
814,000287-23-0,4,8,0,0,0,"56,108",3540930901,3525863110,"182,55",,"127,785"
815,000287-92-3,5,10,0,0,0,"70,135",1197136000,1182821599,"179,35",,"125,545"
816,000288-14-2,3,3,1,1,0,"69,063","168791655,7","172289428,2",,,
817,000288-42-6,3,3,1,1,0,"69,063",490133718,"497559986,5",,,
818,000290-37-9,4,4,2,0,0,"80,09","46520728,65","41587103,35","328,15",,"229,705"
819,000291-64-5,7,14,0,0,0,"98,19","113912500,5","106001910,2","265,15",,"185,605"
820,000292-64-8,8,16,0,0,0,"112,22","33209411,51","32365615,21","287,95",,"201,565"
821,000293-96-9,10,20,0,0,0,"140,27","4221241,668","3540930,901","283,15",,"198,205"
822,000300-62-9,9,13,1,0,0,"135,21","1743558,681","2252096,629",,,
823,000301-00-8,19,32,0,2,0,"292,47","79,66771646","487,1201598",,,
824,000329-71-5,6,4,2,5,0,"184,11","1208,006335","153,4762147","381,15",,"266,805"
825,000334-48-5,10,20,0,2,0,"172,27","3388,595533","81267,05486","305,05",,"213,535"
826,000420-04-2,1,2,2,0,0,"42,04","8475,632476","31642361,24","317,15",,"222,005"
827,000420-05-3,1,1,1,1,0,"43,025",1880041118,1922919208,"187,15",,"131,005"
828,000431-03-8,4,6,0,2,0,"86,091",262988705,"324883100,8","271,95",,"190,365"
829,000451-40-1,14,12,0,1,0,"196,25","1939,676744","3343,542838","333,15",,"233,205"
830,000460-12-8,4,2,0,0,0,"50,061",3543352510,3390252990,"236,75",,"165,725"
831,000460-19-5,2,2,0,0,0,"52,036",6019152023,5204845543,"245,25",,"171,675"
832,000462-18-0,13,26,0,1,0,"198,35","71175,93992","226953,2216","306,15",,"214,305"
833,000462-95-3,5,12,0,2,0,"104,15","190816353,5","392881889,4","206,65",,"144,655"
834,000463-04-7,5,11,1,2,0,"117,15","24970666,24","194552089,5",,,
835,000463-40-1,18,30,0,2,0,"278,44","8,079984571","187,0020499","256,65",,"179,655"
836,000463-49-0,3,4,0,0,0,"40,065",11688300786,10827284153,"136,95",,"95,865"
837,000463-51-4,2,2,0,1,0,"42,038",23550957440,18533383014,"122,15",,"85,505"
838,000463-58-1,1,0,0,1,1,"60,075",30389582043,26605413943,"134,35",,
839,000463-82-1,5,12,0,0,0,"72,151",4978828677,5036947300,"256,75",,"179,725"
840,000464-06-2,7,16,0,0,0,"100,21","548898103,2","503156594,6","248,15",,"173,705"
841,000464-49-3,10,16,0,1,0,"152,24","588935,3766","87522,34069","453,15",,"317,205"
842,000470-67-7,10,18,0,1,0,"154,25","16011034,79","14751367,46","274,15",,"191,905"
843,000470-82-6,10,18,0,1,0,"154,25","15745841,67","12928164,74","274,65",,"192,255"
844,000471-46-5,2,4,2,2,0,"88,066","0,300710059","0,501972697","623,15",,"436,205"
845,000471-47-6,2,3,1,3,0,"89,051","2,223241809","189,1814982","483,15",,"338,205"
846,000485-31-4,15,18,2,6,0,"322,32","5,475635274","15,87241111","343,15",,"240,205"
847,000488-23-3,10,14,0,0,0,"134,22","2601012,857","2026295,017","266,95",,"186,865"
848,000491-35-0,10,9,1,0,0,"143,19","49011,59596","110043,307","282,65",,"197,855"
849,000492-62-6,6,12,0,6,0,"180,16","7,76852E-07","1,288296136","419,15",,"293,405"
850,000493-01-6,10,18,0,0,0,"138,25","5837047,006","6995544,885","230,15",,"161,105"
851,000493-02-7,10,18,0,0,0,"138,25","9060047,515","6995544,885","230,15",,"161,105"
852,000496-11-7,9,10,0,0,0,"118,18","9315446,574","6794497,501","221,75",,"155,225"
853,000496-72-0,7,10,2,0,0,"122,17","4129,543396","19236,18784","362,65",,"253,855"
854,000496-78-6,9,12,0,1,0,"136,2","49693,57494","79773,191","345,15",,"241,605"
855,000498-07-7,6,10,0,5,0,"162,14","0,653834505","3,025074311","456,15",,"319,305"
856,000498-66-8,7,10,0,0,0,"94,158","198241545,7","161365279,6","318,15",,"222,705"
857,000501-52-0,9,10,0,2,0,"150,18","21552,32258","7184,107527","380,15",,"266,105"
858,000501-65-5,14,10,0,0,0,"178,24","21839,68688","8352,722352","335,65",,"234,955"
859,000502-42-1,7,12,0,1,0,"112,17","7533895,534","8558505,327",,,
860,000502-44-3,6,10,0,2,0,"114,15","828190,3734","1036771,653","255,15",,"178,605"
861,000502-49-8,8,14,0,1,0,"126,2","2766446,44","3586887,664","302,15",,"211,505"
862,000502-56-7,9,18,0,1,0,"142,24","4218120,482","7129540,598","269,35",,"188,545"
863,000503-17-3,4,6,0,0,0,"54,092",2051587381,2066117037,"240,85",,"168,595"
864,000503-29-7,3,7,1,0,0,"57,096",546973731,"536790056,8",,,
865,000503-30-0,3,6,0,1,0,"58,081",1011264035,1045597073,"176,15",,"123,305"
866,000503-64-0,4,6,0,2,0,"86,091","2721243,067","1147735,171","288,15",,"201,705"
867,000503-74-2,5,10,0,2,0,"102,13","2415151,654","6257438,377","243,85",,"170,695"
868,000504-17-6,4,4,2,2,1,"144,15","0,154982994","0,039133206","508,15",,"355,705"
869,000504-20-1,9,14,0,1,0,"138,21","2057076,362","3735413,033","301,15",,"210,805"
870,000504-60-9,5,8,0,0,0,"68,12",1483305641,1507640123,,,
871,000504-63-2,3,8,0,2,0,"76,096","180361,4591","84659,46039","246,45",,"172,515"
872,000505-48-6,8,14,0,4,0,"174,2","2,696704093","98,31733672","417,15",,"292,005"
873,000506-12-7,17,34,0,2,0,"270,46","0,905197548","412,6422211","334,45",,"234,115"
874,000506-30-9,20,40,0,2,0,"312,54","0,030439952","2434,524528","348,55",,"243,985"
875,000507-70-0,10,18,0,1,0,"154,25","416021,7114","3555,245303",,,
876,000509-14-8,1,0,4,8,0,"196,03","88809560,56","125514699,6","286,95",,
877,000513-35-9,5,10,0,0,0,"70,135",1762931555,1762931555,"139,45",,"97,615"
878,000513-81-5,6,10,0,0,0,"82,147",668702110,"661906536,2","197,15",,"138,005"
879,000513-85-9,4,10,0,2,0,"90,123","1176902,11","833033,5919","298,15",,"208,705"
880,000519-73-3,19,16,0,0,0,"244,34","73,26821034","227,1577131","367,15",,"257,005"
881,000520-45-6,8,8,0,4,0,"168,15","11327,96533","12837,75799","382,15",,"267,505"
882,000526-73-8,9,12,0,0,0,"120,2","10904345,14","7555420,95","247,75",,"173,425"
883,000526-75-0,8,10,0,1,0,"122,17","584307,4122","159535,6193","345,95",,"242,165"
884,000527-53-7,10,14,0,0,0,"134,22","3588921,816","2877194,704","249,45",,"174,615"
885,000527-60-6,9,12,0,1,0,"136,2","127344,3599","149300,2841","346,15",,"242,305"
886,000527-84-4,10,14,0,0,0,"134,22","10816521,45","7643675,155","201,65",,"141,155"
887,000528-29-0,6,4,2,4,0,"168,11","411,3506962","800,0997057","391,65",,"274,155"
888,000529-19-1,8,7,1,0,0,"117,15","2823208,962","1769227,739","259,65",,"181,755"
889,000530-48-3,14,12,0,0,0,"180,25","126892,3262","60830,82508","281,35",,"196,945"
890,000530-50-7,12,12,2,0,0,"184,24","4858,759908","6921,2822","323,65",,"226,555"
891,000532-34-3,12,18,0,4,0,"226,27","3648,55798","164185,1091",,,
892,000534-15-6,4,10,0,2,0,"90,123","829062152,7","857249684,7","159,95",,"111,965"
893,000534-22-5,5,6,0,1,0,"82,103","689485975,2","710446348,9","185,65",,"129,955"
894,000534-52-1,7,6,2,5,0,"198,14","1278,609699","18,11363741","359,75",,"251,825"
895,000535-77-3,10,14,0,0,0,"134,22","12402944,59","8797437,442","209,45",,"146,615"
896,000536-74-3,8,6,0,0,0,"102,14","11307300,93","30408954,92","228,35",,"159,845"
897,000536-75-4,7,9,1,0,0,"107,16","13046011,01","9731102,353","182,65",,"127,855"
898,000536-78-7,7,9,1,0,0,"107,16","14567863,29","11400936,48","196,25",,"137,375"
899,000536-90-3,7,9,1,1,0,"123,16","496429,9022","170771,8863","272,15",,"190,505"
900,000538-68-1,11,16,0,0,0,"148,25","3492391,088","2190211,059","198,15",,"138,705"
901,000538-86-3,8,10,0,1,0,"122,17","10898318,03","10241792,84","220,55",,"154,385"
902,000538-93-2,10,14,0,0,0,"134,22","13917257,59","9879089,587","221,75",,"155,225"
903,000539-30-0,9,12,0,1,0,"136,2","6769743,273","5276740,432",,,
904,000539-82-2,7,14,0,2,0,"130,19","33579648,67","33579648,67","181,95",,"127,365"
905,000539-88-8,7,12,0,3,0,"144,17","1611823,136","2092270,417",,,
906,000540-42-1,7,14,0,2,0,"130,19","45234585,06","50999091,41","201,75",,"141,225"
907,000540-67-0,3,8,0,1,0,"60,097",4810930434,4488049197,"160,15",,"112,105"
908,000540-73-8,2,8,2,0,0,"60,099","225693984,8","269928714,3","264,15",,"184,905"
909,000540-84-1,8,18,0,0,0,"114,23","302442854,9","273609560,4","165,85",,"116,095"
910,000540-88-5,6,12,0,2,0,"116,16","293391417,5","265924986,9",,,
911,000541-35-5,4,9,1,1,0,"87,122","18305,75174","90826,49202","387,95",,"271,565"
912,000541-58-2,5,7,1,0,1,"113,18","30885043,3","29370891,74",,,
913,000542-55-2,5,10,0,2,0,"102,13","219998359,8","222303731,8","177,35",,"124,145"
914,000542-85-8,3,5,1,0,1,"89,16","53461222,29","43774623,73","267,25",,
915,000542-92-7,5,6,0,0,0,"66,104",1544986720,1516573171,"188,15",,"131,705"
916,000543-29-3,4,9,1,3,0,"119,12","53164440,62","83889926,77",,,
917,000543-49-7,7,16,0,1,0,"116,2","7678115,82","5374681,074",,,
918,000544-01-4,10,22,0,1,0,"158,29","11903554,94","15899748,39",,,
919,000544-02-5,10,22,0,0,1,"174,35","2983228,903","1938256,067","198,55",,
920,000544-13-8,5,6,2,0,0,"94,117","41676,75671","20689,15341","244,15",,"170,905"
921,000544-25-2,7,8,0,0,0,"92,142","116443889,4","105453012,1","193,65",,"135,555"
922,000544-40-1,8,18,0,0,1,"146,3","9428132,126","5947580,016","193,45",,
923,000544-63-8,14,28,0,2,0,"228,38","17,17728182","3190,066623","327,05",,"228,935"
924,000544-76-3,16,34,0,0,0,"226,45","17391,45971","84646,54514","291,25",,"203,875"
925,000546-80-5,10,16,0,1,0,"152,24","3367565,202","3672666,446",,,
926,000547-63-7,5,10,0,2,0,"102,13","270409161,6","283231421,3","188,45",,"131,915"
927,000548-39-0,13,8,0,1,0,"180,21","65,86777238","171,4499369","427,15",,"299,005"
928,000552-30-7,9,4,0,5,0,"192,13","101,875488","5,879021567","435,15",,"304,605"
929,000552-82-9,13,13,1,0,0,"183,26","30607,204","27081,66377","265,65",,"185,955"
930,000552-89-6,7,5,1,3,0,"151,12","145452,616","51192,82015","316,65",,"221,655"
931,000553-26-4,10,8,2,0,0,"156,19","466,7571165","1788,116291","384,15",,"268,905"
932,000553-90-2,4,6,0,4,0,"118,09","7264397,328","6603997,571","327,45",,"229,215"
933,000554-12-1,4,8,0,2,0,"88,107","397979107,9",416258491,"185,65",,"129,955"
934,000554-14-3,5,6,0,0,1,"98,168","131263061,9","114439873,2","209,75",,
935,000555-10-2,10,16,0,0,0,"136,24","11607365,22","14271350,68",,,
936,000556-24-1,6,12,0,2,0,"116,16","87393188,2","114235381,7",,,
937,000556-61-6,2,3,1,0,1,"73,117","13914351,66","47926338,31","309,15",,
938,000556-64-9,2,3,1,0,1,"73,117","47415647,81","34491250,03","268,15",,
939,000557-00-6,8,16,0,2,0,"144,22","20070297,7","23634906,56",,,
940,000557-17-5,4,10,0,1,0,"74,124",1853237132,1823848482,,,
941,000557-31-3,5,10,0,1,0,"86,135","708078553,1","726590410,7",,,
942,000558-37-2,6,12,0,0,0,"84,163",1946276437,1916623024,"157,95",,"110,565"
943,000560-21-4,8,18,0,0,0,"114,23","165638074,7",143552998,"172,25",,"120,575"
944,000560-23-6,8,16,0,0,0,"112,22",182067133,"185032474,3","204,15",,"142,905"
945,000561-27-3,21,23,1,5,0,"369,42","0,015071612","1,231146157","446,15",,"312,305"
946,000562-49-2,7,16,0,0,0,"100,21","445037971,9","409521035,8","138,25",,"96,775"
947,000563-16-6,8,18,0,0,0,"114,23","175453664,3","161957228,6","147,05",,"102,935"
948,000563-45-1,5,10,0,0,0,"70,135",3400047055,3397786886,"104,65",,"73,255"
949,000563-46-2,5,10,0,0,0,"70,135",2297838138,2297838138,"135,65",,"94,955"
950,000563-78-0,6,12,0,0,0,"84,163",1139125005,1121043655,"115,85",,"81,095"
951,000563-79-1,6,12,0,0,0,"84,163","569562502,4","569562502,4","198,55",,"138,985"
952,000563-80-4,5,10,0,1,0,"86,135","241579741,7","252224059,8","181,15",,"126,805"
953,000564-02-3,8,18,0,0,0,"114,23","196925266,6","175453664,3","160,95",,"112,665"
954,000565-59-3,7,16,0,0,0,"100,21","370775287,4","353016819,3",,,
955,000565-61-7,6,12,0,1,0,"100,16","62477519,39","109779620,6",,,
956,000565-69-5,6,12,0,1,0,"100,16","97450938,73","132919442,6",,,
957,000565-75-3,8,18,0,0,0,"114,23",166251549,"151528164,6","163,95",,"114,765"
958,000565-77-5,8,16,0,0,0,"112,22","135567929,8","131391138,1","159,75",,"111,825"
959,000565-80-0,7,14,0,1,0,"114,19","82328257,86","91407678,24","204,15",,"142,905"
960,000569-41-5,12,12,0,0,0,"156,23","40211,62928","29382,19258","338,15",,"236,705"
961,000571-58-4,12,12,0,0,0,"156,23","179651,1204","86467,59532","280,75",,"196,525"
962,000571-61-9,12,12,0,0,0,"156,23","41974,56083","29382,19258","355,15",,"248,605"
963,000573-98-8,12,12,0,0,0,"156,23","106615,3845","101578,4372","274,75",,"192,325"
964,000575-41-7,12,12,0,0,0,"156,23","194761,9623","113331,3142","267,15",,"187,005"
965,000575-43-9,12,12,0,0,0,"156,23","122565,7176","107454,8757","256,25",,"179,375"
966,000576-26-1,8,10,0,1,0,"122,17","1122658,062","689351,4414","318,85",,"223,195"
967,000577-55-9,12,18,0,0,0,"162,28","3157584,771","2842000,65","216,15",,"151,305"
968,000578-54-1,8,11,1,0,0,"121,18","1106944,508","1445539,299","226,65",,"158,655"
969,000579-44-2,14,12,0,2,0,"212,25","144,0889809","6,582687409","410,15",,"287,105"
970,000579-66-8,10,15,1,0,0,"149,24","30709,7726","470669,3608","276,65",,"193,655"
971,000579-75-9,8,8,0,3,0,"152,15","129,9747658","6993,607597","374,15",,"261,905"
972,000580-15-4,9,8,2,0,0,"144,18","126,31114","1991,531471","387,15",,"271,005"
973,000580-17-6,9,8,2,0,0,"144,18","223,9504261","3432,873314","364,65",,"255,255"
974,000581-40-8,12,12,0,0,0,"156,23","9234,403383","14523,19805","378,15",,"264,705"
975,000581-42-0,12,12,0,0,0,"156,23","36098,12232","20567,53481","385,15",,"269,605"
976,000582-16-1,12,12,0,0,0,"156,23","47683,10111","20567,53481","385,15",,"269,605"
977,000583-48-2,8,18,0,0,0,"114,23","133123934,1","126989190,6",,,
978,000583-57-3,8,16,0,0,0,"112,22","87212374,7","97639286,12",,,
979,000583-58-4,7,9,1,0,0,"107,16","7116948,23","5815629,217","262,15",,"183,505"
980,000583-60-8,7,12,0,1,0,"112,17","13561011,96","18141620,45",,,
981,000583-61-9,7,9,1,0,0,"107,16","15489151,08","13646575,49",,,
982,000584-02-1,5,12,0,1,0,"88,151","41531137,27","40584018,97","204,15",,"142,905"
983,000584-03-2,4,10,0,2,0,"90,123","242645,2497","362272,7481",,,
984,000584-79-2,19,26,0,3,0,"302,42","19,50202673","573,6846195","233,15",,"163,205"
985,000584-84-9,9,6,2,2,0,"174,16","74908,44703","241579,7417","293,65",,"205,555"
986,000584-94-1,8,18,0,0,0,"114,23",143552998,"138645203,2",,,
987,000585-34-2,10,14,0,1,0,"150,22","162247,8217","108972,4175","315,45",,"220,815"
988,000586-62-9,10,16,0,0,0,"136,24","5437750,542","7318641,376",,,
989,000589-16-2,8,11,1,0,0,"121,18","931786,8183","970204,3042","268,35",,"187,845"
990,000589-34-4,7,16,0,0,0,"100,21","330953268,1","334720215,9","154,15",,"107,905"
991,000589-38-8,6,12,0,1,0,"100,16","75032218,17","87177934,04","217,65",,"152,355"
992,000589-43-5,8,18,0,0,0,"114,23","186496202,6","179134510,4",,,
993,000589-53-7,8,18,0,0,0,"114,23","125762241,9","126989190,6","152,15",,"106,505"
994,000589-55-9,7,16,0,1,0,"116,2","6173704,509","6017645,244","231,95",,"162,365"
