,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
318,C=CS(=O)(=O)C1=CC=CC=C1,8,8,0,2,1,"168,216",,"19643,48745",,"339,14","237,398"
319,COC(=O)C1=CC=C(S)C=C1,8,8,0,2,1,"168,216",,"148457,6932",,"303,65","212,555"
320,CS(=O)(=O)C1=CC=C(C=O)C=C1,8,8,0,3,1,"184,2154",,"1457,252558",,"367,6","257,32"
321,CS(=O)(=O)C1=C(C=O)C=CC=C1,8,8,0,3,1,"184,2154",,"1457,252558",,,
322,OC(=O)CCC(=O)C1=CC=CS1,8,8,0,3,1,"184,2154",,"451,0543633",,"389,07","272,349"
323,OS(=O)(=O)C=CC1=CC=CC=C1,8,8,0,3,1,"184,2154",,"9,893456144",,"378,94","265,258"
324,OC(=O)CCC(=O)C1=CC=CS1,8,8,0,3,1,"184,2154",,"451,0543633",,,
325,CS(=O)(=O)C1=CC(=CC=C1)C(O)=O,8,8,0,4,1,"200,2148",,"63,35269028",,"402,92","282,044"
326,CS(=O)(=O)C1=CC=C(C=C1)C(O)=O,8,8,0,4,1,"200,2148",,"1,519171655","543,15","402,92","380,205"
327,OC(=O)CS(=O)(=O)C1=CC=CC=C1,8,8,0,4,1,"200,2148",,"56,13393135",,"407,7","285,39"
328,OC(=O)C(CC1=CC=CS1)C(O)=O,8,8,0,4,1,"200,2148",,"22,62596081",,"420,52","294,364"
329,COC(=O)SS(=O)(=O)C1=CC=CC=C1,8,8,0,4,2,"232,2808",,"201,2476174",,"387,44","271,208"
330,COC1=C(C=C(C=O)C=C1)S(O)(=O)=O,8,8,0,5,1,"216,2142",,"0,380472721",,"414,98","290,486"
331,OC(=O)[CH](C1=CC=CC=C1)S(O)(=O)=O,8,8,0,5,1,"216,2142",,"0,056314617",,"430,6","301,42"
332,CSCC(=O)C1=CC=CC=C1,9,10,0,1,1,"166,2434",,"107353,7493",,"307,14","214,998"
333,C1CS[CH](O1)C2=CC=CC=C2,9,10,0,1,1,"166,2434",,"119878,3534",,"320,25","224,175"
334,CS(=O)(=O)C=CC1=CC=CC=C1,9,10,0,2,1,"182,2428",,"5570,449909",,"349,24","244,468"
335,OC(=O)CCSC1=CC=CC=C1,9,10,0,2,1,"182,2428",,"1059,170053",,"370,01","259,007"
336,OC(=O)CCSC1=CC=CC=C1,9,10,0,2,1,"182,2428",,"1059,170053","334,15","370,01","233,905"
337,OC(=O)CSCC1=CC=CC=C1,9,10,0,2,1,"182,2428",,"2441,9754",,,
338,CSCC1=CC2=C(OCO2)C=C1,9,10,0,2,1,"182,2428",,"24910,11051",,"337,37","236,159"
339,CS(=O)(=O)CC(=O)C1=CC=CC=C1,9,10,0,3,1,"198,2422",,"1049,742463",,"371,99","260,393"
340,CC1=CC=C(C=C1)S(=O)(=O)CC(O)=O,9,10,0,4,1,"214,2416",,"29,39920197",,"410,6","287,42"
341,CC1=CC=C(C=C1)S(=O)(=O)OCC(O)=O,9,10,0,5,1,"230,241",,"12,51398399",,"420,67","294,469"
