,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
472,OS(=O)(=O)C1=CC2=CC(=CC(=C2C=C1)S(O)(=O)=O)S(O)(=O)=O,10,8,0,9,3,"368,3658",,"1,87526E-12",,"560,47","392,329"
473,COC(=O)CC1=CSC2=C1C=CC=C2,11,10,0,2,1,"206,2648",,"1365,280193",,"367,86","257,502"
474,CC1=CC=C(S1)S(=O)(=O)C2=CC=CC=C2,11,10,0,2,2,"238,3308",,"42,83691592",,"409,05","286,335"
475,OC(=O)[CH](CC1=CC=CS1)C2=CC=CS2,11,10,0,2,2,"238,3308",,"18,08384774",,"419,96","293,972"
476,OS(=O)(=O)CC1=C2C=CC=CC2=CC=C1,11,10,0,3,1,"222,2642",,"0,10286308",,"420,23","294,161"
477,CC1=C2C=CC=CC2=C(C=C1)S(O)(=O)=O,11,10,0,3,1,"222,2642",,"0,094968937",,"423,35","296,345"
478,C=CCSC(=S)OCC1=CC=CC=C1,11,12,0,1,2,"224,3472",,"1328,020861",,"362,15","253,505"
479,CCOC(=O)C=C(S)C1=CC=CC=C1,11,12,0,2,1,"208,2806",,"11544,56579",,"309,67","216,769"
480,COC(=O)CSC1=C(C=CC=C1)C(=O)OC,11,12,0,4,1,"240,2794",,"14869,82774",,"291,09","203,763"
481,CC(=O)CC(=O)CS(=O)(=O)C1=CC=CC=C1,11,12,0,4,1,"240,2794",,"43,05784902",,"405,05","283,535"
482,CCOC(=S)SCCC1=CC=CC=C1,11,14,0,1,2,"226,363",,"1242,502213",,"363,31","254,317"
483,COC(=O)[CH](C)CSC1=CC=CC=C1,11,14,0,2,1,"210,2964",,"27499,80853",,"315,1","220,57"
484,COC(=O)CCSCC1=CC=CC=C1,11,14,0,2,1,"210,2964",,"13693,3203",,"325,26","227,682"
485,O=S1(=O)CC[CH](C1)SCC2=CC=CC=C2,11,14,0,2,2,"242,3624",,"94,42682101",,"393,96","275,772"
486,CCSC(=O)C1=CC=C(C=C1)S(=O)(=O)CC,11,14,0,3,2,"258,3618",,"23,35764973",,"408,93","286,251"
487,COC(=O)CCS(=O)(=O)CC1=CC=CC=C1,11,14,0,4,1,"242,2952",,"191,6698061",,"387,85","271,495"
488,CCCOC(=O)[CH](CC1=CC=CS1)C(O)=O,11,14,0,4,1,"242,2952",,"68,4535022",,"405,85","284,095"
489,CCCCS(=O)(=O)CC1=CC=CC=C1,11,16,0,2,1,"212,3122",,"1348,181974",,"363,1","254,17"
490,CC1=CC=C(C=C1)S(=O)(=O)C(C)(C)C,11,16,0,2,1,"212,3122",,"2787,766116",,"362,84","253,988"
491,COC(CSCC1=CC=CC=C1)OC,11,16,0,2,1,"212,3122",,"31876,506",,"315,37","220,759"
492,CCCCOS(=O)(=O)C1=CC=C(C)C=C1,11,16,0,3,1,"228,3116",,"479,1639572",,"379,75","265,825"
493,CCCCOC(=S)SSC(=S)SSC(=S)OCCCC,11,18,0,2,7,"406,724",,"0,004268015",,"488,06","341,642"
494,CO[CH]1OC[CH]2OC(C)(C)O[CH]2[CH]1OC(=S)SC,11,18,0,5,2,"294,3922",,"105,8264724",,"399,92","279,944"
495,CCOC(=O)C(CCCCS(O)(=O)=O)C(=O)OCC,11,20,0,7,1,"296,3408",,"0,826062233",,"376,51","263,557"
496,CCS(=O)(=O)C(CCC(O)=O)(CCC(O)=O)S(=O)(=O)CC,11,20,0,8,2,"344,4062",,"0,000898885",,"497,18","348,026"
497,CCOC(=O)CCS(=O)(=O)CS(=O)(=O)CCC(=O)OCC,11,20,0,8,2,"344,4062",,"1,282533193",,"429,82","300,874"
498,CCCCCCCCCCOC(S)=S,11,22,0,1,2,"234,4262",,"2863,673913",,"348,63","244,041"
499,CCS(=O)(=O)C(C1CCCCC1)S(=O)(=O)CC,11,22,0,4,2,"282,4244",,"11,67226108",,"418,05","292,635"
500,CC(C)SC(C[CH](O)[CH](O)CO)SC(C)C,11,24,0,3,2,"268,4408",,"0,196462195",,"386,96","270,872"
501,CCCCC(S(=O)(=O)C(C)C)S(=O)(=O)C(C)C,11,24,0,4,2,"284,4402",,"53,26743413",,"400,32","280,224"
502,CCCCC(CCCC)(S(C)(=O)=O)S(C)(=O)=O,11,24,0,4,2,"284,4402",,"21,12329285",,"416,29","291,403"
503,CS(=O)(=O)OCCCCCCCCCOS(C)(=O)=O,11,24,0,6,2,"316,439",,"1,975329506",,"434,72","304,304"
504,O=C(C1=CC=CS1)C2=CC=CC=C2,11,8,0,1,1,"188,2496",,"10099,98616","329,65","357,92","230,755"
505,OC(=O)C1=CC=C(S1)S(=O)(=O)C2=CC=CC=C2,11,8,0,4,2,"268,3138",,"0,252681017",,"458,19","320,733"
506,OC(=O)C1=CC2=C(C=CC(=C2)S(O)(=O)=O)C=C1O,11,8,0,6,1,"268,2466",,"1,30495E-05",,"489,88","342,916"
507,OC(=O)C1=C(O)C(=C2C=CC=CC2=C1)S(O)(=O)=O,11,8,0,6,1,"268,2466",,"1,30495E-05","344,35","369,27","241,045"
508,OC(=O)C1=CC2=CC=CC(=C2C=C1O)S(O)(=O)=O,11,8,0,6,1,"268,2466",,"1,30495E-05",,"489,88","342,916"
509,O=S(C1=CC=CC=C1)C2=CC=CC=C2,12,10,0,1,1,"202,2764",,"707,5385881",,,
510,O=S1(=O)CCC2=C1C=CC3=CC=CC=C23,12,10,0,2,1,"218,2758",,"56,26426635",,"401,58","281,106"
511,OC(=O)CSC1=CC2=C(C=CC=C2)C=C1,12,10,0,2,1,"218,2758",,"16,67959462",,"410,99","287,693"
512,O=S(=O)(C1=CC=CC=C1)C2=CC=CC=C2,12,10,0,2,1,"218,2758",,"6413,421592","401,65","386,29","281,155"
513,CC1=CC=C(OC(=O)C2=CC=CS2)C=C1,12,10,0,2,1,"218,2758",,"1233,350306",,"370,25","259,175"
514,OC(=O)[CH](S)C1=CC2=C(C=CC=C2)C=C1,12,10,0,2,1,"218,2758",,"18,20659976",,"407,74","285,418"
515,OC(=O)[CH](C1=CC=CS1)C2=CC=CC=C2,12,10,0,2,1,"218,2758",,"63,66436818",,"404,68","283,276"
516,OC1=C(SSC2=C(O)C=CC=C2)C=CC=C1,12,10,0,2,2,"250,3418",,"0,163008518",,"431,65","302,155"
517,OC1=CC=C(C=C1)S(=O)C2=CC=C(O)C=C2,12,10,0,3,1,"234,2752",,"0,072491272",,"441,39","308,973"
518,OS(=O)(=O)C1=C2CCC3=C2C(=CC=C3)C=C1,12,10,0,3,1,"234,2752",,"0,025214355",,"434,98","304,486"
519,OC1=CC=C(C=C1)S(=O)(=O)C2=C(O)C=CC=C2,12,10,0,4,1,"250,2746",,"0,036498719",,"449,56","314,692"
520,OC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(O)C=C2,12,10,0,4,1,"250,2746",,"0,006356973","513,65","449,56","359,555"
521,OS(=O)(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)S(O)(=O)=O,12,10,0,6,2,"314,3394",,"7,20609E-06","345,65","510,56","241,955"
522,OS(=O)(=O)C1=CC=C(SC2=CC=C(C=C2)S(O)(=O)=O)C=C1,12,10,0,6,3,"346,4054",,"2,12511E-08",,"519,51","363,657"
523,CCOC(=O)CC1=CSC2=C1C=CC=C2,12,12,0,2,1,"220,2916",,"595,1044704",,"376,59","263,613"
524,OC(=O)C(CC1=CC=CS1)CC2=CC=CS2,12,12,0,2,2,"252,3576",,"8,2432152",,"427,63","299,341"
525,CCOC1=C2C(=CC(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O)O,12,12,0,8,2,"348,354",,"2,66195E-09",,"530,53","371,371"
526,O[CH]1CCC[CH]1SC(=O)C2=CC=CC=C2,12,14,0,2,1,"222,3074",,"7,536783276",,"384,26","268,982"
527,CC(=O)OC(C)(C)C(=S)C1=CC=CC=C1,12,14,0,2,1,"222,3074",,"4737,406631",,"356,47","249,529"
528,CC(=O)CCSC1=CC=C(OC(C)=O)C=C1,12,14,0,3,1,"238,3068",,"597,6045699",,"373,72","261,604"
529,OC(=O)[CH]([CH]1CCS(=O)(=O)C1)C2=CC=CC=C2,12,14,0,4,1,"254,3062",,"3,886573156",,"429,15","300,405"
530,CCCCSCC(=O)C1=CC=CC=C1,12,16,0,1,1,"208,3238",,"5986,482319",,"337,64","236,348"
531,COC(=O)[CH](C)CSCC1=CC=CC=C1,12,16,0,2,1,"224,3232",,"10731,67497",,"325,08","227,556"
532,OC(=O)[CH](C1=CC=CS1)C2(O)CCCCC2,12,16,0,3,1,"240,3226",,"0,459107646",,"419,99","293,993"
533,OC1=C(C=C(C=C1)S(O)(=O)=O)C2CCCCC2,12,16,0,4,1,"256,322",,"0,009241708",,"447,36","313,152"
534,OS(=O)(=O)CCCCCCC1=CC=CC=C1,12,18,0,3,1,"242,3384",,"0,327331285",,"412,34","288,638"
535,CC1=CC(=C(C)C=C1)CCCCS(O)(=O)=O,12,18,0,3,1,"242,3384",,"0,327331285",,"412,36","288,652"
536,CCS(=O)(=O)C(CC1=CC=CC=C1)S(=O)(=O)CC,12,18,0,4,2,"290,4038",,"2,859861116",,"428,04","299,628"
537,CCOC(=O)[CH](S[CH](C(C)=O)C(=O)OCC)C(C)=O,12,18,0,6,1,"290,3366",,"3249,800341",,"296,42","207,494"
538,C=CCOC(=O)CCS(=O)(=O)CCC(=O)OCC=C,12,18,0,6,1,"290,3366",,"592,1511198",,"336,68","235,676"
539,C[C]1(COS(C)(=O)=O)[CH]2C[CH](C=C2)[CH]1COS(C)(=O)=O,12,20,0,6,2,"324,4184",,"1,031773851",,"449,15","314,405"
540,CC1(C)O[CH]2O[CH]([CH](COS(C)(=O)=O)OS(C)(=O)=O)[CH](OS(C)(=O)=O)[CH]2O1,12,22,0,12,3,"454,4966",,"0,000170228",,"509,78","356,846"
541,CCOC(=O)C[CH](C)S[CH](C)CC(=O)OCC,12,22,0,4,1,"262,3694",,"50687,30362",,"255,99","179,193"
542,COC(=O)CCCCCCCCCCS,12,24,0,2,1,"232,3864",,"15381,80771",,"311,99","218,393"
543,CCCCCCCCCSCCC(O)=O,12,24,0,2,1,"232,3864",,"322,6427958",,"380,88","266,616"
544,CCCCCCCCCCS(=O)(=O)CC(O)=O,12,24,0,4,1,"264,3852",,"9,489744775",,"419,05","293,335"
545,CCCCCCCCCS(=O)(=O)CCC(O)=O,12,24,0,4,1,"264,3852",,"9,489744775",,,
546,CCCCCCCCCCOCCS,12,26,0,1,1,"218,4028",,"50538,01916",,"294,24","205,968"
547,CCCCCCCCCCCCS(O)(=O)=O,12,26,0,3,1,"250,4016",,"1,289557155",,"397,87","278,509"
548,CCCCS(=O)(=O)OCCCCOS(=O)(=O)CCCC,12,26,0,6,2,"330,4658",,"0,878506599",,"442,39","309,673"
549,CC(C)CS(=O)(=O)OCCCCOS(=O)(=O)CC(C)C,12,26,0,6,2,"330,4658",,"2,685313693",,"429,86","300,902"
550,CCSC(SCC)[CH](O)[CH](O)[CH](O)[CH](O)[CH](O)[CH](O)CO,12,26,0,7,2,"346,4652",,"1,00121E-07",,"503,12","352,184"
551,O1C2=CC=CC=C2SC3=C1C=CC=C3,12,8,0,1,1,"200,2606",,"1551,849367",,"367,8","257,46"
552,O=S1C2=C(SC3=C1C=CC=C3)C=CC=C2,12,8,0,1,2,"232,3266",,"21,87905418",,"413,35","289,345"
553,O=S1C2=C(OC3=C1C=CC=C3)C=CC=C2,12,8,0,2,1,"216,26",,"88,09751056",,"393,08","275,156"
554,O=S1C2=C(C=CC=C2)S(=O)C3=C1C=CC=C3,12,8,0,2,2,"248,326",,"1,496689714",,"431,29","301,903"
555,O=S1(=O)C2=CC=CC=C2OC3=C1C=CC=C3,12,8,0,3,1,"232,2594",,"40,2458153",,"409,16","286,412"
556,O=S1(=O)C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C13,12,8,0,4,2,"280,3248",,"0,343944149",,"456,41","319,487"
557,O[C]1(C(=O)C2=CC=CC3=C2C1=CC=C3)S(O)(=O)=O,12,8,0,5,1,"264,2582",,"6,3993E-05",,"474,81","332,367"
558,OS(=O)(=O)C1=CC=C2OC3=C(SC2=C1)C=C(C=C3)S(O)(=O)=O,12,8,0,7,3,"360,389",,"4,61573E-09",,"527,8","369,46"
559,SC1=CC=C(OC(=O)C2=CC=CC=C2)C=C1,13,10,0,2,1,"230,2868",,"384,1689823",,"371,14","259,798"
560,OC(=O)C1=C(SC2=CC=CC=C2)C=CC=C1,13,10,0,2,1,"230,2868",,"15,36675929",,"412,96","289,072"
561,OC(=O)C1=CC=C(SC2=CC=CC=C2)C=C1,13,10,0,2,1,"230,2868",,"15,36675929",,,
562,OC1=C(C=CC=C1)C(=O)C=CC2=CC=CS2,13,10,0,2,1,"230,2868",,"9,430728887",,"406,66","284,662"
563,OC1=C(C=CC=C1)C(=O)CC(=O)C2=CC=CS2,13,10,0,3,1,"246,2862",,"1,921762163",,"426,58","298,606"
564,OC(=O)C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,13,10,0,4,1,"262,2856",,"0,389560656",,"453,37","317,359"
565,CC1=C(SCC(O)=O)C(=O)C2=C(C=CC=C2)C1=O,13,10,0,4,1,"262,2856",,"0,211717748",,"459,22","321,454"
566,OC(=O)C1=CC=CC(=C1)S(=O)(=O)C2=CC=CC=C2,13,10,0,4,1,"262,2856",,"0,389560656",,"453,37","317,359"
567,OCC1=CC=C(SC2=CC=CC=C2)C=C1,13,12,0,1,1,"216,3032",,"4,92373726",,"382,96","268,072"
568,O=S1(=O)CCCC2=C1C=CC3=CC=CC=C23,13,12,0,2,1,"232,3026",,"24,62701954",,"409,06","286,342"
569,CC1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,13,12,0,2,1,"232,3026",,"74,25608938",,"398,73","279,111"
570,CC1=CC=CC(=C1)S(=O)(=O)C2=CC=CC=C2,13,12,0,2,1,"232,3026",,"74,25608938",,,
571,O=S(=O)(CC1=CC=CC=C1)C2=CC=CC=C2,13,12,0,2,1,"232,3026",,"44,25362902","419,15","394,56","293,405"
572,OC(=O)[CH](CC1=CC=CC=C1)C2=CC=CS2,13,12,0,2,1,"232,3026",,"29,25239885",,"412,57","288,799"
573,OC(=O)[CH](CC1=CC=CS1)C2=CC=CC=C2,13,12,0,2,1,"232,3026",,"29,25239885",,,
574,CC1=CC=C(C=C1)S(=O)(=O)SC2=CC=CC=C2,13,12,0,2,2,"264,3686",,"8,792045046",,"415,29","290,703"
575,CC1=CC=C(OS(=O)(=O)C2=CC=CC=C2)C=C1,13,12,0,3,1,"248,302",,"36,7455261",,"402,96","282,072"
576,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC=C2,13,12,0,3,1,"248,302",,"36,7455261",,,
577,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC=C2,13,12,0,3,1,"248,302",,"36,7455261",,,
578,O=S(=O)(CS(=O)(=O)C1=CC=CC=C1)C2=CC=CC=C2,13,12,0,4,2,"296,3674",,"0,226469819",,"454,05","317,835"
579,OS(=O)(=O)CCCC1=C2C=CC=CC2=CC=C1,13,14,0,3,1,"250,3178",,"0,015895174",,"436,03","305,221"
580,CC(C)C1=C2C=CC=CC2=CC=C1S(O)(=O)=O,13,14,0,3,1,"250,3178",,"0,028153317",,"432,34","302,638"
581,OC(=O)CCCCC(=O)SCC1=CC=CC=C1,13,16,0,3,1,"252,3336",,"9,070748058",,"419,27","293,489"
582,O=C(CCC1=CC=CS1)OC2CCCCC2,13,18,0,2,1,"238,35",,"1359,604458",,"364,47","255,129"
583,COC(=O)CCC1=CC=C(CSCCO)C=C1,13,18,0,3,1,"254,3494",,"2,025741341",,"394,32","276,024"
584,OC1(CCCCC1)[CH](C2=CC=CC=C2)S(O)(=O)=O,13,18,0,4,1,"270,3488",,"0,005644789",,"437,75","306,425"
585,CC1=CC=C(C=C1)S(=O)(=O)OC[CH]2COC(C)(C)O2,13,18,0,5,1,"286,3482",,"18,79948042",,"414,16","289,912"
586,CC1=CC=C(C=C1)S(=O)(=O)[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O,13,18,0,7,1,"318,347",,"6,21869E-07",,"494,59","346,213"
587,CS(=O)(=O)O[CH]1[CH](O)[CH](O)CO[CH]1OCC2=CC=CC=C2,13,18,0,7,1,"318,347",,"0,000270676",,"463,99","324,793"
588,CC1=C(OC[CH](O)COC(=O)CCS(O)(=O)=O)C=CC=C1,13,18,0,7,1,"318,347",,"0,000122318",,"467,75","327,425"
589,CCCCCCOS(=O)(=O)C1=CC=C(C)C=C1,13,20,0,3,1,"256,3652",,"99,60653391",,"396,37","277,459"
590,CCS(=O)(=O)C(CCC1=CC=CC=C1)S(=O)(=O)CC,13,20,0,4,2,"304,4306",,"1,277834074",,"435,72","305,004"
591,CC1(C)OC[CH](O1)[CH]2O[CH]3OC(C)(C)O[CH]3[CH]2OS(C)(=O)=O,13,22,0,8,1,"338,378",,"3,878584708",,"439,44","307,608"
592,CC(=O)SCCCCCCCCCCC(O)=O,13,24,0,3,1,"260,3968",,"29,28690559",,"406,3","284,41"
593,OC(=O)CCCCCCCCCCSCC(O)=O,13,24,0,4,1,"276,3962",,"0,749642435",,"445,95","312,165"
594,OC(=O)CCCCCCCCCCS(=O)(=O)CC(O)=O,13,24,0,6,1,"308,395",,"0,023400115",,"475,04","332,528"
595,CCCCCCCCCCCCOC(S)=S,13,26,0,1,2,"262,4798",,"535,3362528",,"367,21","257,047"
596,OCCSCCCCCCCCCCC(O)=O,13,26,0,3,1,"262,4126",,"0,151098454",,"418,13","292,691"
597,OCCS(=O)(=O)CCCCCCCCCCC(O)=O,13,26,0,5,1,"294,4114",,"0,002043788",,"459,18","321,426"
598,C[CH]1C[CH](CC(C)(C)C1)OCCOCCOS(O)(=O)=O,13,26,0,6,1,"310,4108",,"0,048275438",,"429,16","300,412"
599,CCS(=O)(=O)C(CCCO[CH]1CCCCO1)S(=O)(=O)CC,13,26,0,6,2,"342,4768",,"0,368597776",,"449,81","314,867"
600,CCCCCC[CH](C)C(S(=O)(=O)CC)S(=O)(=O)CC,13,28,0,4,2,"312,4938",,"6,137985073",,"422,93","296,051"
601,O=C1C2=C(SC3=C1C=CC=C3)C=CC=C2,13,8,0,1,1,"212,2716",,"4,752003833","482,15","394,81","337,505"
602,O=C1C=C(OC2=C1C=CC=C2)C3=CC=CS3,13,8,0,2,1,"228,271",,"55,89252069",,"406,85","284,795"
603,O=C1C2=C(C=CC=C2)S(=O)(=O)C3=CC=CC=C13,13,8,0,3,1,"244,2704",,"5,179151602",,"426,94","298,858"
604,OC(=O)C1=C2OC3=C(C=CC=C3)S(=O)(=O)C2=CC=C1,13,8,0,5,1,"276,2692",,"0,111205336",,"463,9","324,73"
605,CC(=O)C1=CC2=C(C=C1)C3=CC=CC=C3S2,14,10,0,1,1,"226,2984",,"59,67179768",,"403,44","282,408"
606,O=S(=O)(C#CC1=CC=CC=C1)C2=CC=CC=C2,14,10,0,2,1,"242,2978",,"15,51629366",,"418,48","292,936"
607,O=C(SC(=O)C1=CC=CC=C1)C2=CC=CC=C2,14,10,0,2,1,"242,2978",,"53,06833211",,"396,18","277,326"
608,O=C(SSC(=O)C1=CC=CC=C1)C2=CC=CC=C2,14,10,0,2,2,"274,3638",,"7,072189367","407,65","420,6","285,355"
609,OS(=O)(=O)C1=CC2=C3C=CC=CC3=CC=C2C=C1,14,10,0,3,1,"258,2972",,"0,000750594",,"458,67","321,069"
610,OS(=O)(=O)C1=CC2=C(C=C1)C3=C(C=CC=C3)C=C2,14,10,0,3,1,"258,2972",,"0,000750594",,,
611,OS(=O)(=O)C1=CC2=C(C=C1)C3=C(C=CC=C3)C=C2,14,10,0,3,1,"258,2972",,"0,000750594",,,
612,OC(=O)C1=C(SSC2=C(C=CC=C2)C(O)=O)C=CC=C1,14,10,0,4,2,"306,3626",,"0,00049954","561,15","486,7","392,805"
613,OC(=O)C1=C(SSC2=C(C=CC=C2)C(O)=O)C=CC=C1,14,10,0,4,2,"306,3626",,"0,00049954",,,
614,OC(=O)C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C(O)=O,14,10,0,6,1,"306,2954",,"0,001295551",,"494,03","345,821"
615,OC1=C(C=O)C=C(C=C1)S(=O)(=O)C2=CC(=C(O)C=C2)C=O,14,10,0,6,1,"306,2954",,"6,70852E-05",,"487,88","341,516"
616,CC1=CC=C(S1)C(=O)C=CC2=CC=CC=C2,14,12,0,1,1,"228,3142",,"221,1551141",,"388,17","271,719"
617,CC1=CC2=C(SC3=C(C=C(C)C=C3)S2=O)C=C1,14,12,0,1,2,"260,3802",,"4,708025342",,"427,29","299,103"
618,O=S(=O)(C=CC1=CC=CC=C1)C2=CC=CC=C2,14,12,0,2,1,"244,3136",,"30,6333944",,"402,53","281,771"
619,OC(=O)CC1=CC=C(SC2=CC=CC=C2)C=C1,14,12,0,2,1,"244,3136",,"6,954963793",,"420,86","294,602"
620,OC(=O)[CH](SC1=CC=CC=C1)C2=CC=CC=C2,14,12,0,2,1,"244,3136",,"13,27885337",,"410,92","287,644"
621,O=C(CS(=O)(=O)C1=CC=CC=C1)C2=CC=CC=C2,14,12,0,3,1,"260,313",,"7,382407784",,"419,3","293,51"
622,CC1=CC=C(C=C1)S(=O)(=O)C2=CC(=CC=C2)C(O)=O,14,12,0,4,1,"276,3124",,"0,17248444",,"460,94","322,658"
623,O=S(=O)(OCC1=CC2=C(OCO2)C=C1)C3=CC=CC=C3,14,12,0,5,1,"292,3118",,"1,252134475",,"439,74","307,818"
624,COC1=CC=CC(=C1OS(=O)(=O)C2=CC=CC=C2)C=O,14,12,0,5,1,"292,3118",,"0,838426728",,"440,63","308,441"
625,COC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C(O)=O,14,12,0,5,1,"292,3118",,"0,07896627",,"466,57","326,599"
626,O=S(CC1=CC=CC=C1)CC2=CC=CC=C2,14,14,0,1,1,"230,33",,"49,33159279","407,15","387,33","285,005"
627,C[S+](C)CC(=O)C1=CC2=C(C=CC=C2)C=C1,14,14,0,1,1,"230,33",,"197,0784737",,"377,64","264,348"
628,C[CH](O)C1=CC=C(SC2=CC=CC=C2)C=C1,14,14,0,1,1,"230,33",,"5,156266985",,"381,35","266,945"
629,OC(=O)CSC1=C(SCC(O)=O)C(=C(SCC(O)=O)C(=C1O)SCC(O)=O)O,14,14,0,10,4,"470,5226",,"3,39295E-14",,"609,7","426,79"
630,O=S(=O)(CC1=CC=CC=C1)CC2=CC=CC=C2,14,14,0,2,1,"246,3294",,"21,20937105","425,15","402,84","297,605"
631,CC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C)C=C2,14,14,0,2,1,"246,3294",,"3,34047594","432,15","403,15","302,505"
632,CC1=CC=C(C=C1)S(=O)(=O)CC2=CC=CC=C2,14,14,0,2,1,"246,3294",,"40,16524642",,"400,02","280,014"
633,OC(=O)CCCSC1=CC2=C(C=CC=C2)C=C1,14,14,0,2,1,"246,3294",,"3,446522795",,"426,79","298,753"
634,CC1=CC(=C(C)C=C1)S(=O)(=O)C2=CC=CC=C2,14,14,0,2,1,"246,3294",,"37,11639933",,"403,15","282,205"
635,O=C(CCC1=CC=CS1)OCC2=CC=CC=C2,14,14,0,2,1,"246,3294",,"270,4194808",,"383,13","268,191"
636,COC1=CC=C(SSC2=CC=C(OC)C=C2)C=C1,14,14,0,2,2,"278,3954",,"26,96659535",,"402,21","281,547"
637,CSS(=O)(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,14,14,0,2,2,"278,3954",,"6,412057117",,"419,53","293,671"
638,CC1=CC=C(C=C1)S(=O)(=O)OC2=C(C)C=CC=C2,14,14,0,3,1,"262,3288",,"15,38735696",,"413,99","289,793"
639,C[C](O)([CH](C(O)=O)C1=CC=CC=C1)C2=CC=CS2,14,14,0,3,1,"262,3288",,"0,052373481",,"436,67","305,669"
640,COC1=CC=C(C=C1)S(=O)C2=CC=C(OC)C=C2,14,14,0,3,1,"262,3288",,"14,25800966",,"408,74","286,118"
641,O[CH](C(C1=CC=CC=C1)C2=CC=CC=C2)S(O)(=O)=O,14,14,0,4,1,"278,3282",,"0,000717438",,"447,95","313,565"
642,COC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(OC)C=C2,14,14,0,4,1,"278,3282",,"6,3206424",,"424,82","297,374"
643,O[CH]([CH](C1=CC=CC=C1)S(O)(=O)=O)C2=CC=CC=C2,14,14,0,4,1,"278,3282",,"0,000717438",,"447,95","313,565"
644,COC1=C(OS(=O)(=O)C2=CC=C(C)C=C2)C=CC=C1,14,14,0,4,1,"278,3282",,"6,3206424",,"424,82","297,374"
645,O=S(=O)(CCS(=O)(=O)C1=CC=CC=C1)C2=CC=CC=C2,14,14,0,4,2,"310,3942",,"0,099218259",,"461,73","323,211"
646,OC(=O)C(CCC1=CC=CS1)(CC2=CC=CS2)C(O)=O,14,14,0,4,2,"310,3942",,"0,016870445",,"477,24","334,068"
647,O=S(=O)(OCCSS(=O)(=O)C1=CC=CC=C1)C2=CC=CC=C2,14,14,0,5,3,"358,4596",,"0,004147346",,"487,42","341,194"
648,O=S(=O)(OCCOS(=O)(=O)C1=CC=CC=C1)C2=CC=CC=C2,14,14,0,6,2,"342,393",,"0,017817342",,"477,51","334,257"
649,CCCCC1=C2C=CC=CC2=CC=C1S(O)(=O)=O,14,16,0,3,1,"264,3446",,"0,006700125",,"440,69","308,483"
650,CO[CH]1O[CH]2CO[CH](O[CH]2[CH]3S[CH]13)C4=CC=CC=C4,14,16,0,4,1,"280,344",,"78,59963824",,"401,55","281,085"
651,COC(=O)CCC[CH](SC1=CC=CC=C1)C(=O)OC,14,18,0,4,1,"282,3598",,"3266,877756",,"266,45","186,515"
652,COC1=CC=C(C[CH](C)S[CH](CC(O)=O)C(O)=O)C=C1,14,18,0,5,1,"298,3592",,"0,127964444",,"463,47","324,429"
653,CCOC(=O)C([CH](C1=CC=CC=C1)S(O)(=O)=O)C(=O)OCC,14,18,0,7,1,"330,358",,"0,021688835",,"411,49","288,043"
654,CCCC[S+](CC)CC(=O)C1=CC=CC=C1,14,20,0,1,1,"236,3774",,"1254,222029",,"347,42","243,194"
655,O=C(CCC1=CC=CS1)OCC2CCCCC2,14,20,0,2,1,"252,3768",,"594,860454",,"373,08","261,156"
656,CC1CCC(CC1)OS(=O)(=O)C2=CC=C(C)C=C2,14,20,0,3,1,"268,3762",,"46,07085166",,"399,46","279,622"
657,OCCSC1=C(SCCO)C(=O)C(=C(SCCO)C1=O)SCCO,14,20,0,6,4,"412,5724",,"8,65877E-12",,"553,34","387,338"
658,CCS(=O)(=O)C(CCCC1=CC=CC=C1)S(=O)(=O)CC,14,22,0,4,2,"318,4574",,"0,565531556",,"443,39","310,373"
659,CCSCCOC(=O)C1C(C=C(C)C)C1(C)C,14,24,0,2,1,"256,4084",,"6291,999068",,"339,67","237,769"
660,C[CH]1CC[CH](C[CH]1SC(C)=O)[CH](C)CSC(C)=O,14,24,0,2,2,"288,4744",,"100,2839323",,"387,25","271,075"
661,CCCCOC(=O)CCSCCC(=O)OCCCC,14,26,0,4,1,"290,423",,"5157,467565",,"295,3","206,71"
662,CCCCOC(=O)CCS(=O)(=O)CCC(=O)OCCCC,14,26,0,6,1,"322,4218",,"97,33719295",,"359,86","251,902"
663,CCCSCCCCCCCCCCC(O)=O,14,28,0,2,1,"260,44",,"67,41310351",,"397,43","278,201"
664,CCCCCCCCCCS(=O)(=O)CC(=O)OCC,14,28,0,4,1,"292,4388",,"58,54226096",,"398,21","278,747"
665,CCCS(=O)(=O)CCCCCCCCCCC(O)=O,14,28,0,4,1,"292,4388",,"1,919934365",,"434,4","304,08"
