,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,6.447110409594151,73.3737700235592,0.8180324041448531,7.457232653764433,0.7603491385696581,98.06795040540788,0.001,0.001,-7.4929309391053405,6.666087029255833
1,9267,6.522468629252819,74.73667332097499,0.8123847104219248,7.2670497847726745,0.7727156310034302,93.00743629147671,0.001,0.001,-7.25274164031608,6.490731554103333
2,13900,6.500041423751681,74.6079938941008,0.8131760879447762,7.135271460298126,0.7785168295886555,90.63351761765144,0.001,0.001,-7.078931955328177,6.376989064791038
3,18534,6.551246143177605,76.12637301672758,0.8105638804872031,7.0076625593914565,0.7844050780551559,88.22397710884204,0.001,0.001,-7.0589212058905755,6.258441707176486
4,23167,5.692137274731987,58.12176266714821,0.8558276505901324,6.903650295099586,0.7882551585992944,86.64847887943488,0.01,0.01,-6.948254975471508,6.141664809556981
5,27801,5.772092524796368,60.0461951856162,0.8517021168491231,6.860016285647307,0.7911798238700969,85.45167146126985,0.01,0.01,-6.900140455467225,6.099096441573025
