,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,0.8233445895591839,1.2379517487423852,0.7288387754992574,0.8601909622780336,0.7197386821557724,1.3463186297378524,0.001,0.001,-0.8523877726065845,15.702798444892805
1,9267,0.8153702540706409,1.2189280708922927,0.7435497005273966,0.8444477047568368,0.725642353333278,1.3179585886474163,9.999999999999999e-05,0.001,-0.8445626782960243,15.438983699435374
2,13900,0.8166583326943353,1.2254914246458695,0.7414782501906894,0.8403060624827033,0.7289960757286498,1.3018479852484564,9.999999999999999e-05,0.001,-0.838055992743579,15.294131232348576
3,18534,0.8153193823383925,1.2235905989872211,0.7414405225716186,0.8367977300223933,0.7305399820826839,1.2944313717000893,9.999999999999999e-05,0.001,-0.833298854747935,15.267952150203307
4,23167,0.7966011445422388,1.170621545452647,0.7523674950818813,0.8363284687175445,0.7322715395009571,1.286113320430603,0.01,0.01,-0.826165287308452,15.25339969779246
5,27801,0.8009811477809775,1.1942088777233373,0.7483175977122598,0.8359213437632336,0.7326126551902354,1.284474669720959,0.01,0.01,-0.8270078255389055,15.257877863571284
