,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,0.6870399727412961,0.9295660669047319,0.8101870199370796,0.7916073708191446,0.7505022159070318,1.165630889748279,0.001,0.001,-0.7954673606495954,13.948631498431693
1,9267,0.7005750630371277,0.9451300656519138,0.8043156318227764,0.7620118386420357,0.7644741666538908,1.1003552102876875,0.001,0.001,-0.7729237423981842,13.349629482127337
2,13900,0.694640335988695,0.9411602855201476,0.8030706493376041,0.754869966016315,0.768152424595712,1.0831707246898072,0.001,0.001,-0.7543046239114128,13.253968358989535
3,18534,0.6975977255444327,0.9521462237877593,0.8009842315266067,0.7462769537882986,0.7728395681839078,1.0612728173759258,0.001,0.001,-0.7470184612693904,13.114569359089565
4,23167,0.6960958332874171,0.9506345698280841,0.8007012351594064,0.7416438233446377,0.7753919462727739,1.049348339755754,0.001,0.001,-0.7392623021930312,13.00077097004787
5,27801,0.6975706786422625,0.9638797482646623,0.7975816420638865,0.7385039201386298,0.7773300284217091,1.040293796734936,0.001,0.001,-0.736524584016668,12.943017122412703
