,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,10.253193190257933,175.3178181386736,0.5505601278883455,10.826463347625479,0.5244742239998569,195.15223949966943,0.1,0.01,-10.9067657059377,9.799943065710035
1,9267,9.442521935725987,151.2637142508546,0.6192117596369123,10.593446000984356,0.5436361248706743,187.2883379895028,0.01,0.01,-10.505626259548183,9.5359086672532
2,13900,9.55198486146216,154.34464664441668,0.6188545958966849,10.444916505380899,0.5533272221087333,183.31118380634933,0.01,0.01,-10.406186978519383,9.410736909495574
3,18534,9.61452191988852,156.26503939200583,0.6109633907810993,10.372345062850895,0.5584340555721103,181.21537735919344,0.01,0.01,-10.341204193495162,9.32991204411303
4,23167,9.63236373795607,157.2370077068558,0.6099304733724744,10.33409145144412,0.5620355427829166,179.7373538109641,0.01,0.01,-10.242577050243511,9.29913709766169
5,27801,9.659111525127804,158.70708742505838,0.6078802996755988,10.295592720983656,0.5656423962659174,178.2571279845631,0.01,0.01,-10.222387571031925,9.260281881998452
