,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,1.1292637077204115,2.2461803744145734,0.5413406256898445,1.1780271247679046,0.500457686908962,2.3338161218227462,0.09999999999999999,0.01,-1.2008957217860847,21.11359991818164
1,9267,1.0557227783988958,1.934793153541339,0.5994109281210885,1.1403929799066876,0.5308917707017237,2.1916308583383546,0.01,0.01,-1.171690569156823,20.317696898847593
2,13900,1.0533312813916336,1.9349125427086884,0.5951369001789543,1.1241377126189234,0.5405272183353435,2.1466149258757476,0.01,0.01,-1.1438820814777473,19.992695150820317
3,18534,1.063240446724442,1.9589720393804575,0.5905394401668116,1.1180041171059405,0.5426123290444054,2.136873478832988,0.01,0.01,-1.1399629798898114,19.881665674039205
4,23167,1.0589569507493948,1.9480658037472125,0.5915916369575857,1.1132611435643747,0.5467677366204099,2.11745979366663,0.01,0.01,-1.1255424120181015,19.74604070930723
5,27801,1.0620506074643232,1.9651347725280879,0.5873143361561,1.1066101608345909,0.5511197004411126,2.0971278156535997,0.01,0.01,-1.1223262595011327,19.579798580905088
