,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,0.6607686369603056,0.8212925371370599,0.8269844605790213,0.7813392642398466,0.7579002943884683,1.1478037477685916,0.001,0.001,-0.7852293329366447,13.709504978492268
1,9267,0.6844611312657879,0.9073760946189046,0.8097809824739763,0.7547843374984009,0.769047078566568,1.0949564275999337,0.001,0.001,-0.7706319029171226,13.145898911130047
2,13900,0.6901669846693772,0.9341469259252675,0.8029163429351246,0.7449831395270365,0.7739801302361764,1.0715686453636428,0.001,0.001,-0.7589406347277061,12.992918168872816
3,18534,0.6947495509107634,0.9520061193916745,0.7995556853670545,0.7357750148765441,0.7792576632631637,1.0465476641441593,0.001,0.001,-0.753135175755604,12.778092849357451
4,23167,0.6912618779154918,0.9474960631423581,0.800453322002445,0.7292036185001405,0.782179799398503,1.0326937075721747,0.001,0.001,-0.7423437358039553,12.620452217435874
5,27801,0.6921539194850582,0.9494171042747345,0.8002652551192929,0.7256508815991445,0.78380577704747,1.0249848868011702,0.001,0.001,-0.7375500713915126,12.55891870512468
