,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,0.7336518126986326,1.0746829981648929,0.774591317999747,0.7437653082224273,0.7739972143546785,1.0786401271797614,0.001,0.0001,-0.780073641479797,14.104287845052607
1,9267,0.6823175129000547,0.9364969056972875,0.7992754415237613,0.7150495845204248,0.7866423292860345,1.0182889755830464,0.0001,0.0001,-0.7377295708175933,13.016478570425964
2,13900,0.6808471697107294,0.9257153000513719,0.8013642213433891,0.7047704643580448,0.7906690880602297,0.9990705239877796,0.0001,0.0001,-0.7232716189793973,12.851724605797704
3,18534,0.6660974650175918,0.8911561162687193,0.8098396789758857,0.6997715707089612,0.7920577643222813,0.9924428094857937,0.01,0.001,-0.7168130778730837,12.901976563637879
4,23167,0.6676551866644492,0.8978083305991068,0.8103954441687021,0.6949939321273605,0.7946740048391185,0.9799563173580245,0.01,0.001,-0.7131072344767819,12.8756166748319
5,27801,0.6154193521636729,0.765555708691912,0.838803158035615,0.689608576882371,0.7969148890648049,0.9692612826075113,0.001,0.001,-0.7065100288715934,12.74995755879058
