,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,4633,0.7313551000932037,1.017795095835861,0.7780528144636778,0.7796075142105594,0.7555514621987263,1.1705994110763607,0.0001,0.0001,-0.7844420307982294,16.96598424013272
1,9267,0.6786420162380531,0.8791549892799558,0.8110022573418721,0.7626329611304719,0.762634074971244,1.1366826512750343,0.001,0.001,-0.7590010170788195,16.513096584493407
2,13900,0.6808290601737323,0.8939326032728065,0.8109250121545494,0.7512353682436644,0.768292264968731,1.1095870755011221,0.001,0.001,-0.747903035144169,16.334194255954355
3,18534,0.685528059012464,0.9152718685918787,0.805427101393509,0.7441733470176348,0.7711136810473502,1.0960760599322013,0.001,0.001,-0.7390092142817156,16.202486077109484
4,23167,0.685338270480724,0.9232963593331721,0.8045291887790315,0.739057060911488,0.7728217385383791,1.0878966242478343,0.001,0.001,-0.735164672276835,16.10303277792594
5,27801,0.6906734589231187,0.9409654804887226,0.8017755512492659,0.7347994766507414,0.7744701807018619,1.0800026706037542,0.001,0.001,-0.7342914542934146,15.993865034735267
