ID,Aldehyde_1
1,C=CCOc1ccc(C=O)cc1
2,CC(=O)C1CCCCC1
3,CC(=O)C1CCOCC1
4,CC(=O)Nc1ccc(C=O)cc1
5,CC(=O)c1ccc(C=O)cc1
6,CC(=O)c1ccccc1
7,CC(C)(C)C=O
8,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1
9,CC(C)(C)c1ccc(C=O)cc1
10,CC(C)C=O
11,CC(C)CC=O
12,CC(C)Cc1ccc(C=O)cc1
13,COC(=O)c1ccc(C=O)cc1
14,COc1cc2ccccc2cc1C=O
15,COc1ccnc(C=O)c1
16,Cc1ccc(C=O)cc1
17,Cc1ccc(C=O)cn1
18,Cc1ccc2[nH]cc(C=O)c2c1
19,Cc1cccc(C=O)c1
20,N#Cc1ccc(C=O)cc1
21,O=C(c1ccccc1)C(F)(F)F
22,O=C1CCC(c2ccccc2)CC1
23,O=C1CCOC1
24,O=C1CCOCC1
25,O=C1CCOc2ccccc21
26,O=CC1CC1
27,O=CC1CCC1
28,O=CC1CCCCC1
29,O=CC1CCN(C(=O)OCc2ccccc2)CC1
30,O=CC1CCOCC1
31,O=Cc1cc(Cl)cc(Cl)c1
32,O=Cc1ccc(-c2ccccc2)cc1
33,O=Cc1ccc(-c2ccccn2)cc1
34,O=Cc1ccc(C(F)(F)F)cc1
35,O=Cc1ccc(Cl)c(Cl)c1
36,O=Cc1ccc(Cl)cc1
37,O=Cc1ccc(F)c2ccccc12
38,O=Cc1ccc(F)cc1Cl
39,O=Cc1ccc(N2CCCC2)cc1
40,O=Cc1ccc2c(c1)OCC2
41,O=Cc1ccc2ccccc2c1
42,O=Cc1ccc2occc2c1
43,O=Cc1cccc(Br)c1
44,O=Cc1cccc(C(F)(F)F)c1
45,O=Cc1cccc(Cl)c1
46,O=Cc1cccc(F)c1
47,O=Cc1cccc([N+](=O)[O-])c1O
48,O=Cc1ccccc1
49,O=Cc1cccnc1
50,O=Cc1cocn1
