Column,SMILES,XYZ_File
Aldehyde_2,O=CCC(F)(F)F,Aldehyde_2_20.xyz
Aldehyde_2,O=Cc1ccc(C(F)(F)F)cc1,Aldehyde_2_21.xyz
Aldehyde_2,COc1cccc(C=O)c1,Aldehyde_2_22.xyz
Aldehyde_2,N#Cc1ccccc1C=O,Aldehyde_2_23.xyz
Aldehyde_2,O=Cc1cc(Cl)cc(Cl)c1,Aldehyde_2_24.xyz
Aldehyde_2,CC(C)(C)CC=O,Aldehyde_2_25.xyz
Aldehyde_2,O=CC1CCC1,Aldehyde_2_26.xyz
Aldehyde_2,O=CC1CCOCC1,Aldehyde_2_27.xyz
Aldehyde_2,O=Cc1ccccc1O,Aldehyde_2_28.xyz
Aldehyde_2,O=Cc1ccc(N2CCCC2)cc1,Aldehyde_2_29.xyz
Aldehyde_2,O=Cc1ccc(F)cc1,Aldehyde_2_30.xyz
Aldehyde_2,CC(=O)c1ccc(C=O)cc1,Aldehyde_2_31.xyz
Aldehyde_2,O=Cc1ccc(O)cc1,Aldehyde_2_32.xyz
Aldehyde_2,O=Cc1ccncc1,Aldehyde_2_33.xyz
Aldehyde_2,Cc1ccc(C=O)cn1,Aldehyde_2_34.xyz
Aldehyde_2,Cc1cc(C=O)no1,Aldehyde_2_35.xyz
Aldehyde_2,CCC(C)C=O,Aldehyde_2_36.xyz
Aldehyde_2,O=CC1CCOC1,Aldehyde_2_37.xyz
Aldehyde_2,COc1ccc(C=O)cc1,Aldehyde_2_38.xyz
Aldehyde_2,N#Cc1ccc(C=O)cc1,Aldehyde_2_39.xyz
Aldehyde_2,Cc1ccc(C=O)cc1,Aldehyde_2_40.xyz
Aldehyde_2,O=Cc1ccc(-n2cncn2)cc1,Aldehyde_2_41.xyz
Aldehyde_2,Cc1c(C=O)cnn1-c1ccccc1,Aldehyde_2_42.xyz
Aldehyde_2,CC(C)(C)c1ccc(C=O)cc1,Aldehyde_2_43.xyz
Aldehyde_2,O=Cc1ccc(-c2ccccn2)cc1,Aldehyde_2_44.xyz
Aldehyde_2,Cc1nn(-c2ccccc2)cc1C=O,Aldehyde_2_45.xyz
Aldehyde_2,COC(=O)c1ccc(C=O)cc1,Aldehyde_2_46.xyz
Aldehyde_2,Cn1nc2ccccc2c1C=O,Aldehyde_2_47.xyz
Aldehyde_2,O=Cc1ccc2ccccc2c1,Aldehyde_2_48.xyz
Aldehyde_2,CC(C)(C)OC(=O)n1cnc(C=O)c1,Aldehyde_2_49.xyz
Aldehyde_2,Cc1ccc(C=O)c(O)c1,Aldehyde_2_50.xyz
Aldehyde_2,Cn1cnc2cc(C=O)ccc21,Aldehyde_2_51.xyz
Aldehyde_2,O=Cc1ccc2c(c1)OCCO2,Aldehyde_2_52.xyz
Aldehyde_2,CCCn1nc(C)cc1C=O,Aldehyde_2_53.xyz
Aldehyde_2,CC(C)(C)c1cccc(C=O)c1O,Aldehyde_2_54.xyz
Aldehyde_2,Cc1nc(N(C)C)sc1C=O,Aldehyde_2_55.xyz
Aldehyde_2,O=Cc1cc(O)c(O)c(Cl)c1,Aldehyde_2_56.xyz
Aldehyde_2,O=Cc1cc(F)c(O)c(F)c1,Aldehyde_2_57.xyz
Aldehyde_2,CN1CCCCC(C=O)C1=O,Aldehyde_2_58.xyz
Aldehyde_2,O=CC1CCN(c2ccccc2)C1,Aldehyde_2_59.xyz
Aldehyde_2,COC(=O)N1C=C(C=O)OCC1,Aldehyde_2_60.xyz
bifunctional_reagent,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,bifunctional_reagent_1.xyz
bifunctional_reagent,CCCC[Sn](CCCC)(CCCC)COC[Si](C)(C)C,bifunctional_reagent_2.xyz
bifunctional_reagent,CCCC[Sn](CCCC)(CCCC)CN(C[Si](C)(C)C)C(=O)OCC,bifunctional_reagent_3.xyz
bifunctional_reagent,CC(OC[Si](C)(C)C)C(=O)ON1C(=O)c2ccccc2C1=O,bifunctional_reagent_4.xyz
bifunctional_reagent,CC(C)(OC[Si](C)(C)C)C(=O)ON1C(=O)c2ccccc2C1=O,bifunctional_reagent_5.xyz
