run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_170958,ohe,1,1,95,0.007155,0
core_rf_5x5_20260825_170958,ohe,1,2,95,0.00598,0
core_rf_5x5_20260825_170958,ohe,1,3,95,0.006921,0
core_rf_5x5_20260825_170958,ohe,1,4,95,0.006451,0
core_rf_5x5_20260825_170958,ohe,1,5,95,0.007256,0
core_rf_5x5_20260825_170958,ohe,2,1,95,0.005242,0
core_rf_5x5_20260825_170958,ohe,2,2,95,0.006854,0
core_rf_5x5_20260825_170958,ohe,2,3,95,0.007875,0
core_rf_5x5_20260825_170958,ohe,2,4,95,0.005619,0
core_rf_5x5_20260825_170958,ohe,2,5,95,0.00699,0
core_rf_5x5_20260825_170958,ohe,3,1,95,0.007399,0
core_rf_5x5_20260825_170958,ohe,3,2,95,0.006853,0
core_rf_5x5_20260825_170958,ohe,3,3,95,0.00971,0
core_rf_5x5_20260825_170958,ohe,3,4,95,0.005965,0
core_rf_5x5_20260825_170958,ohe,3,5,95,0.005704,0
core_rf_5x5_20260825_170958,ohe,4,1,95,0.008118,0
core_rf_5x5_20260825_170958,ohe,4,2,95,0.006613,0
core_rf_5x5_20260825_170958,ohe,4,3,95,0.007427,0
core_rf_5x5_20260825_170958,ohe,4,4,95,0.00671,0
core_rf_5x5_20260825_170958,ohe,4,5,95,0.005327,0
core_rf_5x5_20260825_170958,ohe,5,1,95,0.005426,0
core_rf_5x5_20260825_170958,ohe,5,2,95,0.006017,0
core_rf_5x5_20260825_170958,ohe,5,3,95,0.005698,0
core_rf_5x5_20260825_170958,ohe,5,4,95,0.005461,0
core_rf_5x5_20260825_170958,ohe,5,5,95,0.006783,0
