run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_171023,ohe,1,1,115,0.003666,0
core_rf_5x5_20260825_171023,ohe,1,2,115,0.002847,0
core_rf_5x5_20260825_171023,ohe,1,3,115,0.002887,0
core_rf_5x5_20260825_171023,ohe,1,4,115,0.003502,0
core_rf_5x5_20260825_171023,ohe,1,5,115,0.004781,0
core_rf_5x5_20260825_171023,ohe,2,1,115,0.003337,0
core_rf_5x5_20260825_171023,ohe,2,2,115,0.002712,0
core_rf_5x5_20260825_171023,ohe,2,3,115,0.00408,0
core_rf_5x5_20260825_171023,ohe,2,4,115,0.003434,0
core_rf_5x5_20260825_171023,ohe,2,5,115,0.00279,0
core_rf_5x5_20260825_171023,ohe,3,1,115,0.003274,0
core_rf_5x5_20260825_171023,ohe,3,2,115,0.003095,0
core_rf_5x5_20260825_171023,ohe,3,3,115,0.003343,0
core_rf_5x5_20260825_171023,ohe,3,4,115,0.003768,0
core_rf_5x5_20260825_171023,ohe,3,5,115,0.003292,0
core_rf_5x5_20260825_171023,ohe,4,1,115,0.002956,0
core_rf_5x5_20260825_171023,ohe,4,2,115,0.003193,0
core_rf_5x5_20260825_171023,ohe,4,3,115,0.002827,0
core_rf_5x5_20260825_171023,ohe,4,4,115,0.003901,0
core_rf_5x5_20260825_171023,ohe,4,5,115,0.002871,0
core_rf_5x5_20260825_171023,ohe,5,1,115,0.003065,0
core_rf_5x5_20260825_171023,ohe,5,2,115,0.002884,0
core_rf_5x5_20260825_171023,ohe,5,3,115,0.00393,0
core_rf_5x5_20260825_171023,ohe,5,4,115,0.003321,0
core_rf_5x5_20260825_171023,ohe,5,5,115,0.004467,0
