run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_170613,ohe,1,1,95,0.01118,0
core_rf_5x5_20260825_170613,ohe,1,2,95,0.007789,0
core_rf_5x5_20260825_170613,ohe,1,3,95,0.005871,0
core_rf_5x5_20260825_170613,ohe,1,4,95,0.007691,0
core_rf_5x5_20260825_170613,ohe,1,5,95,0.006409,0
core_rf_5x5_20260825_170613,ohe,2,1,95,0.010174,0
core_rf_5x5_20260825_170613,ohe,2,2,95,0.006048,0
core_rf_5x5_20260825_170613,ohe,2,3,95,0.007478,0
core_rf_5x5_20260825_170613,ohe,2,4,95,0.007166,0
core_rf_5x5_20260825_170613,ohe,2,5,95,0.006893,0
core_rf_5x5_20260825_170613,ohe,3,1,95,0.007476,0
core_rf_5x5_20260825_170613,ohe,3,2,95,0.008717,0
core_rf_5x5_20260825_170613,ohe,3,3,95,0.007717,0
core_rf_5x5_20260825_170613,ohe,3,4,95,0.005943,0
core_rf_5x5_20260825_170613,ohe,3,5,95,0.006937,0
core_rf_5x5_20260825_170613,ohe,4,1,95,0.007043,0
core_rf_5x5_20260825_170613,ohe,4,2,95,0.006553,0
core_rf_5x5_20260825_170613,ohe,4,3,95,0.005423,0
core_rf_5x5_20260825_170613,ohe,4,4,95,0.005847,0
core_rf_5x5_20260825_170613,ohe,4,5,95,0.008001,0
core_rf_5x5_20260825_170613,ohe,5,1,95,0.007053,0
core_rf_5x5_20260825_170613,ohe,5,2,95,0.007938,0
core_rf_5x5_20260825_170613,ohe,5,3,95,0.005839,0
core_rf_5x5_20260825_170613,ohe,5,4,95,0.00751,0
core_rf_5x5_20260825_170613,ohe,5,5,95,0.005133,0
