,Average SHAP when zero,Average SHAP when one,ma_shap
heteroatoms bonded to a hydrogen atom and separated by two atoms from a methylene group,0.01789364310246517,-0.021349761719752686,0.035528115015781424
heteroatoms part a ring structure,-0.01795209977598664,0.253491165415499,0.034459168001389415
heteroatoms bonded to a hydrogen atom and separated by three atoms from a methylene group,-0.008876965508532505,0.004143880980247629,0.03246922687973585
"heteroatoms, each bonded to hydrogen, connected by a three-atom chain",-0.015704824019391866,0.09385119922735151,0.03201239513772656
methyl groups separated by four bonds from a methine group,0.002639635305175223,-0.02245921705975326,0.0316744531200678
"atoms bonded to three atoms, one which is a nitrogen",-0.015005687049540911,0.19040706180124503,0.030184188471494424
heteroatoms bonded to a methyl group,0.013445741875948264,-0.46250105180118195,0.027609752649402235
carbons bonded to both sulfur and oxygen in the same bond path,-0.012859290955438528,0.0,0.027415688247988255
nitrogen atoms,0.019367275323810232,-0.03789612935924045,0.02728486076756466
nitrogens bonded to three atoms,0.019314128632360244,-0.037720668765002435,0.027279188258693566
nitrogen atoms involved in double bonds,0.019229816728067277,-0.03801776382888497,0.027272605004300912
nitrogen atoms connected by non-aromatic bonds to two atoms,0.013048270864635227,0.0,0.027069493615554663
nitroxyl groups,0.019211692863229088,-0.03738468174150507,0.026948725962239364
chlorine atoms,-0.013112897807703538,0.23824508298793412,0.02678364268953665
six-membered rings,-0.009027694911966259,0.0358601050606457,0.02665451951926143
"heteroatoms, each bonded to hydrogen, connected by a two-atom chain",0.0013014723141392675,-0.011607557846871642,0.022121855464543663
atoms part a ring structure with three bonds connecting them,-0.0016686966342603089,0.0,0.021005919026583827
non-aromatic rings with C=C-C=O,0.009129596293139664,-0.17021757428306591,0.020055285252072976
pairs nitrogens that 3 atoms apart,-0.009337001213196621,0.7851881372296804,0.019667069697979406
carbonylperoxynitrate groups,0.0036292261869255186,-0.050404316346190484,0.019115581925680983
ester groups,0.004676707407199802,-0.0270008748079545,0.018530257040987468
"carbons bonded to another carbon, a nitrogen, and an oxygen atom in the structure",-0.008302208566417718,0.0,0.018072721042644353
alicyclic ether groups,0.007232578505299734,-0.13580171817847095,0.015817986625920478
three-membered rings,0.006881297676728716,-0.13339309897267881,0.015447095313396948
heteroatoms at a 2 bond distance from a ring,0.006639660584644531,-0.13308014712793537,0.015209433674230591
"atoms bonded with three bonds, one which is to a halogen",0.006092362659286787,-0.18574797295476148,0.014904647126119122
aromatic hydroxyl groups,-0.0056100866079529434,0.19884020897231694,0.013639605824579727
"heteroatoms, each bonded to hydrogen, separated by one atom",-0.005492527714609573,0.6495739524058024,0.012891098139358504
"methylene bridges connected to two atoms, one which is also bonded to a nitrogen atom",0.003839065889995403,-0.061957759572453024,0.012106455413987924
sulfur atoms double-bonded to any atom,-0.004497359417502314,0.5147506695791481,0.010988531573459873
double bonds between sulfur and oxygen,-0.0044496777559351304,0.5175212387804838,0.010987059652182342
sulfur atoms bonded to three atoms,0.0031509112780753394,-0.0785708847296114,0.008391334967936552
peroxide groups,0.003049817030719576,-0.07305660356799276,0.007986157092565156
seven-membered rings,0.002841311368284354,-0.06735164484215234,0.007623979023431189
"non-carbon, non-hydrogen atoms bonded to sulfur atoms",-0.0027265031647551886,0.45526474403074335,0.007607479193459278
nitro groups,0.0016294320636647249,-0.008948528306435184,0.007001705755704207
dioxyamine groups,0.001516150227574998,-0.014587888808780309,0.00683727522523752
single bonds between a nitrogen and carbon,0.0014031711203262957,-0.010343061992562758,0.006720465376786231
carbons bonded to a nitrogen and an oxygen atom,-0.0025193915507516033,0.2846683500236846,0.00671030014759985
sulfur atoms,-0.0018762871146122515,0.4752102655649969,0.005934509842305396
aliphatic carbons bonded to two heteroatoms,0.0019414182646715103,-0.1705019070906507,0.00571934319054414
nitrophenol groups,-0.001757549667247694,0.18237708270953765,0.005656795449186224
methylene groups attached to the same heteroatom,0.001622697760314736,-0.100313955504978,0.005287234008223708
rings with 8 to 14 members,0.000296324170136556,0.0,0.005083871468267548
methanetriols,-0.001806964721388693,0.49015317813719345,0.005003145653594572
aminoethylidene groups,0.0014582985084375002,-0.14410989163041488,0.004477033214489316
"sulfur atoms bonded to two non-carbon, non-hydrogen atoms",0.0008915730565637025,-0.23703919074239546,0.0037163410257811274
sulfur atoms bonded to two oxygen atoms,0.0008399197834618995,-0.2380149839776085,0.0035753690081256986
aromatic rings,0.00037952631919933015,-0.011227514886432503,0.002981835885242088
bromine atoms,-0.0005792159136015128,0.1870637789014066,0.002683717906848807
pairs nitrogens that 2 atoms apart,-0.0001123865398407483,0.05772924401871031,0.0018446073481875555
thioperoxide bonds (S-O),0.00024035174335033845,-0.2739300847327296,0.001701526183762949
peroxy nitrate groups,0.0001391460828801602,-0.13025794478254007,0.001053127466408441
"sets double-bonded carbons there, with one carbon bonded to two heteroatoms",0.0001742312717852344,-0.3566553370544979,0.000887285611149766
methylene groups directly bonded to a nitrogen atom,0.00010567926871410577,0.0,0.0007118863880883709
sulfur atoms bonded to three oxygens,-0.00010927415184827581,0.8324154477945556,0.000512563868398375
