,Average SHAP when zero,Average SHAP when one,ma_shap
atoms bonded with at least four bonds to other atoms,-0.3719691553271058,1.0672508163364998,0.7211035570114274
heteroatoms part a ring structure,0.374915666050176,-3.468395353747005,0.6976543674289916
sulfur-containing heterocycles,0.36321908179400053,-3.8773981209522588,0.6944076229890916
cyano groups,-0.33179799027863816,16.08277281371194,0.6696697958042404
oxygens separated by 3 atoms,0.05124088803022864,-0.9796189404866184,0.6399231218628968
nitrogen and oxygen atom pairs separated by exactly three atoms,0.32369375186709776,-2.0227020188824016,0.6357545598561102
"atoms bonded by three bonds, with one bond being connected to a sulfur atom",-0.3692858576887908,0.7012754474813193,0.6243616485513177
oxygens separated by one atom from an aliphatic carbon,0.04526177431361462,0.17106501109123776,0.61187478152617
atoms have a formal charge,-0.292606855843606,2.8292849733800454,0.5803530017636443
"methylene bridges connected to two atoms, one which is also bonded to a nitrogen atom",0.2996637710624341,-2.70300430931323,0.5776320025866488
pairs double-bonded carbons,0.3231148178931414,-1.8436429367779577,0.5770390353976685
carbon atoms bonded to two carbon atoms and one oxygen atom,-0.2122707269776307,0.16697272052992676,0.5643967333007739
pairs nitrogen and oxygen atoms separated by one atom,-0.19892924212544727,1.9888518200088805,0.5632805732904078
bonds connect two ring structures,-0.2739548124500388,0.0,0.5541979963737804
"heteroatoms, each bonded to hydrogen, connected by a three-atom chain",0.2667258942478564,-4.2421564264546845,0.5262547943232205
nitroxyl groups,0.2512089354461757,-6.850468690945578,0.5075675261993282
bonds where sulfur is connected to nitrogen via two bonds,0.24783450489941294,-12.770378232045612,0.5012634400763958
aromatic hydroxyl groups,0.2541913649253534,-3.010307986968877,0.4941552112925049
methyl groups separated by four bonds from a methine group,0.17401056551878488,-0.15332862747022125,0.477132911105529
nitrogens bonded to three carbons,-0.2326637982321786,6.877281387719322,0.47459349136047946
methylene groups directly bonded to a nitrogen atom,-0.23854204584327932,2.5678567723883723,0.47351013846525847
isobutylene groups,-0.2128347041084843,4.764991930940027,0.4263621134050347
methylene groups attached to the same heteroatom,-0.22506322162781664,0.9521880139612976,0.4171308005517588
nitrogen atoms in a ring bonded to atoms outside the ring,0.19388733436745326,0.0,0.40057831328168575
"pairs atoms connected via an aromatic bond, each connected to at least one other atom with a non-aromatic bond",0.1328570324670427,-0.3982276885240105,0.3924846157141293
heteroatoms bonded to a nitrogen atom,-0.19146959855762294,1.5348726120221088,0.38929780842939793
methyl groups bonded to the same atom with a single bond between them,0.1827027010854212,-0.4242035297451294,0.3843433491681914
oxygen atoms separated by exactly two bonds,0.06220257313158606,-0.5332860662233848,0.3615217599447008
carbons bonded to a nitrogen and an oxygen atom,0.12155874756248573,-0.7095978309621771,0.36067037234412147
carbon atoms bonded to a ring atom,0.12994505413164387,0.0,0.3532839424998239
rings contain more than one heteroatom,-0.05662300510143133,0.39968342778255783,0.3472555832991127
non-aromatic carbons in a ring,-0.052664017156615325,0.4016404219293878,0.34640568754325995
heteroatoms located five atoms away from a ring,0.0364777754223044,-0.050538889177720335,0.3412324826657068
dioxyamine groups,0.1608744491936105,-5.172160296622715,0.33050608762297884
nitro groups,0.1592550361864827,-5.160570675548684,0.32971567463777374
