run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_170314,ohe,1,1,115,0.005378,0
core_rf_5x5_20260825_170314,ohe,1,2,115,0.003914,0
core_rf_5x5_20260825_170314,ohe,1,3,115,0.003581,0
core_rf_5x5_20260825_170314,ohe,1,4,115,0.005459,0
core_rf_5x5_20260825_170314,ohe,1,5,115,0.003035,0
core_rf_5x5_20260825_170314,ohe,2,1,115,0.003432,0
core_rf_5x5_20260825_170314,ohe,2,2,115,0.00586,0
core_rf_5x5_20260825_170314,ohe,2,3,115,0.00344,0
core_rf_5x5_20260825_170314,ohe,2,4,115,0.002997,0
core_rf_5x5_20260825_170314,ohe,2,5,115,0.003037,0
core_rf_5x5_20260825_170314,ohe,3,1,115,0.004438,0
core_rf_5x5_20260825_170314,ohe,3,2,115,0.003705,0
core_rf_5x5_20260825_170314,ohe,3,3,115,0.004396,0
core_rf_5x5_20260825_170314,ohe,3,4,115,0.00306,0
core_rf_5x5_20260825_170314,ohe,3,5,115,0.003623,0
core_rf_5x5_20260825_170314,ohe,4,1,115,0.003629,0
core_rf_5x5_20260825_170314,ohe,4,2,115,0.00534,0
core_rf_5x5_20260825_170314,ohe,4,3,115,0.002862,0
core_rf_5x5_20260825_170314,ohe,4,4,115,0.005218,0
core_rf_5x5_20260825_170314,ohe,4,5,115,0.003741,0
core_rf_5x5_20260825_170314,ohe,5,1,115,0.005341,0
core_rf_5x5_20260825_170314,ohe,5,2,115,0.0049,0
core_rf_5x5_20260825_170314,ohe,5,3,115,0.003179,0
core_rf_5x5_20260825_170314,ohe,5,4,115,0.003119,0
core_rf_5x5_20260825_170314,ohe,5,5,115,0.003457,0
