,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.38947867935788233,0.2509775271409134,0.9284459048885098,0.5378704240946177,0.9005505241957504,0.46494934736511645,9.999999999999999e-05,0.001,-0.5190163385749111,38.18788711304767
1,1000,0.36731935952659617,0.2336930190980451,0.9406270246615851,0.4851939590677365,0.9153643704552564,0.3956911829090083,0.01,0.01,-0.47306474933369536,34.17127819243123
2,1500,0.3137772384790002,0.17906433438353164,0.9566595184209762,0.47713608282955844,0.9171528300452,0.387329719840365,0.001,0.01,-0.4540735804834893,35.862292555635946
3,2000,0.32679377718948677,0.19810861002042285,0.9529665502333073,0.445838235649635,0.9279653702191402,0.3367785886596639,0.001,0.01,-0.45496159641713446,32.24269578700054
4,2500,0.33732260941444675,0.21206157691642993,0.9502052782302269,0.43616651479847107,0.9290596371697759,0.3316626370628678,0.001,0.01,-0.4472598557377954,32.28465855564717
5,3000,0.3422208414031703,0.2175285340540952,0.9505258529919038,0.4211014012638274,0.9351336483195269,0.3032652272512365,0.001,0.01,-0.4319774987854264,31.023815899800905
