,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.14884745140567976,0.04120799763335745,0.9887676628388327,0.479266386929069,0.9015391441781623,0.46681997757567634,9.999999999999999e-05,0.001,-0.47481650930941666,7.563084753420002
1,1000,0.18883945041510014,0.07371876059605183,0.981561609513256,0.4196405517938645,0.9251029653774324,0.3550998184116647,9.999999999999999e-05,0.001,-0.43059997545048095,6.620863784217648
2,1500,0.20047432890333586,0.07861269403403931,0.9813587244918616,0.3787613820786119,0.9390871429473011,0.28879840954119124,9.999999999999999e-05,0.001,-0.3823239870601828,5.9939037203583485
3,2000,0.20952189215892578,0.08611483531383599,0.9798519861541645,0.35396835071720567,0.9446245411261334,0.26254464532094635,9.999999999999999e-05,0.001,-0.3528504657258309,5.619680986954084
4,2500,0.20919470652879246,0.08647987987238825,0.980155765937194,0.3237185092847878,0.952816971325962,0.22370291425683245,9.999999999999999e-05,0.001,-0.33489533921517356,5.153471918023382
5,3000,0.21239232518550125,0.08949444377545067,0.9791314611616142,0.3131528206322049,0.9553395256721529,0.2117430470233703,9.999999999999999e-05,0.001,-0.3237665918346817,5.0306307141047935
