,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.40884690832849446,0.28518644778283153,0.9615717141862723,0.801317766214749,0.825468642759854,1.2291950712163873,0.01,0.01,-0.8303975599268231,50.93534014349821
1,1000,0.4113696875294924,0.2959443015636566,0.9565498337767258,0.68843706677893,0.8686133320446507,0.9253342621523531,0.01,0.01,-0.6935222766804097,43.3312862897194
2,1500,0.21979600066615437,0.09829430103509423,0.9851551059895437,0.610305755679376,0.8824737090630395,0.8277179519052379,0.09999999999999999,0.09999999999999999,-0.6504304139472042,33.55845678178384
3,2000,0.2302384377996901,0.11097154289781638,0.9833378363899182,0.5852442880480965,0.8897683595785295,0.7763429520102394,0.09999999999999999,0.09999999999999999,-0.5955940931621793,28.539365048189786
4,2500,0.23246001320513338,0.11385666382575643,0.9827191993863748,0.5534871442684114,0.8983062666684748,0.7162119046190016,0.09999999999999999,0.09999999999999999,-0.55949785200586,28.31848575601691
5,3000,0.2713284436048366,0.15045763795938888,0.977351256900512,0.5325682405631583,0.9120094103865137,0.6197029621301915,0.001,0.01,-0.5342857308778022,28.75065937878022
