,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.30542330025111186,0.16608684614281158,0.9605313810980107,0.3568785191134607,0.948539931539065,0.2201915105786868,0.001,9.999999999999999e-05,-0.4029333707007372,5.64712387473028
1,1000,0.2332832613377741,0.09671811074804927,0.9775213676310904,0.32104640005300844,0.9557383668312871,0.18939026238367962,9.999999999999999e-05,9.999999999999999e-05,-0.31894787434164573,4.727815309095072
2,1500,0.17228626251151763,0.0555654742200432,0.9869080173132861,0.2803317532741579,0.9654857144424137,0.14768252162816864,0.001,0.001,-0.3034781501723138,4.099512700031269
3,2000,0.17594396074290564,0.05774720373707899,0.9863373560661352,0.27456093078494037,0.9663252259954546,0.14409035157202804,0.001,0.001,-0.2851681693686859,4.047959382622502
4,2500,0.18325249189468004,0.06701804407084802,0.984380000233626,0.2642433229427928,0.9689645943746938,0.13279680829119267,0.001,0.001,-0.28002890900916844,3.891400058510977
5,3000,0.18477090518331352,0.0676212425167686,0.9844676826904774,0.2509464747311058,0.9724473355697754,0.11789457307007603,0.001,0.001,-0.26815902892421944,3.700745365656719
