,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.2981373280113472,0.1619584194352023,0.9631729166044666,0.6213393154612702,0.8197345837772962,0.7601078660563784,0.01,0.01,-0.6197657214126913,9.469092948166875
1,1000,0.3166498763155381,0.18876277273807285,0.9579067882795863,0.5243457442571969,0.8846986127074993,0.48618028507458444,0.01,0.01,-0.5356852291021558,8.062280658689561
2,1500,0.33648159880631207,0.21403893395223764,0.9508737379773738,0.4790608238929961,0.9044677998649695,0.40282145242212775,0.01,0.01,-0.5117071028106912,7.372968408668466
3,2000,0.3342716525692843,0.21390606976470447,0.9516206680246442,0.4567362463286512,0.9137362349564915,0.3637401324067825,0.01,0.01,-0.4824558225404404,7.034602544976288
4,2500,0.33152261206383926,0.20839274383969877,0.9531073412231482,0.43814890964771663,0.9202112774642993,0.33643744259325925,0.01,0.01,-0.4526513113530677,6.729526563531343
5,3000,0.2253280035863269,0.1083215916155779,0.9751679945688952,0.4253272457318562,0.9230871295499273,0.3243111133299695,0.001,0.01,-0.43558834383891937,6.6539963006425475
