,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.14053114491993057,0.03560006272971468,0.9915378640591161,0.44841957992820486,0.9114616127463829,0.38426313331870043,0.01,0.01,-0.48298285493387744,30.72941542719378
1,1000,0.14794869562434632,0.037851981606205454,0.9913361055782293,0.37491616562820657,0.9337755288806362,0.2874190909058026,9.999999999999999e-05,0.001,-0.39165358083926727,33.76662721246928
2,1500,0.15662718951911175,0.042945351200729606,0.9900929637883367,0.3492988290768976,0.9431169829153793,0.24687649115344096,0.01,0.01,-0.35178064746274906,30.854911685464582
3,2000,0.06381567530809475,0.008230051398232335,0.998099083130598,0.3534996305067042,0.9416014291465715,0.2534541063323447,0.001,0.01,-0.3218577049155916,46.28347864352902
4,2500,0.16891191829480715,0.056917045076833664,0.9869604350051396,0.31327124605492584,0.9550720646853846,0.19499055418844563,0.01,0.01,-0.31561254057987165,30.836302990389118
5,3000,0.1712977260166982,0.05852552379857717,0.9868252748881795,0.2952126074477846,0.9595450271107684,0.1755775672331794,0.01,0.01,-0.29974219367152505,27.480695076971145
