,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.29541981323813943,0.1523054500834495,0.9658298603116685,0.5550875961693945,0.8715275209195925,0.5263631378763669,0.01,0.01,-0.6199063302688305,8.434274342047079
1,1000,0.3142715429310993,0.1800621397718329,0.9584957597594648,0.5018526723393356,0.8828896607297361,0.4798114436437519,0.01,0.01,-0.5295243618983639,7.4275399386510985
2,1500,0.3230073870618936,0.19420088216435863,0.9544092668865826,0.4488747225193131,0.9028983679515024,0.3978339960730014,0.01,0.01,-0.4867814812065081,6.693694021951554
3,2000,0.32633818672210213,0.1993048328613419,0.9548569965211081,0.42994263668869837,0.9124403408667945,0.3587396869947047,0.01,0.01,-0.46141547420177964,6.383879114791051
4,2500,0.3332019120293208,0.21205049817436925,0.9523530726547977,0.4137111196977082,0.9186869743956749,0.33314667556563954,0.01,0.01,-0.45285276608427905,6.2227639788525035
5,3000,0.2267265490905711,0.1088625797265201,0.9751390435060014,0.3864288221150581,0.9349034948378213,0.2667061534673455,0.001,0.01,-0.4361535108282042,5.897589397590917
