,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.19241616240575501,0.06462837316029879,0.9849124107132035,0.494533852745186,0.8696015815102478,0.5456169945685446,0.01,0.01,-0.5355807176043103,37.19896048478199
1,1000,0.203445324477565,0.07857510948942142,0.9828143286825353,0.42073605580938767,0.9026817075503089,0.4072021337215534,9.999999999999999e-05,0.001,-0.45295692531927123,32.95283034381487
2,1500,0.22117440392526866,0.09171892814033526,0.9798085356718383,0.37527900714391416,0.9266166842509977,0.30705268249546896,9.999999999999999e-05,0.001,-0.42267763422904314,28.9115405106473
3,2000,0.22824726541357812,0.0988499631104894,0.9778584951310506,0.3303571298857926,0.9484518804607246,0.2156891961146741,9.999999999999999e-05,0.001,-0.3874469643566044,28.643718823699913
4,2500,0.23317216957963538,0.10648655684836919,0.9759868791975068,0.31148505067817783,0.9549691242230419,0.1884195482489245,9.999999999999999e-05,0.001,-0.3744039078902075,26.730050892337808
5,3000,0.2349660720839553,0.10856201646421791,0.975681624130212,0.30661700259249347,0.9571156570892543,0.1794379607053808,9.999999999999999e-05,0.001,-0.35702198940882707,25.90467251136634
