,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.13535095976866796,0.03252126318147553,0.9922696948008127,0.4376427879351599,0.9115704384691896,0.3837908216522186,9.999999999999999e-05,0.001,-0.48653774675951167,31.791130778030602
1,1000,0.15570032610414727,0.04197565804955668,0.9903922422501101,0.37468136748928876,0.9336223116325602,0.28808406506729833,9.999999999999999e-05,0.001,-0.39370998617202074,32.14338307053475
2,1500,0.16602070368058047,0.047612437821386085,0.9890163164944841,0.3526379404536317,0.9395722735560068,0.2622607913128154,9.999999999999999e-05,0.001,-0.3536605998398251,32.978832471280775
3,2000,0.06997055441585917,0.00968955327433296,0.9977619780989333,0.35138503656039044,0.9405789560021123,0.257891715220551,0.001,0.01,-0.3192265301943838,45.91807524562838
4,2500,0.18297277680865373,0.06595932569369937,0.9848888691737402,0.31540675895389253,0.954547502591936,0.19726719237783777,9.999999999999999e-05,0.001,-0.31509100260508566,31.021035848619093
5,3000,0.1867901024983245,0.0692146827216202,0.984419030204709,0.2939044782138667,0.9604121760488293,0.17181407686104508,9.999999999999999e-05,0.001,-0.2999066802375152,29.082223335421325
