,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.2046662703647151,0.07202617046336325,0.9868225504464381,0.7008607136656273,0.871151855346666,0.8515104034969978,0.01,0.01,-0.6832574766118074,37.75748728051765
1,1000,0.2231892986325729,0.08903067506658861,0.9853352263513948,0.5909478316701356,0.8924209922015368,0.7109504338206687,9.999999999999999e-05,0.001,-0.5372467459106582,20.51557655520509
2,1500,0.24427858395343355,0.10504640877635969,0.9834459783152223,0.520541715950361,0.9268596375543008,0.4833579847472213,9.999999999999999e-05,0.001,-0.5107045365666174,21.779457007438303
3,2000,0.25339683785215505,0.11784330083849233,0.9817341999124046,0.4895777269975522,0.936593460745533,0.4190306967180874,0.01,0.01,-0.48448435298884024,20.110142641896466
4,2500,0.11997599074120008,0.035508608725577775,0.9945102055378131,0.4478593569768078,0.9419303392867117,0.3837612125338933,0.001,0.01,-0.4575166681652528,16.507339183199544
5,3000,0.13016544414411274,0.039921531913091605,0.994044812038711,0.43035381257523386,0.9481886008019863,0.3424026442564928,0.001,0.01,-0.4462792785231386,14.066048204423542
