,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.18815422439264695,0.0586053711114503,0.9876281153669789,0.5377235005470422,0.8795348449428002,0.5367917611254897,0.01,0.01,-0.5788404998437688,33.68087293355772
1,1000,0.20421894360886098,0.07685316666327333,0.9827237011732034,0.4618301935404166,0.9135290661263868,0.38531378520322074,0.01,0.01,-0.4772373549409358,33.81358844452429
2,1500,0.210095135510112,0.08354135928548306,0.980617465750698,0.4256101453745889,0.9238144444377533,0.3394822222506081,0.01,0.01,-0.42451661693938425,30.009842976909347
3,2000,0.21700810523283873,0.09149346894126006,0.9791175659624941,0.3996967162567258,0.9315802096737111,0.3048780348777733,9.999999999999999e-05,0.001,-0.37961859029943523,30.667606214466016
4,2500,0.21392739522992943,0.08936828782543675,0.9794664261805424,0.3851101908468888,0.9364444111231724,0.283203192378416,0.01,0.01,-0.3632683666229283,28.035509604195024
5,3000,0.21393768022537332,0.09025814351301065,0.9796123369880533,0.37199158321598247,0.9405965130393997,0.26470145966636427,0.01,0.01,-0.3449047390087892,25.71954431143976
