,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.5857877537913883,0.5747355303134312,0.9129797428927682,0.7573176483832261,0.8550006194504366,0.9644739803857593,9.999999999999999e-05,0.001,-0.7900377323394276,31.244462364295323
1,1000,0.43588025553062404,0.35517628030881404,0.9472817281218339,0.6878209648751604,0.8788925720693443,0.8055549108407043,0.001,0.01,-0.7242512804333592,25.337977204863165
2,1500,0.46476903743947623,0.3887206492656216,0.9407101891815662,0.6589540091294356,0.8910014117223117,0.7250120786321324,0.001,0.01,-0.6732072723031768,22.62229598839728
3,2000,0.4752361820799332,0.4107359740917599,0.9383463070371769,0.6231422558018361,0.9006841285608237,0.6606067796936606,0.001,0.01,-0.6616366302923462,21.79565448101683
4,2500,0.4883553041068302,0.43664826891128333,0.9355564579541347,0.6018645684097891,0.9058467784573316,0.6262670364744052,0.001,0.01,-0.640590375549371,19.636672400306907
5,3000,0.48788500564172865,0.4396188519483494,0.9343498253367193,0.5884096815180895,0.9093461987207063,0.6029903867558505,0.001,0.01,-0.6222302554034224,18.746880224418252
