,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.15583135224263958,0.042310033131623265,0.9899443411239641,0.4502318185151817,0.88763242037915,0.46470832725872113,0.01,0.01,-0.4652991438914401,6.9833498029406655
1,1000,0.17599770814006643,0.05921100399704693,0.9868931779109572,0.39369017349198465,0.9119604341672917,0.3640971845148698,0.01,0.01,-0.3949287393270525,6.115761928165995
2,1500,0.19033941125526,0.06756559040172097,0.984782187121621,0.3555209276911255,0.9323354542487792,0.27983407649136993,0.01,0.01,-0.381622463245198,5.590158802872755
3,2000,0.20040695890457574,0.07553703017285922,0.9826965513791034,0.3270764221981883,0.946413730184945,0.2216118376297936,9.999999999999999e-05,0.001,-0.3523364288257908,5.144035844068535
4,2500,0.20088608629601645,0.08066727831507932,0.9814223828329303,0.3053428382212695,0.9536102168923132,0.1918499854015541,0.01,0.01,-0.34063186324461625,4.855833609978532
5,3000,0.2072399195559604,0.08446610411464048,0.9806879435966578,0.3054894885743669,0.9553785827542733,0.1845367163566412,9.999999999999999e-05,0.001,-0.32616926950220415,4.744637524740434
