,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.008711033319559199,0.001191400396606608,0.9996752520938362,0.5335262629199888,0.8881295412952341,0.5303972282999068,0.001,0.001,-0.520202167441807,9.689722185496695
1,1000,0.05742515592959903,0.010437888314255097,0.9973892960348337,0.41245402890981403,0.9297501043657032,0.3330669272673804,0.01,0.001,-0.43362480374849055,7.358604429012458
2,1500,0.06108144430349535,0.012097051443714993,0.9971314496778246,0.3689190511801231,0.9402907096128562,0.28309209144009834,0.01,0.001,-0.3827906635934766,6.359544754339957
3,2000,0.06775246619654253,0.01592241531370252,0.9962746831828629,0.3291754724297479,0.9541166480020535,0.21754092194298855,0.01,0.001,-0.34663221513456516,5.6886473113961324
4,2500,0.06979224206160718,0.016526530317694917,0.9962077151777461,0.29401679311562606,0.9612592053169849,0.18367682013564093,0.01,0.001,-0.3137536990636777,5.0020470229423974
5,3000,0.07144912253776622,0.016418327170771223,0.9961715332955837,0.283483500313306,0.9631095798923234,0.17490387366309446,0.01,0.001,-0.30386424171427,4.807481028855588
