,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,500,0.26551544046480086,0.1201302024659843,0.9719554265856117,0.4051946477276769,0.9100062251334401,0.3765546663929015,0.01,0.001,-0.42602304453019785,33.34830332777962
1,1000,0.1795661895455537,0.059064956449791886,0.987081520668283,0.3301681201787583,0.9402945626923569,0.249821291089945,0.001,0.001,-0.3714204432255843,26.53870024019116
2,1500,0.19727633075732715,0.07085214613761995,0.9844022535989242,0.303034668901178,0.9514489615424346,0.20314871908113266,0.001,0.001,-0.3467878728149341,24.026891579261974
3,2000,0.20011793656214286,0.07384101262446034,0.9834602756631767,0.27671223774826803,0.9648101441889644,0.14724245576971143,0.001,0.001,-0.31510544436681964,22.883094270787865
4,2500,0.2021017413421194,0.07775841294780311,0.9824651841623111,0.2647304009440775,0.9677767269489423,0.1348295907335822,0.001,0.001,-0.301456467707282,21.972199552187544
5,3000,0.2057721587141264,0.08068506972367324,0.9819261845300464,0.2527723967607779,0.9708286409516377,0.12205968013866836,0.001,0.001,-0.2945257364440595,21.934312651810043
