CAS,dvap,num,External,VOC,SMILES,Key,Family,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9
372-38-3,33.9,1,NO,NO,C1=C(C=C(C=C1F)F)F,JXUKFFRPLNTYIV-UHFFFAOYSA-N,Benzenoids,3.16567031,169.0651777,6.853371151,4.365944227,4.365944227,4.18154055,2.298997517,2.298997517,1.587666373,1.587666373,0.827326835,0.827326835,0.520178761,0.520178761,17.45166252,13.17124514,0,0,18.19910121,0,0,0,0,0,0,-0.99,9,129.06,6.134843945,2.088778189,1.451505988,11.94833333,0.206787031,11.94833333,0.128536326,0.614166667,0.128536326,-0.895833333,-0.206787031,2.1039,26.316,132.084,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,48,0,17.45166252,0,0,0,0,0,13.17124514,0,0,0,0,18.19910121,0,13.17124514,0,0,0,0,0,0,35.65076373,0,0,0,13.17124514,0,0,0,0,17.45166252,0,18.19910121,0,0,0,0,35.845,0,0,0,0,-2.6875,1.8425,0,0,0
1459-10-5,99.6,1,NO,NO,CCCCCCCCCCCCCCC1=CC=CC=C1,JZALLXAUNPOCEU-UHFFFAOYSA-N,Benzenoids,1.766595234,288.166437,14.30527233,13.5791395,13.5791395,9.931851653,8.971343774,8.971343774,6.124685856,6.124685856,4.161829883,4.161829883,2.814791641,2.814791641,0,0,0,0,0,0,89.03413259,0,0,37.25557254,0,-0.78,20,240.22,17.27202914,13.21454957,10.06106808,2.289479401,0.065382383,2.289479401,-0.027887228,1.262171202,0.027887228,1.262171202,-0.065382383,6.9302,91.224,274.492,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0,0,114,0,0,0,0,0,0,0,0,0,0,107.8846104,18.40509474,0,0,0,0,0,0,0,90.3944183,0,35.89528683,0,0,0,0,0,0,0,6.420821623,0,89.53704817,30.33183534,0,0,0,0,0,0,0,0,1.499610418,0,10.89734759,18.48022925,2.289479401,0
403-54-3,51.7,2,NO,NO,C1=CC(=CC(=C1)F)C#N,JZTPKAROPNTQQV-UHFFFAOYSA-N,Benzenoids,3.119201792,249.338218,6.690234444,4.634579145,4.634579145,4.325698503,2.483956239,2.483956239,1.622150747,1.622150747,0.953716959,0.953716959,0.558026975,0.558026975,0,4.390415048,0,5.817220841,5.563451492,0,18.19910121,6.066367068,6.069221313,0,5.261891555,-1.36,9,117.082,5.770890052,2.272857561,1.262759907,12.20305556,0.206963615,12.20305556,0.12402545,0.356481481,0.12402545,-0.36662037,-0.206963615,1.69738,31.115,121.114,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,44,0,5.817220841,0,0,0,0,0,4.390415048,5.261891555,0,6.066367068,18.19910121,0,11.6326728,4.390415048,0,5.261891555,0,0,0,0,35.64614061,0,6.069221313,0,4.390415048,0,0,0,0,17.14833371,5.563451492,24.26546827,0,0,0,23.79,12.20305556,0,0,8.24537037,0.356481481,-0.36662037,7.395046296,0,0,0
2381-21-7,92.3,1,NO,NO,CC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,KBSPJIWZDWBDGM-UHFFFAOYSA-N,Benzenoids,2.483254905,824.4948037,11.40541292,9.696152423,9.696152423,8.343336593,5.976067743,5.976067743,4.738496663,4.738496663,3.746669681,3.746669681,2.881142866,2.881142866,0,0,0,0,0,0,37.88079678,0,0,61.52104082,0,-2.08,17,204.187,9.002669005,2.980804098,1.073673711,2.249444444,0.061032586,2.249444444,-0.002414296,1.339074074,0.002414296,1.339074074,-0.061032586,4.89242,74.883,216.283,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,54.59730362,44.80453398,0,0,0,32.31734529,0,0,0,6.9237372,0,60.16075511,0,0,0,0,0,0,0,0,6.9237372,5.563451492,54.59730362,0,32.31734529,0,0,0,0,0,8.227685185,1.35717876,0,19.89541383,0,2.186388889,0
530-93-8,73,1,NO,NO,C1CC2=CC=CC=C2CC1=O,KCKZIWSINLBROE-UHFFFAOYSA-N,Benzenoids,2.414131025,288.6791808,7.681798276,6.338969711,6.338969711,5.360173345,3.945687977,3.945687977,2.984162158,2.984162158,2.179183146,2.179183146,1.548738518,1.548738518,0,4.794537184,0,0,12.20406657,12.84164325,11.12690298,0,18.19910121,6.066367068,0,-1.11,11,136.109,6.590889857,2.496125241,1.182704608,11.02579082,0.299329419,11.02579082,0.137107985,0.378425926,0.137107985,0.378425926,-0.299329419,1.7444,43.474,146.189,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,56,0,5.783244946,0,0,0,0,4.794537184,0,0,0,24.26546827,17.54772461,12.84164325,0,4.794537184,5.783244946,0,0,0,19.26246487,0,35.39237126,0,0,0,0,0,0,5.783244946,17.63618043,0,17.54772461,24.26546827,0,0,0,17.07,0,0,11.02579082,0,2.579490741,0.378425926,8.194672147,2.32162037,0,0
585-32-0,56.7,1,NO,NO,CC(C)(C1=CC=CC=C1)N,KDFDOINBXBEOLZ-UHFFFAOYSA-N,Benzenoids,2.966043179,195.718293,7.612884175,6.464101615,6.464101615,4.605171716,3.449358737,3.449358737,3.08771324,3.08771324,1.517806004,1.517806004,0.867711231,0.867711231,0,0,0,5.538925252,0,0,5.563451492,0,44.17930974,0,5.733667477,-0.82,10,122.106,7.288932462,2.427567819,1.578594458,5.856759259,0.321853041,5.856759259,0.035193011,0.207083333,0.035193011,-0.207083333,-0.321853041,1.8804,43.6554,135.21,2,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,54,5.733667477,0,0,0,0,0,0,0,0,0,30.33183534,19.41092589,5.538925252,0,0,0,0,0,5.733667477,19.38639965,0,35.89528683,0,0,5.733667477,0,0,0,0,5.538925252,0,19.41092589,30.33183534,0,0,0,26.02,0,0,0,0,6.825601852,0,10.08643519,0,4.00462963,0
447-53-0,53.4,2,NO,NO,C1CC2=CC=CC=C2C=C1,KEIFWROAQVVDBN-UHFFFAOYSA-N,Benzenoids,2.538110538,258.4957498,6.811554788,5.878315178,5.878315178,4.966326495,3.711160418,3.711160418,2.639857784,2.639857784,1.932846164,1.932846164,1.3735965,1.3735965,0,0,0,0,0,0,23.96854623,0,0,36.41750849,0,-1.04,10,120.11,5.722890921,2.295733882,0.859508277,2.238425926,0.083601682,2.238425926,-0.022759637,1.20537037,0.022759637,1.20537037,-0.083601682,2.646,43.797,130.19,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,36.41750849,23.96854623,0,0,0,6.076020107,0,0,0,12.84164325,0,41.46839136,0,0,0,0,0,0,0,6.420821623,0,17.54772461,30.34148838,0,6.076020107,0,0,0,0,0,0,2.887731481,0,8.579675926,6.865925926,0,0
344-07-0,41.3,1,NO,NO,C1(=C(C(=C(C(=C1F)F)Cl)F)F)F,KGCDGLXSBHJAHZ-UHFFFAOYSA-N,Benzenoids,3.603567451,230.2032248,9.464101615,5.267786838,6.023715784,5.464101615,2.633893419,3.011857892,1.883893419,2.261857892,1.156232424,1.488071803,0.578116212,0.744035902,34.10873752,21.95207524,0,0,0,0,0,0,0,0,11.60093989,-0.84,12,202.509,9.249605735,2.895010134,1.137100056,12.2787963,0.201861969,12.2787963,0.200135357,1.396851852,0.200135357,-2.213518519,-0.201861969,3.0355,31.242,202.509,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,66,0,5.022633314,23.26888336,5.817220841,0,0,0,21.95207524,0,0,11.60093989,0,0,0,21.95207524,11.60093989,0,0,0,0,0,34.10873752,0,0,0,21.95207524,0,11.60093989,0,0,29.08610421,0,0,5.022633314,0,0,0,61.08395062,4.763518519,0,-1.396851852,0,-10.33950617,0,0,0,0
445-28-3,73.6,1,NO,NO,C1=CC=C(C(=C1)C(=O)N)F,KGGHWIKBOIQEAJ-UHFFFAOYSA-N,Benzenoids,3.152941447,259.5379489,7.560477932,5.172964109,5.172964109,4.715214055,2.759131786,2.759131786,1.844097048,1.844097048,1.139316147,1.139316147,0.661034895,0.661034895,11.72440057,9.184952232,0,5.563451492,0,0,18.19910121,6.066367068,0,0,5.733667477,-1.38,10,133.081,6.736009281,2.473196904,1.127136219,12.53953704,0.365507799,12.53953704,0.251171576,0.06712963,0.251171576,-0.73787037,-0.365507799,0.9246,34.9179,139.129,2,2,0,0,0,1,0,1,1,1,3,0,1,0,0,0,52,5.733667477,5.817220841,0,0,5.907179729,0,4.794537184,4.390415048,0,0,12.13273414,12.13273414,0,5.563451492,9.184952232,5.907179729,0,0,5.733667477,0,0,35.64614061,0,0,5.733667477,4.390415048,0,0,5.907179729,0,5.817220841,10.35798868,24.26546827,0,0,0,43.09,12.53953704,0,10.40398148,0,4.768518519,-1.311944444,5.599907407,0,0,0
121107-65-1,103.8,1,NO,NO,CC1=CC(=C(C=C1Cl)Cl)CC2=CC(=C(C=C2)Cl)Cl,KIGMDBNXQJATJR-UHFFFAOYSA-N,Benzenoids,2.33546013,590.5881299,13.28409257,9.605716019,12.6294318,8.469234251,5.355770137,6.867628029,4.11803932,5.746839827,2.706252112,4.204330029,1.722003653,2.492682458,0,0,0,0,26.51135488,16.69035448,0,12.13273414,25.12283841,0,46.40375956,-0.4,18,309.966,14.0185455,5.709446549,3.128924687,6.178958176,0.083997022,6.178958176,0.059466373,0.551828319,0.059466373,0.551828319,-0.083997022,6.19942,80.467,320.046,0,0,0,0,0,2,0,2,0,0,4,0,2,0,0,0,94,0,0,0,0,0,0,0,0,0,0,58.5364937,48.2340145,10.04526663,10.04526663,0,46.40375956,0,0,0,13.34455882,0,67.11272307,0,0,0,0,0,46.40375956,0,6.420821623,6.9237372,16.69035448,30.33183534,20.09053325,0,0,0,0,24.06662992,0,2.448459117,3.09824571,0,9.340302938,0.702114198,1.955359225,0
