CAS,dvap,num,External,VOC,SMILES,Key,Family,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9
872-05-9,50.5,2,YES,YES,CCCCCCCCC=C,AFFLGGQVNFXPEV-UHFFFAOYSA-N,Hydrocarbons,2.703789901,64.4385619,7.656854249,7.234204519,7.234204519,4.914213562,4.523603362,4.523603362,2.845117222,2.845117222,1.761801681,1.761801681,1.06900522,1.06900522,0,0,0,0,0,0,44.94575136,0,6.076020107,13.50267288,0,-0.26,10,120.11,9.74,8.74,7.74,3.694651597,0.103082979,3.694651597,-0.035341293,1.200520833,0.035341293,1.200520833,-0.103082979,3.923,48.19,140.27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,60,0,0,0,0,0,0,0,0,0,6.578935684,45.10386542,12.84164325,0,0,0,0,0,0,0,51.86948856,0,12.65495579,0,0,0,0,0,0,0,0,0,51.86948856,12.65495579,0,0,0,0,0,0,0,0,0,0,0,11.55163738,5.948362623,0
16747-26-5,40.7,1,YES,YES,CCC(C)CC(C)(C)C,AFTPEBDOGXRMNQ-UHFFFAOYSA-N,Hydrocarbons,3.467261091,66.59772061,7.491563832,7.491563832,7.491563832,3.954507022,3.954507022,3.954507022,4.278204323,4.278204323,1.657757573,1.657757573,1.189722705,1.189722705,0,0,0,0,5.414990469,5.917906046,12.84164325,0,0,34.618686,0,0,9,108.099,9,3.239669421,5.87755102,2.324652778,0.065127954,2.324652778,-0.038008284,0.523240741,0.038008284,0.523240741,-0.065127954,3.4687,43.527,128.259,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,0,0,41.03950762,17.75371814,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0.523240741,0.893518519,0,2.667430556,11.49914352,0
111-84-2,46.5,6,YES,YES,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,Hydrocarbons,2.595082707,33.30296891,6.949747468,6.949747468,6.949747468,4.414213562,4.414213562,4.414213562,2.767766953,2.767766953,1.707106781,1.707106781,1.030330086,1.030330086,0,0,0,0,0,0,44.94575136,0,0,13.8474744,0,0,9,108.099,9,8,8,2.263711026,0.065382383,2.263711026,-0.053306317,1.3671875,0.053306317,1.3671875,-0.065382383,3.7569,43.667,128.259,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,56,0,0,0,0,0,0,0,0,0,0,58.79322576,0,0,0,0,0,0,0,0,58.79322576,0,0,0,0,0,0,0,0,0,0,0,58.79322576,0,0,0,0,0,0,0,0,0,0,0,0,9.972577948,4.527422052,0
124-18-5,51.6,11,YES,YES,CCCCCCCCCC,DIOQZVSQGTUSAI-UHFFFAOYSA-N,Hydrocarbons,2.647604849,40,7.656854249,7.656854249,7.656854249,4.914213562,4.914213562,4.914213562,3.121320344,3.121320344,1.957106781,1.957106781,1.207106781,1.207106781,0,0,0,0,0,0,51.36657298,0,0,13.8474744,0,0,10,120.11,10,9,8,2.269883866,0.065382383,2.269883866,-0.053306146,1.36882716,0.053306146,1.36882716,-0.065382383,4.147,48.284,142.286,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,62,0,0,0,0,0,0,0,0,0,0,65.21404738,0,0,0,0,0,0,0,0,65.21404738,0,0,0,0,0,0,0,0,0,0,0,65.21404738,0,0,0,0,0,0,0,0,0,0,0,0,11.46023227,4.539767731,0
3522-94-9,40.2,2,YES,YES,CC(C)CCC(C)(C)C,HHOSMYBYIHNXNO-UHFFFAOYSA-N,Hydrocarbons,3.28071084,64.59772061,7.491563832,7.491563832,7.491563832,3.916502219,3.916502219,3.916502219,4.493182156,4.493182156,1.471687836,1.471687836,0.721687836,0.721687836,0,0,0,0,5.414990469,5.917906046,12.84164325,0,0,34.618686,0,0,9,108.099,9,3.239669421,8,2.300972222,0.062773265,2.300972222,-0.038251338,0.532013889,0.038251338,0.532013889,-0.062773265,3.4687,43.527,128.259,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,0,0,41.03950762,17.75371814,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0.532013889,0.865023148,0,2.716435185,11.46986111,0
124-11-8,45.1,2,YES,YES,CCCCCCCC=C,JRZJOMJEPLMPRA-UHFFFAOYSA-N,Hydrocarbons,2.663883887,55.05865003,6.949747468,6.527097737,6.527097737,4.414213562,4.023603362,4.023603362,2.491563832,2.491563832,1.511801681,1.511801681,0.892228525,0.892228525,0,0,0,0,0,0,38.52492974,0,6.076020107,13.50267288,0,-0.26,9,108.099,8.74,7.74,7.74,3.678478757,0.103082979,3.678478757,-0.035341293,1.198129252,0.035341293,1.198129252,-0.103082979,3.5329,43.573,126.243,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,54,0,0,0,0,0,0,0,0,0,6.578935684,38.6830438,12.84164325,0,0,0,0,0,0,0,45.44866694,0,12.65495579,0,0,0,0,0,0,0,0,0,45.44866694,12.65495579,0,0,0,0,0,0,0,0,0,0,0,10.0779684,5.922031604,0
107-40-4,39.3,1,YES,YES,CC(=CC(C)(C)C)C,LAAVYEUJEMRIGF-UHFFFAOYSA-N,Hydrocarbons,3.886007122,87.09616281,6.78445705,6.577350269,6.577350269,3.416502219,3.077350269,3.077350269,3.58771324,3.58771324,0.721687836,0.721687836,0.866025404,0.866025404,0,0,0,0,5.414990469,0,5.57310453,0,0,40.69470611,0,-0.26,8,96.088,7.74,2.340807863,5.74,2.270833333,0.080487514,2.270833333,-0.020070233,0.359953704,0.020070233,0.359953704,-0.080487514,2.9987,38.886,112.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,32.42033624,19.26246487,0,0,0,0,0,0,5.414990469,34.618686,0,11.64912464,0,0,0,0,0,0,0,0,5.414990469,34.618686,11.64912464,0,0,0,0,0,0,0,0,1.760416667,0,0,2.270833333,10.88541667,0
112-40-3,61.1,12,YES,YES,CCCCCCCCCCCC,SNRUBQQJIBEYMU-UHFFFAOYSA-N,Hydrocarbons,2.727242813,56.4385619,9.071067812,9.071067812,9.071067812,5.914213562,5.914213562,5.914213562,3.828427125,3.828427125,2.457106781,2.457106781,1.560660172,1.560660172,0,0,0,0,0,0,64.20821623,0,0,13.8474744,0,0,12,144.132,12,11,10,2.279016097,0.065382383,2.279016097,-0.053305974,1.370867769,0.053305974,1.370867769,-0.065382383,4.9272,57.518,170.34,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,74,0,0,0,0,0,0,0,0,0,0,78.05569063,0,0,0,0,0,0,0,0,78.05569063,0,0,0,0,0,0,0,0,0,0,0,78.05569063,0,0,0,0,0,0,0,0,0,0,0,0,14.44196781,4.558032194,0
110-81-6,45.2,5,NO,YES,CCSSCC,CETBSQOFQKLHHZ-UHFFFAOYSA-N,Organosulfur compounds,2.339092315,17.509775,4.828427125,4.230710143,5.863703305,2.914213562,2.158230498,4.64626437,0.81305253,3.853371151,0.319035594,2.871320344,0.166666667,1.5,0,0,0,0,0,0,11.50570721,0,21.58779595,13.8474744,0,0.7,6,112.178,6.7,5.7,4.7,2.173935185,0.094458912,2.173935185,0.000844287,1.23462963,0.000844287,1.23462963,-0.094458912,2.4076,36.264,122.258,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,35.43527035,0,11.50570721,0,0,21.58779595,0,0,0,13.8474744,11.50570721,0,0,0,0,0,0,21.58779595,11.50570721,0,0,13.8474744,0,0,0,0,0,0,0,0,0,0,2.469259259,0,0,4.34787037,3.849537037
75-08-1,27.3,1,NO,YES,CCS,DNJIEGIFACGWOD-UHFFFAOYSA-N,Organosulfur compounds,1.632993162,2.754887502,2.707106781,2.154320377,3.048747568,1.414213562,1.023334547,1.655790079,0.316227766,0.948683298,0,0,0,0,0,0,0,0,0,5.752853607,0,0,6.9237372,12.62878915,0,0.35,3,56.089,3.35,2.35,2.35,3.788580247,0.17965217,3.788580247,-0.012640479,0.944444444,0.012640479,0.944444444,-0.17965217,0.9361,19.527,62.137,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,12.62878915,0,6.9237372,5.752853607,0,0,0,12.62878915,0,0,0,6.9237372,5.752853607,0,0,0,0,0,0,12.62878915,5.752853607,0,0,6.9237372,0,0,0,0,0,0,3.788580247,0,0,0,0.944444444,0,0,1.989197531,0
74-93-1,23.8,1,NO,YES,CS,LSDPWZHWYPCBBB-UHFFFAOYSA-N,Organosulfur compounds,1,2,2,1.447213595,2.341640786,1,0.447213595,1.341640786,0,0,0,0,0,0,0,0,0,0,0,0,0,6.255769184,0,12.62878915,0,0.35,2,44.078,2.35,1.35,1.207142857,3.527777778,0.182803759,3.527777778,-0.021450825,1.694444444,0.021450825,1.694444444,-0.182803759,0.546,14.91,48.11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,12.62878915,0,0,6.255769184,0,0,0,12.62878915,0,0,0,0,6.255769184,0,0,0,0,0,0,12.62878915,6.255769184,0,0,0,0,0,0,0,0,0,3.527777778,0,0,0,0,0,1.694444444,0,0
75-18-3,27.7,3,NO,YES,CSC,QMMFVYPAHWMCMS-UHFFFAOYSA-N,Organosulfur compounds,1.632993162,2.754887502,2.707106781,2.40824829,3.224744871,1.414213562,0.816496581,2.449489743,0.40824829,1.224744871,0,0,0,0,0,0,0,0,0,0,0,11.76188495,12.51153837,0,0,0.35,3,56.089,3.35,2.35,2.35,2.041666667,0.168861688,2.041666667,-0.018678212,1.75,0.018678212,1.75,-0.168861688,0.9792,19.439,62.137,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11.76188495,0,0,12.51153837,0,0,0,11.76188495,0,0,0,0,12.51153837,0,0,0,0,0,0,11.76188495,12.51153837,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,4.083333333,0,0
109-79-5,36.5,1,NO,YES,CCCCS,WQAQPCDUOCURKW-UHFFFAOYSA-N,Organosulfur compounds,2.190609687,11.11941548,4.121320344,3.568533939,4.46296113,2.414213562,2.023334547,2.655790079,1.077160188,1.524373784,0.511667274,0.82789504,0.158113883,0.474341649,0,0,0,0,0,5.752853607,12.84164325,0,0,19.55252635,0,0.35,5,80.111,5.35,4.35,4.35,4.00066358,0.179364079,4.00066358,-0.00980149,1.038194444,0.00980149,1.038194444,-0.179364079,1.7163,28.761,90.191,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,32,0,0,0,0,0,0,0,0,12.62878915,0,13.34455882,12.17367523,0,0,0,12.62878915,0,0,0,19.76538045,5.752853607,0,0,0,0,0,0,12.62878915,5.752853607,0,0,19.76538045,0,0,0,0,0,0,4.00066358,0,0,0,1.038194444,0,2.520447531,2.162916667,0
624-92-0,38.1,4,NO,YES,CSSC,WQOXQRCZOLPYPM-UHFFFAOYSA-N,Organosulfur compounds,1.974744871,6,3.414213562,2.816496581,4.449489743,1.914213562,0.983163248,3.949489743,0.333333333,3,0.166666667,1.5,0,0,0,0,0,0,0,0,0,21.58779595,0,12.51153837,0,0.7,4,88.156,4.7,3.7,2.7,2.060185185,0.097881834,2.060185185,-0.007925326,1.773148148,0.007925326,1.773148148,-0.097881834,1.6274,27.03,94.204,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,21.58779595,12.51153837,0,0,0,21.58779595,0,0,0,0,12.51153837,0,0,0,0,0,0,21.58779595,12.51153837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12037037,0,3.546296296
110-66-7,41.1,1,NO,YES,CCCCCS,ZRKMQKLGEQPLNS-UHFFFAOYSA-N,Organosulfur compounds,2.339092315,15.90013453,4.828427125,4.27564072,5.170067911,2.914213562,2.523334547,3.155790079,1.430713579,1.877927174,0.761667274,1.07789504,0.361803399,0.585410197,0,0,0,0,0,5.752853607,19.26246487,0,0,19.55252635,0,0.35,6,92.122,6.35,5.35,4.35,4.054614198,0.179363902,4.054614198,-0.009791582,1.049444444,0.009791582,1.049444444,-0.179363902,2.1064,33.378,104.218,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,38,0,0,0,0,0,0,0,0,12.62878915,0,19.76538045,12.17367523,0,0,0,12.62878915,0,0,0,26.18620207,5.752853607,0,0,0,0,0,0,12.62878915,5.752853607,0,0,26.18620207,0,0,0,0,0,0,4.054614198,0,0,0,1.049444444,0,3.920308642,2.197854938,0
120-94-5,35.4,2,NO,YES,CN1CCCC1,AVFZOVWCLRSYKC-UHFFFAOYSA-N,Organoheterocyclic compounds,2.18410557,37.20310344,4.405777394,4.27564072,4.27564072,2.89384685,2.579669128,2.579669128,2.010382706,2.010382706,1.329669128,1.329669128,0.87524476,0.87524476,0,0,0,0,0,0,25.93115606,0,0,11.94758171,0,-0.04,6,74.062,4.127785235,1.605659929,0.716242568,2.361111111,0.30636681,2.361111111,-0.002131411,1.319444444,0.002131411,1.319444444,-0.30636681,0.712,26.731,85.15,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,36,4.899909731,0,0,0,0,0,0,0,0,0,0,32.97882804,0,0,0,0,0,4.899909731,0,12.84164325,20.13718479,0,0,0,0,0,0,0,25.03709453,0,0,12.84164325,0,0,0,0,3.24,0,0,2.361111111,0,0,0,0,2.826388889,2.638888889,2.173611111
75-56-9,27.9,1,NO,YES,CC1CO1,GOOHAUXETOMSMM-UHFFFAOYSA-N,Organoheterocyclic compounds,2.171098318,22.46439345,2.991563832,2.692705341,2.692705341,1.89384685,1.509975955,1.509975955,1.143950551,1.143950551,0.5,0.5,0.096225045,0.096225045,0,0,0,0,6.103966388,6.606881965,0,0,0,6.9237372,4.736862954,-0.04,4,52.032,2.212525253,0.462211238,0.206165084,4.708333333,0.373431608,4.708333333,0.078142401,0.583333333,0.078142401,0.583333333,-0.373431608,0.4051,15.414,58.08,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,24,4.736862954,0,0,0,0,0,0,0,0,0,0,6.9237372,0,12.71084835,4.736862954,0,0,0,0,13.02770359,6.606881965,0,0,0,0,0,0,0,12.71084835,4.736862954,0,6.9237372,0,0,0,0,12.53,4.708333333,0,0,0,0,0,0,0.583333333,3.041666667,0
75-21-8,25.9,1,NO,YES,C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,Organoheterocyclic compounds,2.25,7.509775004,2.121320344,1.822461853,1.822461853,1.5,1.077350269,1.077350269,0.612372436,0.612372436,0.204124145,0.204124145,0,0,0,0,0,0,0,13.21376393,0,0,0,4.736862954,0,-0.04,3,40.021,1.297837838,0.206165084,0.003402778,4.5,0.376667636,4.5,0.070114395,1,0.070114395,1,-0.376667636,0.0166,10.819,44.053,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,18,4.736862954,0,0,0,0,0,0,0,0,0,0,0,0,13.21376393,4.736862954,0,0,0,0,0,13.21376393,0,0,0,0,0,0,0,13.21376393,4.736862954,0,0,0,0,0,0,12.53,4.5,0,0,0,0,0,0,0,2,0
110-86-1,40.6,6,NO,YES,C1=CC=NC=C1,JUJWROOIHBZHMG-UHFFFAOYSA-N,Organoheterocyclic compounds,3,75.86113959,4.242640687,3.333964941,3.333964941,3,1.849731113,1.849731113,1.024563865,1.024563865,0.566487409,0.566487409,0.312602027,0.312602027,0,0,0,0,0,0,0,12.39368714,18.19910121,4.983978521,0,-0.85,6,74.062,3.344174757,1.552582713,0.549000848,3.784722222,0.264736971,3.784722222,0.026728768,1.75,0.026728768,1.75,-0.264736971,1.0816,24.237,79.102,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,30,0,0,0,0,0,0,4.983978521,0,0,0,6.066367068,12.13273414,12.39368714,0,0,0,0,4.983978521,0,0,0,30.59278835,0,0,0,0,0,0,4.983978521,0,0,0,30.59278835,0,0,0,12.89,0,0,3.784722222,0,0,0,5.715277778,3.5,0,0
4861-58-9,52,1,NO,YES,CCCCCC1=CC=CS1,NOYVOSGVFSEKPR-UHFFFAOYSA-N,Organoheterocyclic compounds,2.153025852,153.2460118,7.234204519,6.468726223,7.285222804,4.931851653,3.955828379,4.83548119,2.536470274,3.568715456,1.6068308,2.543004742,1.004062209,1.755313052,0,0,0,0,0,0,30.56043369,0,11.33678588,24.43653411,0,-0.3,10,140.166,7.803092784,4.505397851,2.525042005,2.244466175,0.148942439,2.244466175,0.004516958,1.283240741,0.004516958,1.283240741,-0.148942439,3.4808,47.548,154.278,0,0,0,0,0,0,1,1,1,0,1,0,4,0,0,0,56,0,0,0,0,0,0,0,0,0,11.33678588,25.83174751,24.28807308,4.877147194,0,0,11.33678588,0,0,0,32.60702369,0,22.3899441,0,0,0,0,0,11.33678588,0,6.420821623,0,31.06334926,17.51279691,0,0,0,0,0,1.873357899,1.535601852,2.154046674,0,0,4.353444822,5.339082577,2.244466175,0
123-91-1,38.3,2,NO,YES,C1COCCO1,RYHBNJHYFVUHQT-UHFFFAOYSA-N,Organoheterocyclic compounds,2,21.01955001,4.242640687,3.644923706,3.644923706,3,2.154700538,2.154700538,1.224744871,1.224744871,0.744016936,0.744016936,0.439826406,0.439826406,0,0,0,0,0,26.42752786,0,0,0,0,9.473725908,-0.08,6,80.042,4.088918919,2.157216947,0.953692476,4.944444444,0.376667636,4.944444444,0.070114395,0.777777778,0.070114395,0.777777778,-0.376667636,0.0332,21.638,88.106,0,2,0,1,1,0,0,0,2,0,2,0,0,0,1,1,36,9.473725908,0,0,0,0,0,0,0,0,0,0,0,0,26.42752786,9.473725908,0,0,0,0,0,26.42752786,0,0,0,0,0,0,0,26.42752786,9.473725908,0,0,0,0,0,0,18.46,9.888888889,0,0,0,0,0,0,0,3.111111111,0
872-50-4,61.9,1,NO,YES,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,Organoheterocyclic compounds,2.478438739,90.080944,5.276020882,4.47678223,4.47678223,3.304530453,2.544725695,2.544725695,1.918847178,1.918847178,1.309920344,1.309920344,0.78301432,0.78301432,0,4.794537184,0,0,5.907179729,19.38639965,0,4.899909731,7.047671983,0,0,-0.53,7,90.061,4.624559505,1.523475772,0.734423082,10.5,0.345748915,10.5,0.221873564,0.291666667,0.221873564,0.291666667,-0.345748915,0.2386,26.871,99.133,0,2,0,1,1,0,0,0,1,0,2,0,0,0,1,1,40,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,0,6.420821623,20.01325001,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,13.59242839,0,0,0,0,0,0,0,24.39951785,4.794537184,0,12.84164325,0,0,0,0,20.31,0,0,12.26388889,0,0,0.291666667,0,1.811342593,0.957175926,1.842592593
534-22-5,32.9,2,NO,YES,CC1=CC=CO1,VQKFNUFAXTZWDK-UHFFFAOYSA-N,Organoheterocyclic compounds,3.049648321,107.4988651,4.405777394,3.640299098,3.640299098,2.89384685,1.895168207,1.895168207,1.22370106,1.22370106,0.663434407,0.663434407,0.360684977,0.360684977,0,0,0,0,0,5.760247419,0,6.263162996,19.05647134,0,4.417150937,-0.72,6,76.054,3.469393939,1.167541077,0.432338837,4.833333333,0.469664556,4.833333333,0.100170476,0.967592593,0.100170476,0.967592593,-0.469664556,1.58802,23.445,82.102,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,32,4.417150937,5.760247419,0,0,0,0,0,0,0,0,0,19.05647134,0,6.263162996,4.417150937,0,0,0,0,6.9237372,0,24.15614455,0,0,0,0,0,0,0,0,6.9237372,5.760247419,22.81304807,0,0,0,13.14,4.833333333,0,0,0,0,0.967592593,3.787037037,1.662037037,1.916666667,0
646-06-0,35.2,3,NO,YES,C1COCO1,WNXJIVFYUVYPPR-UHFFFAOYSA-N,Organoheterocyclic compounds,2.083333333,16.46439345,3.535533906,2.937816924,2.937816924,2.5,1.654700538,1.654700538,0.934347711,0.934347711,0.538675135,0.538675135,0.294627825,0.294627825,0,0,0,0,6.792942306,13.21376393,0,0,0,0,9.473725908,-0.08,5,68.031,3.123252033,1.380770705,0.596977989,4.722222222,0.353035351,4.722222222,0.146439432,0.5,0.146439432,0.5,-0.353035351,-0.0093,16.771,74.079,0,2,0,1,1,0,0,0,2,0,2,0,0,0,1,1,30,9.473725908,6.792942306,0,0,0,0,0,0,0,0,0,0,0,13.21376393,9.473725908,0,0,0,0,0,20.00670624,0,0,0,0,0,0,0,20.00670624,9.473725908,0,0,0,0,0,0,18.46,9.444444444,0,0,0,0,0,0,0,2.055555556,0
109-99-9,32.5,2,NO,YES,C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,Organoheterocyclic compounds,2.083333333,15.21928095,3.535533906,3.236675415,3.236675415,2.5,2.077350269,2.077350269,1.319479217,1.319479217,0.827350269,0.827350269,0.510310363,0.510310363,0,0,0,0,0,13.21376393,12.84164325,0,0,0,4.736862954,-0.04,5,64.043,3.161612903,1.410312175,0.618363684,4.944444444,0.381449382,4.944444444,0.04663817,1,0.04663817,1,-0.381449382,0.7968,20.053,72.107,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,30,4.736862954,0,0,0,0,0,0,0,0,0,0,12.84164325,13.21376393,0,4.736862954,0,0,0,0,12.84164325,13.21376393,0,0,0,0,0,0,0,13.21376393,4.736862954,0,12.84164325,0,0,0,0,9.23,4.944444444,0,0,0,0,0,0,2.555555556,2,0
96-48-0,52.4,10,NO,YES,C1CC(=O)OC1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,Organoheterocyclic compounds,2.367351851,59.9483369,4.405777394,3.437816924,3.437816924,2.89384685,2.050476816,2.050476816,1.324023571,1.324023571,0.788288118,0.788288118,0.474679369,0.474679369,0,4.794537184,0,5.969305288,13.02770359,6.420821623,0,0,0,4.736862954,0,-0.53,6,80.042,3.652815356,1.285754081,0.505725462,10.02083333,0.465656557,10.02083333,0.305409841,0.046296296,0.305409841,-0.046296296,-0.465656557,0.3234,20.193,86.09,0,2,0,1,1,0,0,0,2,0,2,0,0,0,1,1,34,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,0,6.420821623,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,12.84164325,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,12.84164325,0,0,0,0,26.3,4.513888889,0,10.02083333,0,0,-0.046296296,0,1.540509259,0.637731481,0
110-91-8,45.2,2,NO,YES,C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Organoheterocyclic compounds,2,23.01955001,4.242640687,3.736675415,3.736675415,3,2.28445705,2.28445705,1.362372436,1.362372436,0.84635267,0.84635267,0.515737207,0.515737207,0,0,0,0,0,26.30327674,0,0,0,5.316788604,4.736862954,-0.08,6,78.05,4.088918919,2.157216947,0.953692476,5.006944444,0.378812514,5.006944444,0.059108072,0.888888889,0.059108072,0.888888889,-0.378812514,-0.3938,23.6887,87.122,1,2,0,1,1,0,0,0,2,1,2,0,0,0,1,1,36,10.05365156,0,0,0,0,0,0,0,0,0,0,0,13.08951281,13.21376393,4.736862954,0,0,5.316788604,0,0,26.30327674,0,0,0,5.316788604,0,0,0,26.30327674,4.736862954,0,0,0,0,0,0,21.26,5.006944444,0,0,3.159722222,0,0,0,0,3.833333333,0
75-01-4,20.1,1,NO,YES,C=CCl,BZHJMEDXRYGGRV-UHFFFAOYSA-N,Organohalogen compounds,2.187496097,10.26466251,2.707106781,1.662421523,2.418350469,1.414213562,0.626466181,1.062901961,0.15430335,0.46291005,0,0,0,0,0,0,0,0,0,0,5.535201929,0,0,6.578935684,11.60093989,0.03,3,59.475,3.03,2.03,2.03,4.762345679,0.093597916,4.762345679,-0.002959409,1.222222222,0.002959409,1.222222222,-0.093597916,1.3687,16.05,62.499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18.17987557,5.535201929,0,0,0,11.60093989,0,0,0,0,0,12.11413761,0,0,0,0,0,11.60093989,0,0,0,0,12.11413761,0,0,0,0,0,4.762345679,0,0,1.222222222,0,0,0,3.12654321,0
106-94-5,31.9,1,NO,YES,CCCBr,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,Organohalogen compounds,1.974744871,5.245112498,3.414213562,2.792178035,4.378174574,1.914213562,1.474368023,2.595836931,0.688982237,1.481980506,0.188982237,0.981980506,0,0,0,0,0,0,0,5.330089647,6.420821623,0,0,22.8536811,0,0.48,4,115.937,4.48,3.48,2.48,3.248263889,0.09281865,3.248263889,0.002862797,1.131944444,0.002862797,1.131944444,-0.09281865,1.7913,24.085,122.993,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,22.8536811,6.420821623,5.330089647,0,0,15.9299439,0,0,0,13.34455882,5.330089647,0,0,0,0,0,0,15.9299439,5.330089647,0,0,13.34455882,0,0,0,0,0,0,3.248263889,0,1.131944444,0,0,0,1.236111111,2.133680556,0
