,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
63,8192,2,8,6,0.5738270259338154,0.5927725653077583,0.8754755554091685,0.8795714302192584,1.3979589245183162,0.7057669949348168,0.09999999999999998,0.00010000000000000002,-0.8945349029974604
60,8192,1,8,6,0.5743175257754789,0.5933727797819811,0.8753489581555904,0.8798966826371345,1.399137204843579,0.7055116920259141,0.09999999999999998,0.00010000000000000002,-0.8946512297870048
66,8192,3,8,6,0.5734995347247961,0.5930198063204546,0.8754232377785653,0.8800649795968918,1.3999567641532924,0.7053331606915353,0.09999999999999998,0.00010000000000000002,-0.8949988390980362
69,8192,4,8,6,0.5741687415445775,0.5955359167932157,0.8748936135067165,0.8804951050471477,1.402624054509004,0.7047763168596,0.09999999999999998,0.00010000000000000002,-0.8966555260635436
64,8192,2,8,8,0.5479177284652238,0.5413642789933445,0.886273350524778,0.8820671123590366,1.406724099871456,0.7038368035864664,0.09999999999999998,0.00010000000000000002,-0.8966641344834209
61,8192,1,8,8,0.5487490629510243,0.5425945818791023,0.8860146377681308,0.8822185326992743,1.4069386576164282,0.7037906832723764,0.09999999999999998,0.00010000000000000002,-0.8967606445461203
67,8192,3,8,8,0.5471985915066254,0.5406794921247746,0.8864171346989306,0.882985519781552,1.40990217223467,0.7031539579091899,0.09999999999999998,0.00010000000000000002,-0.8968571063530378
70,8192,4,8,8,0.5469410489795041,0.5410618937011725,0.88633593901144,0.8836799921807366,1.4110211721753214,0.7029139098405224,0.09999999999999998,0.00010000000000000002,-0.8980303616530042
55,8192,3,7,8,0.6561096549464943,0.7734830603053606,0.8375121948260711,0.8847875551224202,1.4102992037478586,0.703366348306302,0.09999999999999998,0.00010000000000000002,-0.9022087011295999
49,8192,1,7,8,0.6568767557696604,0.7741179022440585,0.8373767362752151,0.8852401584280282,1.4103035441786926,0.7033569353053222,0.09999999999999998,0.00010000000000000002,-0.9023919988345315
52,8192,2,7,8,0.6563649394220561,0.7732596437763279,0.8375577266165497,0.8852419395332494,1.409903645921843,0.7034488080402449,0.09999999999999998,0.00010000000000000002,-0.902268837053519
59,8192,4,7,10,0.6310773740701254,0.717665103352381,0.8492398062457177,0.8852856860822724,1.4124411444258842,0.7028149625089064,0.09999999999999998,0.00010000000000000002,-0.9007003406683627
56,8192,3,7,10,0.6307008680355398,0.7157738461946624,0.8496385015297478,0.8852955904233248,1.4119425304453512,0.7029083476863836,0.09999999999999998,0.00010000000000000002,-0.8999760650184602
53,8192,2,7,10,0.6313101927439809,0.7162407375387362,0.849539890363259,0.8853701560517647,1.4110555041965054,0.7030906212734551,0.09999999999999998,0.00010000000000000002,-0.9000835009432864
58,8192,4,7,8,0.6572999858975295,0.7770839378931182,0.8367532922667651,0.8854740291617024,1.4123615675648682,0.7029397435292556,0.09999999999999998,0.00010000000000000002,-0.9031856385436974
50,8192,1,7,10,0.6321299723654191,0.7175906186657173,0.8492558910764997,0.8855013442687069,1.4114067272784054,0.7030057763723662,0.09999999999999998,0.00010000000000000002,-0.9002738364959981
51,8192,2,7,6,0.6040812612229113,0.6935169242610852,0.8550931527366838,0.8860472235912807,1.4234413518509728,0.7003563407877896,0.07299999999999998,0.00010000000000000002,-0.908957943574155
48,8192,1,7,6,0.6042696955327045,0.6936050763844721,0.8550747589658192,0.886070259312514,1.4241101955917457,0.7001960385781297,0.07299999999999998,0.00010000000000000002,-0.9090622702331546
65,8192,2,8,10,0.5358288169447889,0.5189212385134504,0.890987297020186,0.8863895163201476,1.424143299470611,0.7001741790926617,0.09999999999999998,0.00010000000000000002,-0.9031107918901956
