run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_170555,ohe,1,1,44,0.006077,0
core_rf_5x5_20260825_170555,ohe,1,2,44,0.006267,0
core_rf_5x5_20260825_170555,ohe,1,3,44,0.005549,0
core_rf_5x5_20260825_170555,ohe,1,4,44,0.005159,0
core_rf_5x5_20260825_170555,ohe,1,5,44,0.00728,0
core_rf_5x5_20260825_170555,ohe,2,1,44,0.005575,0
core_rf_5x5_20260825_170555,ohe,2,2,44,0.005448,0
core_rf_5x5_20260825_170555,ohe,2,3,44,0.006725,0
core_rf_5x5_20260825_170555,ohe,2,4,44,0.004901,0
core_rf_5x5_20260825_170555,ohe,2,5,44,0.006165,0
core_rf_5x5_20260825_170555,ohe,3,1,44,0.005953,0
core_rf_5x5_20260825_170555,ohe,3,2,44,0.00756,0
core_rf_5x5_20260825_170555,ohe,3,3,44,0.00648,0
core_rf_5x5_20260825_170555,ohe,3,4,44,0.007076,0
core_rf_5x5_20260825_170555,ohe,3,5,44,0.005874,0
core_rf_5x5_20260825_170555,ohe,4,1,44,0.007307,0
core_rf_5x5_20260825_170555,ohe,4,2,44,0.005097,0
core_rf_5x5_20260825_170555,ohe,4,3,44,0.005116,0
core_rf_5x5_20260825_170555,ohe,4,4,44,0.005157,0
core_rf_5x5_20260825_170555,ohe,4,5,44,0.00533,0
core_rf_5x5_20260825_170555,ohe,5,1,44,0.00505,0
core_rf_5x5_20260825_170555,ohe,5,2,44,0.005397,0
core_rf_5x5_20260825_170555,ohe,5,3,44,0.006131,0
core_rf_5x5_20260825_170555,ohe,5,4,44,0.004754,0
core_rf_5x5_20260825_170555,ohe,5,5,44,0.00493,0
