repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,31.989007,12.807838065299533,19.116043267006912,0.6922351456478057,0.6694409561587612
1,2,31.526415,11.797543985232195,17.50266984866312,0.7386769657216952,0.6986800358227709
1,3,25.368567,11.16325102932736,16.569930095824194,0.7641783195985138,0.697392132583179
1,4,18.743692,12.104297478462712,17.938833660756867,0.7234489304682945,0.6813282478602434
1,5,19.481092,12.401177211106564,18.331739226434177,0.7082875175792573,0.6821508723526127
2,1,11.593682,11.521967144535429,17.588515480260092,0.7182916075374874,0.6832926001050194
2,2,10.57985,12.023969107054482,17.391244522247412,0.7496363043106784,0.7040046332949426
2,3,9.436421,11.801980859626315,17.20755248518543,0.7324854621462232,0.6606735078664776
2,4,12.932643,11.938662844012299,17.743868038795032,0.738399203361302,0.6981796864173999
2,5,26.060134,12.412361626771455,18.64352568004869,0.714638951090935,0.6897894694845269
3,1,11.38162,12.174770877710458,17.86675585677738,0.7245268146081758,0.6713841660532656
3,2,9.289359,12.867968967186522,19.34330404968657,0.6816205146263585,0.6659838883308963
3,3,8.911422,11.419060810696449,17.12850269373727,0.7462321638299494,0.6868902718602985
3,4,9.029443,11.32242328424683,16.801868625974766,0.7610072253118949,0.7063402799161165
3,5,9.201952,12.500071758117045,18.562858948319402,0.7049505874912222,0.6777848281439289
4,1,12.563637,11.9095583512133,18.48163280254684,0.7285492719132916,0.6885790844570268
4,2,9.952736,11.313427399680387,16.414641693631403,0.7550215050057424,0.7003634438988454
4,3,8.859785,12.907626277357839,19.292961372197333,0.662581593554106,0.6612208763239515
4,4,9.264664,12.153429376585956,18.25894059972519,0.7211470723132287,0.6796659624565614
4,5,9.024049,12.567605257406392,18.044204251551697,0.7217518383863818,0.6789617985328072
5,1,9.267745,12.11725165549813,17.540281269601373,0.7414018884592333,0.6818822025934758
5,2,9.45908,12.061672032231606,17.77759939014292,0.725623459383135,0.6748079960256008
5,3,8.789758,12.384973409062608,18.349810742144907,0.7177880704511178,0.6799458237354172
5,4,8.848571,11.044974628469452,16.46696063270582,0.7586071004154062,0.7011892911282296
5,5,8.955211,12.682153722939702,18.949338153397772,0.6950672613567142,0.6818826147435146
