,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,353,0.07437728255940564,0.02809707594190439,0.9999556725320784,4.41051263687769,0.9586058367009831,45.83979087648885,9.999999999999999e-05,0.01,-4.817228090173355,7.597214040559071
1,706,0.6430112309599294,1.5061630258477778,0.9984490718374877,3.916428107368593,0.9657416715732527,37.93758553630346,0.001,0.01,-4.900873204962403,6.652940407102465
2,1059,0.8032647419423622,2.8799619211662644,0.9968019869642323,3.1746626930141826,0.9759688759340825,26.612005507906343,0.001,0.01,-3.844212171559261,5.3019554854104145
3,1412,0.8181066010984216,2.851486996670926,0.9966473209274141,2.9135990077321297,0.978768485905522,23.51172456492698,0.001,0.01,-3.50333050073633,4.93937967513801
4,1765,0.8420331829283229,2.844052311965898,0.9971967786690031,2.747126831041828,0.9824743753611915,19.40783203224929,0.001,0.01,-3.212609142346569,4.650709267046069
5,2118,0.8469791134121876,2.685013254566813,0.9974094566921858,2.6404350856637393,0.9830202685101698,18.803311351173903,0.001,0.01,-3.006236934327072,4.4685890889380335
