,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,353,3.219111860896663,112.77140249557728,0.8797826231555104,9.006948057780408,0.7822914894408233,209.63771046617725,0.01,9.999999999999999e-05,-9.443731117133186,15.29396946499931
1,706,3.6781538443100397,128.21638380347474,0.8815398796693135,8.59473412682221,0.8022735999271442,190.39636853666246,0.01,9.999999999999999e-05,-8.949614612344867,14.635720651342895
2,1059,3.730002241805755,141.84870133085644,0.8752780823969153,7.483022110832427,0.8303942528927775,163.3181928172668,0.01,9.999999999999999e-05,-8.48087353931572,12.552485854039203
3,1412,3.852031132996289,169.6279613165078,0.8587293995872664,7.189686431722225,0.8307008026136518,163.023007381185,0.01,9.999999999999999e-05,-8.25352114876674,12.052124525959691
4,1765,2.1352907069605447,140.6021975721717,0.8736448855111258,5.992406094432517,0.8390522511202033,154.98116032847756,0.01,0.001,-7.471058608550871,9.037834645078512
5,2118,1.9826011839783582,125.41199481737809,0.8812878260525475,5.542839296148129,0.8544379629237724,140.1658212858823,0.01,0.001,-6.814036585443506,8.621199002871958
