,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,353,1.1870261878439303,2.8569226552271973,0.9971626400067924,3.8248341912748063,0.9073290688942971,70.36382189323945,9.999999999999999e-05,9.999999999999999e-05,-3.685224127476952,6.257233869344677
1,706,1.394095626201409,4.162786332856682,0.9958405215529991,3.081588216581784,0.9698893163535645,22.86264695846017,9.999999999999999e-05,9.999999999999999e-05,-3.053692807957772,5.3067600313434875
2,1059,1.4869545537180282,4.719241187453569,0.9950385573775185,2.895596116047559,0.9734632747150008,20.14898727470106,9.999999999999999e-05,9.999999999999999e-05,-2.9185219225371677,4.913821989981315
3,1412,1.580227750893532,5.640132189438595,0.9940450599234376,2.788689759709934,0.975587358182167,18.536198571849063,9.999999999999999e-05,9.999999999999999e-05,-2.7654871153508513,4.8444434029297945
4,1765,1.6012498671940254,5.723739646582311,0.9945142049556974,2.6909511709831326,0.9769527181930944,17.4994986327984,9.999999999999999e-05,9.999999999999999e-05,-2.605593364563295,4.706152705135285
5,2118,1.6321895880232953,5.983095225327232,0.9944829211252888,2.5523488761977555,0.9785929334347788,16.254104723884147,9.999999999999999e-05,9.999999999999999e-05,-2.515574678780007,4.49282181383506
