run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_171042,ohe,1,1,35,0.007801,0
core_rf_5x5_20260825_171042,ohe,1,2,35,0.006745,0
core_rf_5x5_20260825_171042,ohe,1,3,35,0.006625,0
core_rf_5x5_20260825_171042,ohe,1,4,35,0.007438,0
core_rf_5x5_20260825_171042,ohe,1,5,35,0.00692,0
core_rf_5x5_20260825_171042,ohe,2,1,35,0.006865,0
core_rf_5x5_20260825_171042,ohe,2,2,35,0.007277,0
core_rf_5x5_20260825_171042,ohe,2,3,35,0.006991,0
core_rf_5x5_20260825_171042,ohe,2,4,35,0.006989,0
core_rf_5x5_20260825_171042,ohe,2,5,35,0.006966,0
core_rf_5x5_20260825_171042,ohe,3,1,35,0.006973,0
core_rf_5x5_20260825_171042,ohe,3,2,35,0.006718,0
core_rf_5x5_20260825_171042,ohe,3,3,35,0.006503,0
core_rf_5x5_20260825_171042,ohe,3,4,35,0.007041,0
core_rf_5x5_20260825_171042,ohe,3,5,35,0.006716,0
core_rf_5x5_20260825_171042,ohe,4,1,35,0.007443,0
core_rf_5x5_20260825_171042,ohe,4,2,35,0.007951,0
core_rf_5x5_20260825_171042,ohe,4,3,35,0.007007,0
core_rf_5x5_20260825_171042,ohe,4,4,35,0.006865,0
core_rf_5x5_20260825_171042,ohe,4,5,35,0.006646,0
core_rf_5x5_20260825_171042,ohe,5,1,35,0.007414,0
core_rf_5x5_20260825_171042,ohe,5,2,35,0.006551,0
core_rf_5x5_20260825_171042,ohe,5,3,35,0.00732,0
core_rf_5x5_20260825_171042,ohe,5,4,35,0.006841,0
core_rf_5x5_20260825_171042,ohe,5,5,35,0.006548,0
