stage,dataset,descriptor,model,mae_mean,rmse_mean,r2_mean,kendall_tau_mean,feature_dim,folds,train_elapsed_s_mean,feature_elapsed_s_mean,source_npz
official_npz_rf_5x5,SLAP,MFP,rf,18.04338125379474,35.122995676523296,0.7681948782217961,0.5095152925758325,3072,25,1.3719230000000002,0.0,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz
official_npz_rf_5x5,SLAP,PhysChem,rf,18.42531887194204,34.68712752455971,0.7735727663222332,0.4900958359932593,39,25,0.39359935999999995,0.0,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz
