stage,dataset,descriptor,model,mae_mean,rmse_mean,r2_mean,kendall_tau_mean,feature_dim,folds,train_elapsed_s_mean,feature_elapsed_s_mean
smoke,smoke_local_yonod,physchem,rf,0.3719152502235,0.42210781869634934,-1.7171507485576818,0.3,434,2,0.220702,0.1056425
smoke,smoke_local_yonod,morgan,rf,0.38365779498099994,0.42273046722902985,-1.71910645138475,-0.39999999999999997,4096,2,0.1910175,0.0038985
smoke,smoke_local_yonod,ohe,rf,0.4333838902744997,0.49894699193587705,-2.799860877334406,0.1369434746166789,9,2,0.18646600000000002,0.0154955
