stage,dataset,descriptor,model,mae_mean,rmse_mean,r2_mean,kendall_tau_mean,feature_dim,folds,train_elapsed_s_mean,feature_elapsed_s_mean,source_npz
official_npz_rf_5x5,BH2,MFP,rf,12.05600068639324,17.892543335494505,0.7250461909827262,0.6840725868058348,5120,25,13.6204214,0.0,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz
official_npz_rf_5x5,BH2,PhysChem,rf,13.861131699450208,19.48015141346041,0.6742941253951183,0.661055732771205,36,25,0.4692781200000001,0.0,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem.npz
