stage,dataset,descriptor,model,mae_mean,rmse_mean,r2_mean,kendall_tau_mean,feature_dim,folds,train_elapsed_s_mean,feature_elapsed_s_mean,source_npz
official_npz_rf_5x5,SM,MFP,rf,7.398945621312399,11.008577405453288,0.8527994807980537,0.7615115880573682,5120,25,11.79879804,0.0,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP.npz
official_npz_rf_5x5,SM,PhysChem,rf,7.373780112389281,10.860895796525364,0.8567238122304681,0.7653699300843917,20,25,0.44187644,0.0,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/PhysChem/Suzuki_PhysChem.npz
