,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,325,17.474311129117705,550.6046603393264,0.9028906072443885,27.92441477976041,0.799305610223976,1231.4537431134956,0.09999999999999999,0.01,-28.687989166302987,14.109186835999319
1,649,9.5676328407805,234.4556236933278,0.955465226901909,25.475729527975517,0.8276834897571033,1057.3280686903424,0.01,0.01,-23.685859468395257,12.576765154009856
2,974,16.888702174496636,553.5016767338839,0.8981244967372148,22.513232554178625,0.8630617774638101,840.2481350161072,0.09999999999999999,0.01,-23.120022764747784,11.394808260914505
3,1298,10.633644325798388,270.7048729396344,0.9515037569720252,20.94436078589322,0.8827330709243036,719.5457676462808,0.01,0.01,-22.065281005365428,10.20613346392314
4,1623,11.12243665734807,284.1316601465219,0.9492559521413025,20.60390596653596,0.8871727618614422,692.303979627653,0.01,0.01,-22.11383059722231,10.174911083717511
5,1947,11.296697569489961,291.9680290175833,0.9487731064788263,19.350333168230136,0.8961936445274418,636.9521596907313,0.01,0.01,-21.21074027520415,9.66156563544836
