,Train_sizes,Train_MAE,Train_R2,Train_MSE,Test_MAE,Test_R2,Test_MSE,opt_alpha,opt_gamma,best_score,aavre%
0,325,17.096221947780514,539.6685093933725,0.9112124004978813,26.6794548423522,0.8024149604258104,1186.6833745686367,0.09999999999999999,0.01,-28.56474545495837,12.879078706281257
1,649,8.795030430469527,194.40193053767965,0.9690262170589791,24.698536479063627,0.8255754810735205,1047.5827379100028,0.01,0.01,-24.0144338830717,11.59762960623091
2,974,9.490954922338148,214.0771274234257,0.9645033045422741,22.415815699064673,0.8528906409237459,883.529598371692,0.01,0.01,-23.13456178634621,10.591667684164241
3,1298,9.68906442891704,220.57884955503,0.9635796720903594,20.979984454213145,0.8657923045297071,806.0430146785845,0.01,0.01,-20.980725031304985,9.822969480435557
4,1623,10.084864466873896,255.33075010124185,0.9559632919210563,20.551875616182308,0.871734014520473,770.3574765541111,0.01,0.01,-20.416002939990836,9.572539331662613
5,1947,10.566882258567444,268.607829259092,0.9530307714518677,20.723536707124225,0.8712984561804864,772.9734126686604,0.01,0.01,-20.345325431967968,9.59831275978086
