P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1157,1951.10125,1050.58234,11.246,6.823,12.859,9.754,7.981,0.11491,0.331526,0.019914,3.016359,0.112801,0.0936,-2.0884,-1.4629,2.5515,-0.222397,-6.051723,-0.005361,-0.145871,0.217036,5.905852
P_1158,1888.94759,1009.03578,11.033,6.716,13.2,8.498,7.157,0.120763,0.346778,0.021027,2.883687,0.096599,-0.0389,-1.764,1.0136,2.0349,-0.238599,-6.492617,-0.001266,-0.034463,0.237333,6.458154
P_1159,1974.46873,1077.12687,11.329,6.865,13.197,9.157,7.515,0.135708,0.337346,0.027297,2.964316,0.091868,1.2265,0.5781,2.7954,3.1069,-0.24333,-6.621332,-0.029731,-0.809034,0.213598,5.812298
P_1160,1787.53904,958.62555,10.141,6.406,12.404,8.492,7.158,0.127419,0.347655,0.02335,2.876417,0.090593,-1.622,-2.0209,0.1673,2.5967,-0.244605,-6.656036,-0.012478,-0.339531,0.232127,6.316505
P_1161,1879.58616,1011.51093,10.419,6.409,12.971,9.804,7.299,0.128124,0.337966,0.024286,2.958876,0.094873,-0.761,-0.6142,0.4738,1.0867,-0.240324,-6.539562,-0.019084,-0.519299,0.221241,6.020263
P_1162,1760.58645,940.82478,9.941,6.17,11.893,8.683,7.271,0.122738,0.35179,0.021412,2.842604,0.093517,-0.4815,-1.7867,0.8681,2.044,-0.241681,-6.576479,-0.002004,-0.054528,0.239677,6.521951
P_1163,1890.46573,995.04312,10.683,6.541,12.699,9.964,7.092,0.122442,0.343277,0.021837,2.913103,0.097693,-0.1346,-2.1561,0.8436,2.3192,-0.237505,-6.462831,-0.00635,-0.172805,0.231154,6.290026
P_1164,2043.20906,1091.44898,12.401,7.401,14.692,10.251,7.334,0.110208,0.319003,0.019037,3.134762,0.125488,-0.3652,-1.2907,-0.3743,1.3926,-0.209709,-5.706472,-0.008249,-0.224479,0.20146,5.481993
P_1165,1785.23994,948.46451,11.585,7.128,14.187,7.122,7.085,0.121978,0.339699,0.0219,2.94378,0.100056,0.3872,-0.6234,1.8227,1.9649,-0.235142,-6.398538,-0.013542,-0.368509,0.221599,6.030029
P_1166,1921.03638,1031.28113,11.131,7.09,14.159,10.661,6.988,0.125049,0.335513,0.023304,2.980513,0.095964,1.1482,-0.7853,1.2183,1.8491,-0.239233,-6.509868,-0.019846,-0.540031,0.219387,5.969837
