P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674
P_2,1778.33085,969.57322,11.773,7.087,14.052,8.976,6.585,0.126535,0.325209,0.024616,3.074949,0.106622,0.3479,-0.2153,-3.1394,3.1659,-0.228575,-6.219853,-0.02623,-0.713747,0.202346,5.506106
P_3,1780.93107,971.53466,11.452,6.926,13.635,8.494,7.051,0.13011,0.33498,0.025268,2.985251,0.094813,0.1607,0.9852,-3.2067,3.3585,-0.240386,-6.541249,-0.025437,-0.692174,0.21495,5.849075
P_4,1911.53393,974.37727,8.717,5.559,10.335,10.06,7.717,0.117756,0.329308,0.021054,3.036671,0.11085,-1.2056,-3.2265,2.408,4.2026,-0.224348,-6.10481,-0.011081,-0.301532,0.213267,5.803278
P_5,1830.26749,989.94625,10.904,6.652,13.173,9.298,7.308,0.123939,0.319317,0.024053,3.131685,0.105835,2.5878,3.4226,-2.3296,4.8825,-0.229363,-6.241287,-0.026105,-0.710358,0.203258,5.530929
P_6,1966.84013,987.45587,10.086,6.243,12.431,10.01,7.192,0.11027,0.324907,0.018712,3.077806,0.121121,-1.9128,1.2444,-2.3402,3.2686,-0.214078,-5.825353,-0.004848,-0.131922,0.20923,5.693431
P_7,1864.78862,1024.52644,12.193,7.432,14.802,9.26,6.564,0.143588,0.325425,0.031678,3.072902,0.087496,-2.6261,0.8178,-3.246,4.2546,-0.247699,-6.74023,-0.034806,-0.947113,0.212893,5.793117
P_8,1811.47996,999.92182,12.732,7.566,14.969,8.907,7.046,0.127652,0.316253,0.025763,3.162025,0.111158,-0.3828,-0.9543,-2.8792,3.0573,-0.224039,-6.0964,-0.027768,-0.755607,0.196271,5.340793
P_9,1992.13055,1084.26793,12.6,7.635,15.211,8.703,7.471,0.142785,0.329112,0.030974,3.038476,0.086077,2.7311,1.2817,3.3337,4.4961,-0.249119,-6.778866,-0.033002,-0.898031,0.216117,5.880836
P_10,1937.87158,992.06584,9.186,5.793,11.248,10.252,7.885,0.121557,0.31801,0.023232,3.144552,0.114244,-1.1503,-2.7753,2.0639,3.6449,-0.220953,-6.01243,-0.022008,-0.598858,0.198945,5.413572
P_11,2635.14283,1360.2362,11.612,7.006,13.015,9.97,8.405,0.103197,0.326307,0.016318,3.064601,0.135542,-3.2995,0.6333,0.7651,3.4458,-0.199655,-5.432887,-0.004715,-0.128292,0.19494,5.304595
P_12,2666.65308,1352.16585,14.699,8.55,16.645,12.024,7.398,0.116793,0.317418,0.021487,3.150421,0.11957,0.0146,2.2813,-2.1934,3.1647,-0.215626,-5.867477,-0.011259,-0.306377,0.204367,5.5611
P_13,1898.07472,1025.59505,9.708,6.054,11.225,11.901,7.052,0.131292,0.286168,0.030118,3.494446,0.119155,-1.3513,-1.3923,2.0412,2.8162,-0.216039,-5.878721,-0.049405,-1.344369,0.166634,4.534352
P_14,1763.08778,960.25613,11.083,6.742,13.392,8.505,7.152,0.122641,0.343809,0.021874,2.908595,0.097107,-0.2233,-1.9075,-0.4571,1.9742,-0.238091,-6.478784,-0.005421,-0.147522,0.23267,6.331262
P_15,1644.58615,873.9777,8.332,5.366,10.069,10.547,6.629,0.132885,0.38125,0.023159,2.622948,0.082184,-0.59,4.4918,1.4203,4.7478,-0.253012,-6.884811,-0.0116,-0.315641,0.241413,6.56917
P_16,1558.84125,803.34995,7.487,4.944,9.573,9.352,7.333,0.133499,0.369594,0.02411,2.705673,0.083504,-0.087,-3.7598,-1.0177,3.8961,-0.251696,-6.849005,-0.015277,-0.41572,0.236419,6.433285
P_17,2110.25087,1095.6655,11.263,6.832,12.959,9.976,7.674,0.137854,0.30862,0.030788,3.240235,0.101483,0.9486,-2.0482,-1.9202,2.9635,-0.233715,-6.359711,-0.043886,-1.194194,0.189829,5.165517
P_18,2241.30772,1233.63467,13.604,8.002,15.958,10.128,7.088,0.144529,0.313236,0.033343,3.192477,0.090291,-0.1116,-2.2001,-4.3904,4.912,-0.244906,-6.664239,-0.042349,-1.152365,0.202558,5.511874
P_19,1743.19426,939.00293,10.544,6.472,12.795,9.192,6.803,0.104563,0.327801,0.016677,3.050632,0.12816,0.464,-0.5841,-0.9223,1.1863,-0.207037,-5.633769,0.002177,0.059247,0.209215,5.693016
P_20,2179.162,1140.78657,10.654,6.527,12.73,10.833,7.094,0.120581,0.346129,0.021003,2.889096,0.107762,-1.8964,-1.5919,-1.8121,3.0682,-0.227434,-6.188797,-0.012494,-0.339966,0.214941,5.848831
P_21,2012.21362,1102.05347,12.489,7.445,14.44,9.951,7.293,0.114524,0.344307,0.019047,2.904384,0.117289,0.7768,2.5487,1.4731,3.0446,-0.217908,-5.929576,-0.00571,-0.155383,0.212198,5.774192
P_22,1708.92702,925.09408,10.742,6.571,12.701,8.925,7.29,0.121019,0.33133,0.022101,3.018142,0.111208,-1.0243,0.2646,0.1106,1.0637,-0.22399,-6.095068,-0.014136,-0.384672,0.209853,5.710395
P_23,1897.59336,1029.00652,11.159,6.78,13.187,10.502,7.017,0.112001,0.318377,0.0197,3.140929,0.121293,-1.2971,0.2907,-1.0573,1.6985,-0.213905,-5.820639,-0.009781,-0.266152,0.204124,5.554487
P_24,2809.28409,1445.49737,13.576,7.988,15.756,12.255,7.818,0.137972,0.309552,0.030748,3.230478,0.090394,3.055,3.7807,0.6608,4.9054,-0.244802,-6.661397,-0.028793,-0.783501,0.216009,5.877896
P_25,2164.56752,1125.86851,11.258,6.829,13.646,11.042,7.327,0.126833,0.328567,0.02448,3.04352,0.109017,-2.5095,0.4354,2.8282,3.806,-0.22618,-6.154676,-0.026634,-0.724745,0.199546,5.429931
P_26,2490.68865,1360.1962,14.331,8.365,15.262,12.788,6.904,0.118712,0.333578,0.021123,2.997796,0.101002,-0.4907,0.1553,-1.9281,1.9956,-0.234196,-6.372789,-0.001889,-0.051395,0.232307,6.321394
P_27,2307.43915,1241.17556,13.884,8.277,16.505,10.12,6.389,0.132582,0.335011,0.026235,2.984973,0.086904,2.3552,1.6953,1.5322,3.2815,-0.248288,-6.756251,-0.02052,-0.558378,0.227768,6.197873
P_28,2673.11144,1377.66024,17.524,9.962,19.6,8.645,6.405,0.136643,0.304936,0.030615,3.27938,0.094846,0.7982,-5.3483,-3.4516,6.4152,-0.24035,-6.540243,-0.029729,-0.808965,0.210621,5.731277
P_29,2045.35386,1091.77403,13.021,7.711,15.024,8.14,6.966,0.123971,0.33131,0.023194,3.018324,0.103418,-2.059,-2.9787,1.9332,4.1049,-0.23178,-6.307052,-0.012738,-0.346613,0.219042,5.960439
P_30,1632.01831,922.02308,9.975,6.188,12.334,9.616,6.714,0.132094,0.35396,0.024648,2.825181,0.095663,0.0944,0.3589,-3.3241,3.3448,-0.239537,-6.518125,-0.023828,-0.648387,0.215709,5.869738
P_31,2299.296,1214.92844,15.521,8.961,17.902,8.872,6.991,0.161968,0.291202,0.045044,3.43404,0.078418,-1.3675,1.347,1.536,2.4585,-0.256779,-6.987304,-0.078802,-2.144314,0.177977,4.84299
P_32,2721.84629,1336.09774,13.102,7.751,15.391,10.532,8.17,0.113822,0.291942,0.022189,3.425333,0.132221,2.8457,0.8926,-1.4027,3.2958,-0.202975,-5.523244,-0.029298,-0.797234,0.173678,4.72601
P_33,3275.80945,1574.70515,13.129,7.765,15.079,10.487,9.388,0.103514,0.286298,0.018713,3.492869,0.145034,2.4913,1.0001,-0.6743,2.7679,-0.19016,-5.174526,-0.017725,-0.482309,0.172436,4.692218
P_34,2547.49877,1297.64922,15.989,9.195,18.307,7.839,8.418,0.114348,0.313776,0.020836,3.186988,0.118019,0.3308,-2.4609,1.9424,3.1525,-0.217178,-5.909715,-0.007668,-0.208648,0.20951,5.701067
P_35,2167.54966,1175.91702,15.158,8.779,17.277,8.208,6.753,0.114276,0.320179,0.020393,3.12325,0.119101,1.1834,-2.4976,-1.6519,3.2198,-0.216096,-5.880267,-0.003743,-0.101852,0.212353,5.778414
P_36,2115.22133,1132.03829,13.875,8.273,16.449,8.624,7.683,0.127202,0.323001,0.025047,3.095962,0.110596,4.0206,3.8204,-0.9197,5.622,-0.224601,-6.111708,-0.018544,-0.504599,0.206057,5.607109
P_37,2365.45108,1288.97962,15.646,9.023,17.884,11.171,8.038,0.132198,0.300072,0.02912,3.332532,0.107125,2.0022,0.4561,1.0335,2.2989,-0.228073,-6.206174,-0.040496,-1.10194,0.187577,5.104234
P_38,2357.5177,1205.40391,12.098,7.249,14.21,10.489,7.714,0.112278,0.288639,0.021838,3.464538,0.135637,0.6948,2.2139,1.0956,2.566,-0.199559,-5.430275,-0.026096,-0.710111,0.173463,4.720164
P_39,2101.03955,1145.74317,14.396,8.398,16.476,7.719,6.44,0.152114,0.281727,0.041066,3.549531,0.105268,1.668,2.2074,-1.8233,3.3135,-0.229929,-6.256687,-0.079598,-2.165984,0.150331,4.090703
P_40,1808.04682,985.31707,12.691,7.546,15.09,6.679,6.35,0.107694,0.357773,0.016209,2.795066,0.10523,-0.0515,-3.0872,1.8894,3.6198,-0.229968,-6.257734,0.005451,0.14833,0.235419,6.406065
P_41,1546.88296,806.56111,8.076,5.238,10.225,8.466,6.732,0.111277,0.361943,0.017106,2.762866,0.107146,-2.1106,-0.6707,2.9021,3.6506,-0.228051,-6.205585,-0.001628,-0.044287,0.226424,6.161298
P_42,2637.13805,1411.95653,17.374,9.887,19.688,10.655,7.254,0.133429,0.311168,0.028607,3.2137,0.109302,1.9136,-1.1801,-4.7673,5.2708,-0.225897,-6.146981,-0.038419,-1.045444,0.187478,5.101537
P_43,3267.29014,1711.39862,16.679,9.699,18.708,13.417,7.962,0.136838,0.290887,0.032185,3.437758,0.105629,0.7998,4.0637,-4.914,6.4265,-0.229573,-6.246988,-0.035193,-0.95766,0.194379,5.289328
P_44,2407.23328,1327.3276,16.44,9.42,18.74,11.022,6.812,0.131975,0.290212,0.030008,3.445752,0.113496,2.6483,1.6204,0.5888,3.16,-0.2217,-6.032775,-0.040902,-1.112996,0.180799,4.919779
P_45,2360.73061,1274.56904,16.197,9.299,18.311,9.485,7.225,0.118285,0.306897,0.022795,3.258419,0.1249,-0.396,0.056,-2.1226,2.1599,-0.210298,-5.722487,-0.023164,-0.630331,0.187133,5.092155
P_46,2056.88922,1072.50707,10.235,6.318,12.203,11.524,6.409,0.112451,0.352367,0.017943,2.837953,0.106297,2.1662,-2.2358,-1.8302,3.6112,-0.228901,-6.22871,-0.002985,-0.081239,0.225915,6.14747
P_47,2361.15075,1242.20933,14.557,8.478,16.941,9.606,7.612,0.110621,0.318442,0.019214,3.140292,0.125374,0.4486,2.7116,-3.6998,4.6089,-0.209823,-5.709575,-0.006175,-0.168029,0.203648,5.541546
P_48,2173.35805,1123.63039,11.645,7.023,13.828,10.483,7.1,0.116024,0.340705,0.019756,2.935092,0.116283,-0.7599,1.097,2.5366,2.8662,-0.218913,-5.956924,-0.007746,-0.210771,0.211167,5.746153
P_49,2231.74277,1183.36435,14.037,8.219,16.102,9.624,7.328,0.120894,0.281221,0.025985,3.555924,0.140034,-2.2341,0.6496,-2.6418,3.5203,-0.195163,-5.310647,-0.043863,-1.193584,0.151299,4.117063
P_50,2181.8059,1156.13272,12.457,7.429,14.593,10.996,7.257,0.13077,0.350552,0.024391,2.85264,0.097544,-0.7102,-0.3213,-3.3212,3.4115,-0.237653,-6.466876,-0.023318,-0.634503,0.214336,5.832372
P_51,2711.175,1363.16831,11.798,7.099,14.095,11.404,8.822,0.113155,0.369886,0.017308,2.703535,0.103545,0.3466,1.6033,-1.1374,1.9961,-0.231653,-6.303599,0.00793,0.215776,0.239583,6.519375
P_52,2165.36593,1134.11347,11.616,7.008,13.87,10.911,7.212,0.130045,0.329582,0.025656,3.034149,0.096592,-0.1542,1.1749,-3.0604,3.2818,-0.238606,-6.492801,-0.024069,-0.654962,0.214537,5.837839
P_53,2284.9278,1202.4498,10.194,6.432,12.485,11.38,8.275,0.152749,0.352575,0.033088,2.836276,0.069299,-4.37,0.3186,-0.7555,4.4463,-0.265898,-7.235446,-0.040887,-1.11259,0.225011,6.122857
P_54,2232.93169,1180.82457,14.456,8.428,16.757,9.5,6.665,0.112167,0.280843,0.022399,3.560704,0.134906,0.6743,3.7389,-0.4283,3.8232,-0.200292,-5.450216,-0.024744,-0.673308,0.175548,4.776908
P_55,1829.41208,955.86832,11.261,6.831,13.59,8.727,6.638,0.111562,0.319168,0.019498,3.133144,0.124576,-2.2507,-0.4169,-0.6782,2.3874,-0.210621,-5.731282,-0.008256,-0.22465,0.202365,5.506632
P_56,2339.08035,1202.87293,11.084,6.742,12.238,11.013,8.218,0.115824,0.313966,0.021364,3.185057,0.122721,-1.706,-1.582,-0.8132,2.4647,-0.212476,-5.781761,-0.013595,-0.369947,0.198881,5.411814
P_57,2547.77245,1261.21256,11.252,6.826,12.574,12.403,7.503,0.10606,0.301544,0.018652,3.316262,0.132928,-1.3887,-0.061,0.5479,1.4942,-0.202269,-5.504014,-0.002731,-0.07431,0.199538,5.429704
P_58,1662.29492,908.18871,9.787,6.093,11.683,9.51,6.319,0.12449,0.31032,0.02497,3.22248,0.124991,0.0123,-0.2878,-0.4635,0.5457,-0.210207,-5.720021,-0.039654,-1.079047,0.170553,4.640973
P_59,2525.37915,1332.64513,11.091,6.905,13.508,12.01,8.763,0.124167,0.333599,0.023108,2.997607,0.104692,6.5254,-2.8923,-1.5757,7.3096,-0.230505,-6.272372,-0.018983,-0.51655,0.211523,5.755822
P_60,2077.39087,1060.56678,10.973,6.686,13.261,9.279,7.717,0.092732,0.277258,0.015508,3.606743,0.164448,1.8221,0.5495,0.2396,1.9182,-0.170749,-4.646312,-0.01304,-0.354845,0.157709,4.291467
P_61,3247.46959,1671.38997,15.339,8.869,17.671,14.455,7.417,0.160144,0.287607,0.044585,3.47697,0.075433,-2.3053,-4.6135,-4.3514,6.7479,-0.259764,-7.068535,-0.078764,-2.143278,0.181,4.925257
P_62,3179.2167,1653.81064,17.039,9.719,18.383,14.528,7.341,0.119474,0.28282,0.025235,3.53582,0.140765,0.7846,1.8798,-2.9138,3.5552,-0.194433,-5.290784,-0.034241,-0.93174,0.160192,4.359044
P_63,2711.81719,1436.59192,17.293,9.847,19.512,10.362,7.018,0.161992,0.302585,0.043362,3.304857,0.072276,-3.1617,-0.3615,5.1793,6.0788,-0.26292,-7.154419,-0.079026,-2.150398,0.183894,5.004021
P_64,2544.77858,1324.71506,11.474,6.937,13.783,11.015,9.971,0.114195,0.309966,0.021035,3.226159,0.123543,-0.0969,1.2942,3.1244,3.3832,-0.211653,-5.759358,-0.017884,-0.486645,0.193769,5.272713
P_65,1957.0762,1079.37932,13.849,8.124,16.136,9.213,6.979,0.10762,0.289142,0.020028,3.458514,0.140658,-0.0932,-1.0438,0.973,1.43,-0.194539,-5.293683,-0.017434,-0.474395,0.177106,4.819288
P_66,1689.19384,908.06911,9.474,5.937,11.58,9.752,7.067,0.14167,0.308456,0.032533,3.241956,0.099767,0.2351,-1.7069,-1.864,2.5384,-0.235431,-6.406398,-0.05079,-1.382055,0.184641,5.024343
P_67,2106.83259,1083.29518,11.602,7.001,13.458,9.843,7.411,0.120382,0.319747,0.022662,3.127469,0.110269,0.9252,-0.1834,0.2258,0.9699,-0.224928,-6.120614,-0.016564,-0.450722,0.208365,5.669892
P_68,2110.61327,1104.21475,12.213,7.306,14.461,7.865,6.995,0.118224,0.36676,0.019054,2.726578,0.093446,1.0302,1.7061,-1.7057,2.6232,-0.241745,-6.578216,-0.003468,-0.094359,0.238277,6.483857
P_69,2564.06701,1346.29285,13.014,7.707,14.71,10.957,8.92,0.120393,0.269957,0.026846,3.70429,0.137828,0.1103,0.2489,-2.1005,2.1181,-0.197367,-5.370631,-0.038808,-1.056025,0.158559,4.314606
P_70,2241.06567,1195.60586,13.814,8.107,16.201,10.797,7.853,0.119253,0.285762,0.024883,3.499419,0.131037,-0.9396,-0.5023,2.8928,3.0828,-0.20416,-5.555481,-0.034243,-0.931793,0.169917,4.623688
P_71,2508.74497,1214.81298,10.261,6.33,11.771,9.969,9.095,0.130469,0.284214,0.029946,3.518481,0.116884,3.0064,2.1622,-0.0228,3.7033,-0.218312,-5.94058,-0.04775,-1.299337,0.170563,4.641243
P_72,2470.12044,1295.52379,15.268,8.834,17.576,8.941,6.756,0.140863,0.316423,0.031354,3.160324,0.096818,1.6981,-2.4629,-0.8614,3.1131,-0.23838,-6.48664,-0.042997,-1.170002,0.195383,5.316637
P_73,1654.25721,915.87392,11.325,6.863,13.426,7.743,7.273,0.143533,0.318203,0.032372,3.142651,0.091391,0.7967,-2.575,-1.3981,3.0364,-0.243807,-6.634327,-0.044792,-1.218851,0.199015,5.415476
P_74,2982.03059,1432.51282,11.905,7.312,14.118,9.977,8.795,0.143707,0.299251,0.034505,3.341682,0.099374,5.0989,2.9035,4.3277,7.291,-0.235825,-6.417114,-0.067265,-1.83038,0.168559,4.586734
P_75,2352.16782,1235.06346,13.543,7.972,15.91,9.273,7.72,0.115079,0.310193,0.021347,3.223802,0.12287,-1.7356,-1.4637,0.007,2.2704,-0.212328,-5.777732,-0.016081,-0.437598,0.196246,5.340134
P_76,2914.93768,1550.82394,16.171,9.285,18.436,13.442,7.767,0.133872,0.326174,0.027473,3.065851,0.098461,-1.4668,2.1646,-1.2453,2.8962,-0.236735,-6.441896,-0.033084,-0.900256,0.203652,5.54164
P_77,2644.86139,1403.40763,12.479,7.714,15.163,12.94,8.211,0.140557,0.325454,0.030352,3.072635,0.092334,-0.2005,4.4373,1.164,4.5918,-0.242864,-6.608671,-0.039294,-1.069231,0.203571,5.53944
P_78,2652.85642,1352.26701,11.064,6.732,13.219,12.187,7.514,0.128238,0.328876,0.025002,3.040662,0.101298,5.6583,-2.371,-1.9364,6.4333,-0.2339,-6.364736,-0.023922,-0.650946,0.209978,5.71379
P_79,2762.56695,1414.07257,12.08,7.24,13.663,11.889,7.752,0.126585,0.334718,0.023936,2.987586,0.10053,4.4364,1.3635,1.9236,5.0241,-0.234669,-6.385655,-0.019134,-0.520676,0.215534,5.864979
P_80,3124.73027,1625.31441,14.643,8.682,16.969,14.824,8.168,0.119124,0.305998,0.023187,3.267991,0.122425,2.3843,3.8665,0.589,4.5805,-0.212772,-5.789818,-0.021914,-0.5963,0.190858,5.193518
P_81,4435.51808,2076.63775,15.553,9.137,18.088,14.341,10.451,0.128559,0.307364,0.026886,3.253467,0.096438,-3.3042,2.5241,-0.7348,4.2224,-0.238761,-6.497019,-0.020935,-0.569678,0.217826,5.927341
P_82,3654.8126,1783.74579,15.657,9.029,18.015,12.598,10.042,0.138774,0.298438,0.032265,3.350783,0.098273,1.3432,2.2252,1.3131,2.9121,-0.236928,-6.447151,-0.034838,-0.947982,0.202091,5.499169
P_83,2462.6126,1298.93271,12.642,7.521,15.008,11.79,7.7,0.132574,0.321741,0.027314,3.108092,0.098959,-3.2174,-0.2006,0.7537,3.3106,-0.236238,-6.428359,-0.034,-0.9252,0.202237,5.503159
P_84,2935.12932,1416.8161,13.621,8.011,15.884,10.154,8.024,0.124921,0.307458,0.025378,3.252472,0.112859,2.993,0.5387,-0.8253,3.1511,-0.22234,-6.050169,-0.030498,-0.82988,0.191842,5.220288
P_85,2562.203,1323.8662,12.515,7.457,14.888,9.858,7.378,0.125519,0.322239,0.024446,3.103287,0.100978,-5.0334,-1.4686,2.0716,5.6377,-0.23422,-6.373459,-0.019027,-0.517757,0.215193,5.855702
P_86,2268.7333,1186.1075,12.303,7.352,14.454,9.637,7.377,0.123244,0.345783,0.021963,2.891989,0.102813,4.5421,0.5498,-3.268,5.6225,-0.232385,-6.32351,-0.015269,-0.415504,0.217115,5.908007
P_87,2399.07841,1276.05571,12.352,7.376,14.577,11.446,7.761,0.135079,0.328529,0.02777,3.043871,0.097745,-3.1401,-1.722,-1.8616,4.0363,-0.237452,-6.461397,-0.033602,-0.914368,0.20385,5.547029
P_88,2139.04994,1146.30454,12.227,7.314,14.625,8.9,7.534,0.136672,0.331262,0.028194,3.018757,0.096493,-3.2097,-1.8944,-1.3484,3.9635,-0.238704,-6.495466,-0.034467,-0.937885,0.204237,5.557581
P_89,2080.28756,1104.24221,11.913,7.156,14.288,8.934,7.778,0.140906,0.322857,0.030748,3.097347,0.096264,-3.3171,0.8382,1.8257,3.878,-0.238926,-6.5015,-0.044814,-1.219457,0.194112,5.282043
P_90,1930.52286,1031.77488,10.192,6.571,13.073,9.025,7.721,0.115073,0.360366,0.018373,2.774955,0.106814,-3.6273,-0.2707,0.0107,3.6374,-0.228387,-6.214736,-0.003897,-0.106049,0.22449,6.108687
P_91,1813.57902,967.09009,9.704,6.052,11.736,8.386,7.786,0.10849,0.377656,0.015583,2.647909,0.106993,-2.0178,-0.8898,0.0159,2.2054,-0.228205,-6.209769,0.00987,0.268585,0.238075,6.478354
P_92,2096.65683,1108.35614,12.165,7.282,14.544,8.971,7.713,0.097556,0.328474,0.014487,3.044384,0.139438,-1.5637,-0.6472,1.1927,2.0704,-0.195759,-5.326867,0.005081,0.138258,0.20084,5.465126
P_93,2003.25398,1071.29249,11.753,7.076,14.016,9.11,7.719,0.098436,0.344814,0.014051,2.900117,0.132011,0.9012,-1.2399,-0.6828,1.678,-0.203186,-5.528978,0.008725,0.237415,0.211911,5.766393
P_94,2022.54446,1083.4612,10.928,6.799,13.535,9.12,7.8,0.132229,0.35869,0.024373,2.787927,0.08877,-4.5464,-0.1047,0.0856,4.5484,-0.246429,-6.705679,-0.017409,-0.47373,0.22902,6.231949
P_95,1943.39424,1045.47839,11.073,6.911,13.702,8.846,7.798,0.142941,0.336018,0.030403,2.976031,0.088449,-6.3251,1.2966,-0.01,6.4566,-0.246748,-6.714365,-0.039996,-1.088343,0.206752,5.626021
P_96,2352.17481,1235.07352,13.544,7.972,15.91,9.272,7.72,0.115077,0.310198,0.021346,3.223748,0.12287,-1.7362,-1.4635,0.007,2.2707,-0.212328,-5.77773,-0.016078,-0.437493,0.19625,5.340237
P_97,2794.62012,1466.93077,15.814,9.107,17.996,9.847,7.922,0.129933,0.30675,0.027518,3.259984,0.112082,-1.7777,-1.6734,-2.5153,3.5053,-0.223116,-6.071289,-0.036218,-0.98555,0.186897,5.085739
P_98,2006.58836,1065.00511,9.726,6.063,12.032,9.258,7.986,0.102015,0.349228,0.0149,2.863462,0.127514,-2.7497,1.5267,0.1705,3.1497,-0.207684,-5.651357,0.0104,0.28301,0.218084,5.934367
P_99,2021.59974,1083.88584,10.904,6.787,13.443,8.519,8.12,0.130014,0.362494,0.023316,2.758666,0.090078,-4.5526,-0.6909,1.1453,4.745,-0.245121,-6.670076,-0.017004,-0.462706,0.228117,6.20737
P_100,1922.23141,994.8149,9.817,6.108,11.94,8.061,7.66,0.11326,0.369674,0.01735,2.705083,0.103667,1.034,0.2622,1.295,1.6778,-0.231531,-6.300277,0.000096,0.002614,0.231627,6.302891
P_101,1932.97453,1012.59087,9.461,5.931,11.509,8.23,7.641,0.107554,0.359782,0.016076,2.779461,0.115103,2.2851,-0.6772,0.5692,2.4504,-0.220095,-5.989082,0.010309,0.28051,0.230403,6.269592
P_102,2000.86691,1038.79685,9.947,6.174,12.093,8.037,8.096,0.098297,0.357286,0.013522,2.79888,0.126285,1.3965,2.0579,0.0477,2.4874,-0.208912,-5.684791,0.013943,0.379421,0.222856,6.064212
P_103,2140.28243,1093.10319,9.755,6.078,12.01,9.745,7.694,0.115188,0.299676,0.022138,3.336942,0.132787,1.8661,-0.8219,0.7121,2.1598,-0.202411,-5.50787,-0.027228,-0.740903,0.175183,4.766967
P_104,2962.47501,1488.65855,14.25,8.325,16.393,9.518,8.737,0.122344,0.283502,0.026398,3.527307,0.128856,0.7197,2.7977,3.6738,4.6736,-0.20634,-5.614805,-0.03623,-0.985862,0.170111,4.628943
P_105,1762.72381,943.49558,9.513,5.957,11.622,8.168,7.769,0.107907,0.353442,0.016472,2.829315,0.122763,-2.3785,-1.0019,-0.4046,2.6124,-0.212448,-5.781007,0.001998,0.054362,0.214446,5.835369
P_106,3132.17562,1534.28083,11.816,7.108,13.741,11.268,7.727,0.137865,0.311703,0.030488,3.20818,0.093038,-2.6648,1.8739,1.2156,3.4771,-0.242159,-6.589469,-0.043406,-1.181137,0.198753,5.408333
P_107,2131.31855,1142.96984,12.03,7.215,14.347,10.223,7.078,0.099603,0.356434,0.013917,2.805569,0.123639,0.4006,1.9715,-1.7787,2.6853,-0.211558,-5.756773,0.007599,0.206774,0.219156,5.963547
P_108,2262.91715,1242.12415,14.655,8.527,16.981,10.352,5.956,0.100793,0.358776,0.014158,2.787251,0.120048,-0.6321,-0.4518,-2.5282,2.6449,-0.215148,-5.854483,0.00694,0.188846,0.222088,6.043329
P_109,2517.29385,1341.43822,13.373,7.886,15.505,12.668,6.677,0.10375,0.361412,0.014892,2.766926,0.118061,-0.9059,1.1775,-2.1087,2.5795,-0.217137,-5.908608,0.005423,0.147568,0.22256,6.056176
P_110,2682.50411,1392.65084,13.359,7.879,15.733,11.235,7.393,0.101676,0.356342,0.014506,2.806297,0.119389,-0.8171,-2.5548,1.785,3.2219,-0.215808,-5.872438,0.006078,0.165389,0.221886,6.037826
P_111,2392.16828,1245.42617,12.137,7.268,14.253,10.773,7.323,0.099884,0.358303,0.013922,2.790934,0.123995,-2.3475,-0.6154,1.3179,2.7616,-0.211202,-5.747086,0.010057,0.273659,0.221258,6.020746
P_112,2805.8497,1476.72341,14.538,8.469,16.869,10.742,8.666,0.112019,0.325932,0.01925,3.068125,0.119109,1.1056,-2.7537,1.2697,3.2276,-0.216087,-5.880013,-0.000339,-0.009223,0.215748,5.87079
P_113,2682.32123,1410.17997,15.374,8.887,17.611,11.312,6.514,0.109244,0.329737,0.018097,3.032719,0.117745,0.0856,-1.7902,-1.5991,2.4019,-0.217451,-5.917136,0.002516,0.068476,0.219967,5.985612
P_114,3320.5229,1779.78953,15.754,9.077,17.695,17.083,7.671,0.100692,0.348971,0.014527,2.865571,0.119422,-0.4298,1.703,-4.808,5.1188,-0.215775,-5.871524,0.006586,0.17922,0.222361,6.050744
P_115,2545.89587,1336.1698,13.971,8.186,15.939,10.97,6.986,0.098067,0.334897,0.014358,2.985994,0.132013,2.8071,1.422,-0.2349,3.1555,-0.203184,-5.528928,0.000038,0.001028,0.203222,5.529956
P_116,3028.54465,1467.57947,11.165,6.782,11.892,10.147,9.168,0.10632,0.295254,0.019143,3.386919,0.138132,-0.9453,4.3356,1.1179,4.5761,-0.197066,-5.362428,-0.010989,-0.299038,0.186076,5.063391
P_117,2620.91909,1367.92603,14.969,8.684,17.179,10.701,7.035,0.107618,0.31456,0.018409,3.179045,0.119667,1.2036,0.0202,-3.9722,4.1506,-0.215529,-5.864854,-0.000661,-0.017981,0.214869,5.846872
P_118,2584.33915,1361.46735,13.04,7.72,15.417,11.647,8.533,0.10514,0.339112,0.016299,2.948879,0.129673,-4.361,0.8911,-0.5684,4.4873,-0.205523,-5.592565,0.006871,0.186978,0.212394,5.779542
P_119,2306.97708,1218.49132,12.781,7.591,15.031,9.089,6.9,0.102696,0.346563,0.015216,2.885478,0.114564,-1.5911,-1.6008,-1.8504,2.9186,-0.220634,-6.003745,-0.000454,-0.012346,0.22018,5.991398
