P_1,-710.689105695
P_10,-880.580361589
P_100,-1181.23109422
P_1000,-1536.01096005
P_1001,-3647.52092741
P_1002,-1190.92944647
P_1003,-1115.73503499
P_1004,-1115.73462346
P_1005,-3647.52052588
P_1006,-1155.05756128
P_1007,-1678.32416773
P_1008,-1306.41531637
P_1009,-1268.34142634
P_101,-760.955491057
P_1010,-1092.42466662
P_1011,-1397.1585424
P_1012,-1076.395986
P_1013,-844.104540945
P_1014,-824.245837795
P_1015,-1115.73650868
P_1016,-1155.04426195
P_1017,-1002.60621844
P_1018,-1398.64711184
P_1019,-734.961301884
P_102,-836.163729563
P_1020,-813.598212029
P_1021,-794.86958164
P_1022,-1155.23839934
P_1023,-1194.56200427
P_1024,-923.531080347
P_1025,-1008.65094576
P_1026,-3381.27114344
P_1027,-848.292986929
P_1028,-787.884509627
P_1029,-923.525396021
P_103,-875.293393082
P_1030,-3266.7525501
P_1031,-3726.34811052
P_1032,-3778.68647868
P_1033,-3306.06929245
P_1034,-3463.34494417
P_1035,-1155.24294016
P_1036,-923.525727399
P_1037,-774.282618338
P_1038,-1104.34219258
P_1039,-848.288698736
P_104,-1672.19056911
P_1040,-923.526996429
P_1041,-1100.25510215
P_1042,-1038.87899472
P_1043,-1244.27145586
P_1044,-728.907852539
P_1045,-925.715125407
P_1046,-767.003954497
P_1047,-852.921840282
P_1048,-923.529725923
P_1049,-1107.90393295
P_105,-1042.38317467
P_1050,-1104.34359148
P_1051,-794.876493731
P_1052,-1155.24237786
P_1053,-3458.2289324
P_1054,-1346.13487224
P_1055,-1022.76233935
P_1056,-1507.57459468
P_1057,-1002.15977534
P_1058,-1346.71014023
P_1059,-1384.30798603
P_106,-1523.21380165
P_1060,-1383.12733508
P_1061,-958.452557841
P_1062,-3538.55416437
P_1063,-3877.92549643
P_1064,-3474.26325104
P_1065,-986.63181986
P_1066,-673.76987204
P_1067,-776.9021623
P_1068,-699.473771421
P_1069,-737.586044855
P_107,-905.291132695
P_1070,-660.154650773
P_1071,-1198.39329431
P_1072,-1005.97042654
P_1073,-1070.87880035
P_1074,-1172.08103633
P_1075,-1652.43202576
P_1076,-829.820061853
P_1077,-1022.80408146
